method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
mut_b00579bb,20,42.45,6,7.08,18,0.023509
rand_2ffec912,29,33.79,3,11.26,0,0.004348
mut_c71815d8,10,33.7,3,11.23,0,0.004412
rand_adf02c35,10,40.2,4,10.05,0,0.006255
rand_be64bb18,10,37.3,3,12.43,0,0.002569
rand_23d24224,10,40.5,4,10.12,0,0.006
mut_c7fafa70,10,45.0,4,11.25,0,0.003278
rand_2133b62a,10,43.4,4,10.85,0,0.004012
rand_8730bf16,10,42.6,4,10.65,0,0.00446
mut_b7ab6ffe,10,43.8,4,10.95,0,0.00381
mut_cf665a5d,10,47.0,5,9.4,0,0.007483
rand_7000a5b1,10,39.9,4,9.97,0,0.006556
rand_b646ad66,10,38.6,4,9.65,0,0.007978
mut_73d6bde8,10,43.1,4,10.78,0,0.004164
mut_5152ecd4,10,41.6,4,10.4,0,0.005115
rand_2d2dd76e,10,47.7,5,9.54,0,0.006841
rand_52050afc,10,41.1,4,10.28,0,0.005477
mut_77a8d01d,10,40.5,4,10.12,0,0.006
rand_41ecbdd3,10,45.7,5,9.14,0,0.008875
mut_085837f3,10,46.0,5,9.2,0,0.008529
mut_a7a2b614,10,34.4,3,11.47,0,0.003932
rand_6f4454f5,10,50.0,5,10.0,0,0.005155
rand_23fab2b7,10,41.3,4,10.32,0,0.005348
rand_01fc5d20,10,42.9,4,10.72,0,0.004294
rand_1a254b23,10,52.1,6,8.68,0,0.010085
rand_0ae97be4,9,40.67,4,10.17,0,0.004724
rand_c2547862,10,41.9,4,10.47,0,0.004918
mut_0f43bd1e,10,39.9,4,9.97,0,0.006556
rand_5bf065aa,10,39.4,4,9.85,0,0.007052
mut_b0c42b4f,10,49.8,5,9.96,0,0.005279
mut_1b8bafda,10,46.6,5,9.32,0,0.007883
rand_a7890f59,9,39.78,4,9.95,0,0.00538
mut_02a98281,10,38.8,4,9.7,0,0.007733
mut_ad08b251,10,48.5,5,9.7,0,0.006187
rand_1be51626,10,42.8,5,8.56,0,0.013135
mut_42a02c91,10,46.2,5,9.24,0,0.008307
rand_67f52555,10,42.8,4,10.7,0,0.004342
mut_8f62cf22,10,41.5,4,10.38,0,0.005176
mut_830f10bf,10,42.4,4,10.6,0,0.004582
rand_74cabf35,10,34.1,3,11.37,0,0.004124
mut_bd21c48b,10,52.4,5,10.48,0,0.003914
mut_83183dac,10,42.7,4,10.68,0,0.004391
mut_992184cd,10,44.1,4,11.03,0,0.003659
mut_e40b6324,10,45.2,4,11.3,0,0.003199
rand_d4652202,10,45.4,4,11.35,0,0.003122
mut_eb26c74b,10,40.2,4,10.05,0,0.006255
mut_2070b15f,10,45.5,4,11.38,0,0.003079
mut_2b853c94,10,42.1,4,10.53,0,0.004763
mut_e61e78eb,10,41.0,4,10.25,0,0.005569
mut_dd0a1a05,10,34.5,3,11.5,0,0.003875
rand_a57f5011,10,42.1,4,10.53,0,0.004763
mut_c25ba5fc,10,44.6,4,11.15,0,0.003444
rand_1b31f486,10,44.1,4,11.03,0,0.003659
rand_37cb10a1,10,41.2,4,10.3,0,0.005412
mut_2164f662,10,43.6,5,8.72,0,0.011782
mut_726ae340,10,40.6,4,10.15,0,0.005899
mut_306c2cbd,10,42.0,4,10.5,0,0.004839
rand_68536b41,10,39.2,4,9.8,0,0.00727
rand_4b700d9a,10,49.4,5,9.88,0,0.00554
mut_4a82f4a1,10,42.9,4,10.72,0,0.004294
mut_fd3a676f,10,38.6,4,9.65,0,0.007978
mut_7457c9c3,10,40.8,4,10.2,0,0.005731
mut_e87025d9,10,48.8,5,9.76,0,0.005961
rand_9e1a48fc,9,33.89,3,11.3,0,0.003455
rand_a581a75d,10,44.1,4,11.03,0,0.003659
rand_bea4b9ed,10,33.2,3,11.07,0,0.00478
rand_a8baa077,10,36.1,3,12.03,0,0.003045
mut_ae76faf2,10,43.7,4,10.93,0,0.003851
mut_3bb07f77,10,45.9,4,11.47,0,0.002947
rand_fbccc220,10,42.3,4,10.57,0,0.004655
rand_b537576b,10,42.6,4,10.65,0,0.00446
mut_8d0ba881,10,39.0,4,9.75,0,0.007497
rand_cdb1ae43,10,40.4,4,10.1,0,0.006074
rand_b9d4ec7e,10,41.9,4,10.47,0,0.004918
mut_07f60b59,10,44.8,4,11.2,0,0.003359
rand_c91bebc5,10,43.5,4,10.88,0,0.003952
rand_ba7668b2,8,36.75,4,9.19,0,0.00687
rand_85965ced,10,44.1,4,11.03,0,0.003659
rand_26beb2fe,10,40.3,4,10.07,0,0.006179
mut_83b5e09f,9,44.67,4,11.17,0,0.002762
mut_030aae78,10,36.5,3,12.17,0,0.002868
mut_97fff577,10,42.8,4,10.7,0,0.004342
rand_af21b011,10,34.9,3,11.63,0,0.003646
mut_6253d798,10,40.4,4,10.1,0,0.006074
mut_d95e59e0,10,46.5,4,11.62,0,0.002746
rand_73fab4f8,10,48.6,5,9.72,0,0.00611
rand_0c3a9840,10,47.8,5,9.56,0,0.006755
rand_ca16fb53,10,42.2,4,10.55,0,0.004708
mut_20654c2e,9,41.0,4,10.25,0,0.004511
rand_44df08ec,10,42.2,5,8.44,0,0.014245
rand_bc31ba21,7,40.71,4,10.18,0,0.002841
rand_b089e74e,10,46.0,5,9.2,0,0.008529
rand_472c54bf,10,45.4,4,11.35,0,0.003122
mut_b5cf4a8e,10,34.8,3,11.6,0,0.003698
mut_cc609402,10,34.9,3,11.63,0,0.003646
rand_3651852f,10,41.1,4,10.28,0,0.005477
rand_8d177a55,10,41.7,4,10.43,0,0.005033
mut_9d8d8410,10,35.9,3,11.97,0,0.003128
rand_3e7c6228,10,35.9,3,11.97,0,0.003128
mut_2e1f9f5b,10,35.2,3,11.73,0,0.003482
mut_825aefd0,10,42.5,4,10.62,0,0.004531
rand_62498473,10,41.9,4,10.47,0,0.004918
rand_e031d031,10,41.4,4,10.35,0,0.005261
mut_045b58bb,10,44.3,4,11.07,0,0.003583
rand_faa6afb9,10,41.8,4,10.45,0,0.004975
rand_2b4c4526,10,52.8,5,10.56,0,0.003746
mut_ff980ad0,9,39.22,4,9.8,0,0.005886
rand_8e3762ad,10,41.4,4,10.35,0,0.005261
rand_de0d5bc4,10,41.1,4,10.28,0,0.005477
rand_159f2f8a,10,49.6,5,9.92,0,0.005407
mut_d10211b5,10,35.7,4,8.93,0,0.012779
rand_9d965ea7,10,44.8,4,11.2,0,0.003359
mut_97627979,10,41.5,5,8.3,0,0.015639
mut_bcdd6413,10,36.3,3,12.1,0,0.002955
mut_4f4d5238,10,43.3,4,10.82,0,0.004073
mut_c196d1e3,10,41.5,4,10.38,0,0.005176
mut_8baa8824,10,41.1,4,10.28,0,0.005477
mut_ab41f538,10,34.1,3,11.37,0,0.004124
rand_b76992b1,10,36.2,3,12.07,0,0.002994
mut_1312c4c1,10,35.3,3,11.77,0,0.003421
rand_b57c9b4b,10,41.1,4,10.28,0,0.005477
mut_e59fe0b1,10,41.7,4,10.43,0,0.005033
mut_d6d02316,10,43.9,4,10.97,0,0.003769
rand_adea49be,9,37.67,4,9.42,0,0.007482
mut_79764ef3,10,50.4,5,10.08,0,0.004917
mut_52b6a3c4,10,35.8,3,11.93,0,0.003182
rand_07a2d5e5,10,36.4,3,12.13,0,0.002916
rand_288965c4,10,41.0,4,10.25,0,0.005569
rand_92b8dc45,10,33.7,3,11.23,0,0.004412
mut_e48b2a0b,10,42.5,4,10.62,0,0.004531
rand_5eb6699e,9,41.67,4,10.42,0,0.004098
rand_5269d3c9,10,48.3,4,12.07,0,0.002244
mut_3816303d,10,46.3,4,11.57,0,0.002811
rand_c0139826,9,42.22,4,10.55,0,0.003812
mut_3b75232e,10,42.8,4,10.7,0,0.004342
rand_801ab648,10,43.6,4,10.9,0,0.003909
rand_2789209c,10,40.9,4,10.22,0,0.005662
mut_387f563a,10,42.5,4,10.62,0,0.004531
mut_c72bc578,10,44.0,4,11.0,0,0.003714
rand_a2f78626,10,40.6,4,10.15,0,0.005899
mut_83cb26e2,10,44.1,4,11.03,0,0.003659
mut_7e97103a,10,35.7,3,11.9,0,0.003226
mut_9db8a591,10,37.5,5,7.5,0,0.024691
mut_80992f88,10,43.1,4,10.78,0,0.004164
mut_123caca9,10,36.2,3,12.07,0,0.002994
mut_55aef4e2,10,41.9,4,10.47,0,0.004918
rand_ae674968,10,42.4,4,10.6,0,0.004582
mut_3766e2c1,10,34.0,3,11.33,0,0.004202
mut_32503111,10,33.3,3,11.1,0,0.004707
rand_332f0363,10,36.6,3,12.2,0,0.002831
mut_b658e2a3,10,42.5,5,8.5,0,0.01368
rand_2f332a6d,10,50.3,5,10.06,0,0.004975
mut_e8461092,10,46.4,5,9.28,0,0.008092
mut_d0053412,10,35.8,3,11.93,0,0.003182
mut_4495c333,10,40.0,4,10.0,0,0.006443
mut_ce715c83,10,41.2,4,10.3,0,0.005412
rand_9c05f850,10,38.8,4,9.7,0,0.007733
mut_0cf254a2,10,45.3,5,9.06,0,0.009362
rand_df283453,10,48.5,5,9.7,0,0.006187
rand_81656c3e,10,42.6,4,10.65,0,0.00446
rand_cb3bce3a,10,39.3,4,9.82,0,0.007178
rand_6386fde6,10,35.9,3,11.97,0,0.003128
rand_cc53e0ad,10,43.1,4,10.78,0,0.004164
mut_5fff49a4,10,43.3,4,10.82,0,0.004073
mut_f73c7d3b,10,50.8,5,10.16,0,0.004692
mut_a1626ce2,10,51.4,7,7.34,0,0.018761
rand_0c95038a,10,39.1,4,9.78,0,0.007364
rand_fb6c63ba,10,46.0,5,9.2,0,0.008529
rand_1a1270d4,10,48.5,5,9.7,0,0.006187
rand_fa971d6d,10,38.5,3,12.83,0,0.002187
rand_2e5d1018,10,44.2,4,11.05,0,0.003621
mut_bb1ba78d,10,41.8,4,10.45,0,0.004975
rand_375e3a57,10,35.3,3,11.77,0,0.003421
rand_6e08d689,10,40.8,4,10.2,0,0.005731
mut_b4991af0,10,47.5,5,9.5,0,0.007018
mut_750ea808,10,56.0,7,8.0,12,0.013528
rand_d767332e,10,47.4,5,9.48,0,0.007108
rand_e4b7699c,10,46.1,4,11.53,0,0.002867
rand_56fe3c0e,10,43.3,4,10.82,0,0.004073
rand_c42984c0,10,37.4,3,12.47,0,0.002528
rand_d3bd2431,9,34.22,3,11.41,0,0.003277
mut_ea690a26,10,44.3,4,11.07,0,0.003583
mut_eaade160,10,45.3,4,11.32,0,0.003166
rand_ffd83735,10,40.9,4,10.22,0,0.005662
mut_af90c5ca,10,43.2,4,10.8,0,0.004118
mut_b2642923,10,46.3,4,11.57,0,0.002811
rand_5483b4f0,10,42.7,4,10.68,0,0.004391
mut_2fd29e14,10,35.8,3,11.93,0,0.003182
rand_6f7974e3,10,39.0,4,9.75,0,0.007497
mut_e90369ce,10,35.6,3,11.87,0,0.00327
rand_629ac5d1,5,38.6,4,9.65,0,0.001995
rand_05974348,10,44.1,4,11.03,0,0.003659
mut_53def856,10,43.9,4,10.97,0,0.003769
rand_d28e5422,10,49.2,5,9.84,0,0.005676
mut_126ca20b,10,44.6,4,11.15,0,0.003444
mut_cc96e8df,10,34.5,3,11.5,0,0.003875
rand_2bb21aea,10,41.6,4,10.4,0,0.005115
mut_50d518b1,10,41.1,4,10.28,0,0.005477
mut_a6d6cfbb,10,36.8,3,12.27,0,0.002748
CFOP,600,51.69,7,7.38,0,0.018492
rand_706753c4,10,44.2,4,11.05,0,0.003621
mut_8a31ab48,10,35.8,3,11.93,0,0.003182
rand_3d32b4e6,10,41.0,4,10.25,0,0.005569
mut_a1b01b54,10,46.1,5,9.22,0,0.008417
mut_06079684,10,48.3,5,9.66,0,0.006343
rand_c87a7153,10,46.3,4,11.57,0,0.002811
rand_7c303b49,10,42.7,4,10.68,0,0.004391
mut_86e5ba09,10,41.9,4,10.47,0,0.004918
mut_5734f813,10,47.4,4,11.85,0,0.002474
rand_e10459c4,10,49.5,5,9.9,0,0.005473
rand_7fa44ad1,10,48.0,5,9.6,0,0.006586
rand_799daf4e,10,35.0,3,11.67,0,0.003581
mut_9c6134b0,10,30.3,3,10.1,0,0.008099
rand_27a1820b,10,41.7,4,10.43,0,0.005033
rand_aedc548f,10,48.2,5,9.64,0,0.006423
rand_fa990d4b,10,40.7,4,10.18,0,0.0058
rand_bd512d0a,10,44.6,4,11.15,0,0.003444
mut_ca961b27,10,39.8,4,9.95,0,0.006639
mut_24480f9c,10,39.5,4,9.88,0,0.006928
rand_a0cae602,10,49.5,5,9.9,0,0.005473
rand_bf36dbac,10,45.3,4,11.32,0,0.003166
mut_82e9ca9b,10,34.3,3,11.43,0,0.004005
rand_be06a626,10,33.3,3,11.1,0,0.004707
rand_51f85582,10,40.0,4,10.0,0,0.006443
mut_deac8ed3,10,41.2,4,10.3,0,0.005412
mut_121d48c0,10,44.0,4,11.0,0,0.003714
rand_316e9b05,10,49.8,5,9.96,0,0.005279
mut_ac6d46a3,10,37.7,4,9.43,0,0.00918
rand_216b3561,10,37.6,3,12.53,0,0.002466
mut_391e6421,10,46.9,5,9.38,0,0.007581
rand_26ccd11e,9,42.44,4,10.61,0,0.003691
mut_47d138aa,10,45.2,4,11.3,0,0.003199
rand_23fe01ca,10,40.1,4,10.03,0,0.006333
rand_8016971f,10,47.5,5,9.5,0,0.007018
mut_0138b3d4,10,42.7,4,10.68,0,0.004391
mut_d8faa44c,10,43.8,4,10.95,0,0.00381
mut_5ac88836,10,40.4,4,10.1,0,0.006074
mut_77cb72de,10,44.6,4,11.15,0,0.003444
mut_60578863,10,37.0,4,9.25,0,0.010316
rand_a630b494,10,45.1,4,11.28,0,0.003231
mut_12dc1adc,10,34.4,3,11.47,0,0.003932
mut_02cd3abb,10,39.7,4,9.93,0,0.006722
rand_3dc43f0f,10,36.3,3,12.1,0,0.002955
mut_1bda64b7,10,41.2,4,10.3,0,0.005412
mut_9e2ff64a,10,45.3,5,9.06,0,0.009362
rand_f0eed145,10,47.9,5,9.58,0,0.00667
mut_31ff38ad,10,40.8,4,10.2,0,0.005731
rand_82912e4a,10,41.2,4,10.3,0,0.005412
mut_6e4f8b0b,10,40.7,4,10.18,0,0.0058
mut_76345bb3,10,45.9,4,11.47,0,0.002947
rand_be9e123e,10,43.1,4,10.78,0,0.004164
mut_0c25fa7d,10,43.5,4,10.88,0,0.003952
rand_06315b91,10,41.1,4,10.28,0,0.005477
mut_eefad068,10,50.3,6,8.38,0,0.012353
rand_4a1387ec,10,45.7,4,11.43,0,0.003006
rand_99912b71,10,44.4,4,11.1,0,0.003531
mut_474efaf8,10,41.3,4,10.32,0,0.005348
rand_ef5f083d,10,40.3,4,10.07,0,0.006179
mut_20088c32,10,43.7,4,10.93,0,0.003851
rand_573726bc,10,48.5,5,9.7,0,0.006187
mut_be01f7dc,10,35.9,4,8.97,0,0.012425
rand_559e3cc7,9,41.33,4,10.33,0,0.004309
rand_8778dcc1,10,40.6,5,8.12,0,0.017576
mut_750dae63,10,49.7,5,9.94,0,0.005343
rand_6cbb9cb1,10,40.8,4,10.2,0,0.005731
rand_b8818265,10,41.5,4,10.38,0,0.005176
rand_74ed90f8,10,44.4,4,11.1,0,0.003531
rand_355e917e,10,42.0,4,10.5,0,0.004839
mut_cdf145f3,10,46.3,4,11.57,0,0.002811
mut_38bdc652,10,42.9,4,10.72,0,0.004294
