scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
D' L' D' B L2 B' U' F2 U D2 F R' U F R F R U' R2 B2 D B',x2,F' U' B2 L R,U2 F U2 F2 U' F,R' F2 D' L' D F2 R,B' U' F U2 B U' F',F2 R2 F' R2 F',U2 F' U' L2 D' L U L' D L2 F,L U' F R' F' L' F R F' U' L U2 L' U,55
D2 F' R' L F2 U L' D B' F' R' U' R2 F' R2 F2 D U2 B F2 D' R2,x2,B2 D' B' R' D' L',U R2 B' R' B U2 R',F D2 B' D2 F',F' D' L' D F,U2 R2 B' R2 B,U' B' U2 B2 U B2 U B2 U2 B',U2 L2 U F' B L2 F B' U L2 U',49
D B2 U' L' B2 L R' D2 U' R U' F B2 D' F' D2 F2 L R' U' L2,x2,F2 D2 U L' R2 D',F L2 F' L2 F',U B' U' B,F U2 F' U' F U F',U' L' U B2 L B2,B' R B R' U2 B2 L' B' L B',U2 L' R' U2 L R F U' B U2 F' U B',51
F2 L F2 B U D L R' B2 F L' D U' B L D' B' L' D F2 U' F' L2 R U,x2,R' B2 D' B F2,U' R B' R B R' U R',B' R' U2 R U' B,U2 F U F',R2 U' R U R2,U2 F L' U2 L U2 L F2 L' F,R2 F2 D2 L2 F' B' D2 R2 F' B' U2,49
L U' B D2 F' U' F2 B' D' F2 B' L2 U B F' U2 B R' F L' F2 D L,x2,D L U F' D L2,R U2 R' F' U' F,F' U F L U L',F L2 F L2 U' F',R' B' R2 B R,U' F' L' F R' F' L F R,U U' B2 D' F2 D' L2 F' D' B D2 F' D B,52
F' B U2 L2 R' D2 R2 U D2 R' F2 R' U' B2 R L' D' U R2 F2 L2 D' L,x2,D L F U2 R2 B,R U2 F R F' R',B' R' U' R U' B,U' F U F',U R' F R' F' R U' R,U' F R U R' U' R U R' U' F',U,42
B' F' D' U2 B2 D L' F2 L' F2 U' F L' F2 R' F' D2 B L R2 D' L,x2,D U2 B L' R D,R F R F' R',D B' U2 B D',D' B' U' B D,F' U' F2 D R2 D' F',U L F R F' L2 F U R' U' F' L,U L' R' U2 L R F U' B U2 F' U B' U',54
U F2 B2 U L' U2 B2 L' F' B' D F L2 B' U2 F2 B2 L2 B U2 B U F' D',x2,R2 D R2 F' D,F2 L F L' U2 F,U L' U2 L2 U' L',F U R' U R F',U2 R' F' U' F2 R' F' R2,F' U' L' U L F,U2 L R U2 R' U' R U2 L' U R' U2,49
U F B D2 U R L' U2 R D' F' D F2 B2 D' U2 R L F' B U' F2 R B2,x2,R U' R D2 B' F',U R' U' R2 U2 R',R B2 R' B2,U2 F R' U R F',R B' R' B,U2 F R U' B U B' R' F',U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,49
B2 F2 R' F2 R F2 R F2 D L R U2 B' L2 B L R' F U B',x2,D' L' F L2 B,R' U' R F' U2 F,L' U2 L2 U' L',F D R2 D' U2 F',U B U B',U R' F U F2 U F2 U2 F' U R,L R U2 R' U' R U2 L' U R' U,48
