scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
L' F' R' F D' L B' F2 L F2 B2 L' D' R2 U2 D2 F L2 R' B' U2 F,z z,U2 B L B2 D U2 R' D',U' R2 D' R2,L2 U2 L2 U' L2,F' L B L B' L F L U2 L',U F' U2 F2 U F2 U F2 U2 F',U F2 D R2 U2 F2 U' F2 U' R2 F2 U2 F2 D' F2 U',53
R2 F2 B D L2 B R D' F R2 U2 F2 R2 U' L' F L U' F U R' D' B2,x x,B2 R U R B L' U' F' D2,L2 D' R D' L2,R' U R2 U' R,R D' U R U' R' D U2 R',B' R' F R B R' F' R,U2 U' F2 D' L2 U L2 F2 D R2 U' R2,48
D' U' B2 U' B F D U' F2 B U R2 U B' F2 U' R2 B R' L F2 D' B' D,x x y,F L F2 L' F2 R' B R D2,U2 F2 L2 F2 R' B2 R2,L U R' U' L' R,U B2 U L U' L' B2,B' R' F R' F' R2 B,U' U' F U F2 D' L' U' L D U F2 U2 F' U,51
R2 F' B2 R2 U' R L F B' D U2 L2 F' B R2 B' D2 F R' U2 B2,x x,U F' L D U B D' F U B,,D R' U' R D',R2 U R' U R U2 R2,,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2,37
U' B' U L2 U' R2 L D R U' R' B2 R' D2 B' U' L' U' L2 D B R2,x x,B2 U R D2 L D' F' R2 B',U2 L2 R' D' L2,U2 R U2 R2 U' R,U2 B2 D' R D R D' R' D B2,F' L' B' L F L' B L,L' U2 L F R U' R' U' F' U' L F' L' F U',53
F2 U D B' U' B2 F' L' B2 D2 B2 L' R2 B2 F R L2 D' R' L2 U2 R F2 U L,x x,U R F U' B' U2 L U B,L2 D' R D' L2,R2 U2 R U' R2,B D2 R F' L2 F R' D2 B',B' R' U' R U B,L' U2 L U F L' U R U' L U2 R' F',47
F' L2 U' F' U D B L2 R B' L F L' F R2 U2 R' D U L,x x y,U2 R U' F' R D' L U' F2,F' D' B2 D F,B2 L U L' B2,U B2 R' B2 D' R D B2 R,B' R2 F R F' R B,U L2 F' R' B' L' B2 R D2 F2 R' B' R F',49
U2 D' F' R B2 R' B' R2 F L' U2 F R2 F D2 U2 R2 B2 D R F D,x x y,U2 F D' F2 L B2 D' L',R2 B2 R' B2 R2,U2 B2 R' U' R U B2,R' U2 L' B2 L U R' U R2,L' U' B' U B L,F R' F' L' F R' D B' D' R2 F' L,47
D' B R D U B D' R' L' F L2 F R2 F2 R D2 B U F U2 F2 L2 F2,x x,B' R' D L F2 D R2 B L2,L2 R D' L2,U' R U R' U R2,B' R F R D R' D' B F',U F' L F L' U2 F2 R' F' R F',U' R' F L' U2 R B' R' L2 F' R2 D2 R' L' U U',55
L' D2 R L2 D R' F B U2 R2 L2 B D' B R B L2 B' L2 D' L2 R U2,x x,D2 F L2 B' D2 U2 L D',U L2 R2 D L2,R U R U' R2,U F2 L D' L D L2 F2,,R2 B2 R F R' B2 R F' R U2 U,37
R2 D' L R2 F2 U B' L R2 F U' D B L' D' R2 F2 B' R' F' L2 R' D L2,x x,L2 U2 B2 D' F' D' U' L',L2 D' L' F2 L',R2 D R' U' R D',U' U2 F' U' R' U' R U F R,F R B' R B R2 F',U' U B U' B' U2 B2 U L U' L' B' U' B' U2,51
R2 U' B' U2 D F U F' L2 U F2 D R2 L2 D' U B R D' F2 U F2 L2 R',x x,U2 L2 R' D U F U' B F,U2 L2 D R2 D L2,R U' R' U2 R2,B' D' U L F2 L' D U' B,B' R2 F R F' R B,L F U F' L' F2 U' L F L F' L2 U F2,50
B' F' D F' L' R B' D' L B' F2 L2 R' B R2 B' R U L2 B2 D F' L2 F2 L2,x x,L' D B' R U F2 L D2 F',U2 R2 U L2 D L2,U2 R2 U' R2,U U2 F' U' R' U' R U F R,B' U' R' U R B,B L' B' R2 B2 L R' B' U' L U' L2 B' L R',50
D B' F2 U' L2 F' D2 U2 R L B' L2 B' U2 F R2 B2 U L D' F2 D L' D' R',x x y,L' F R2 D U' F R2 B D',R2 F2 L' F2 R2,U L U' L',U' U' R F2 L2 D L2 F2 R',U R' F R F' U2 R2 B' R' B R',U' L' B' L' B L' D2 R F' R' D2 L',50
L2 U' B' R2 L2 D' L2 B F R' D L R B' U' D F L B' L R2 D B U',x x,R2 B L U2 L' B' L D' F',L2 D R D L2,R2 U R2 U' R2,U2 R' U2 R2 U R U R,F' L' B' L F L' B L,U' U' F2 D' L2 U L2 F2 D R2 U' R2 U2,48
F2 L F D' F' D2 U L D' U2 L F L B2 L D' U L D2 F2,x x y,R F' L2 D F2 R B' D,U F2 D F2,U L U2 L' U B2,R F2 R2 U L2 B2 R' D L2 R2,F R B' R B R2 F',U2 L' R' U2 B' U2 B U2 L R' D' F2 D R2,49
F2 B2 R F D2 B R2 B R' F2 R D' U2 B' L' R B U2 F' U2,x z x,D2 U' R U2 F2 R' U F D2 B',L' B2 R' D2 R' B2,L U F2 U' L',U R' U' F2 U F2 R,,U2 L2 B2 U' B2 D L2 D' L2 U L2 U2,40
U D R' B D2 L' B R2 B' D U F B2 L2 U B' F' R F U B R' B' D2,x x,F' R D' U2 R B' F U L,U L2 R' D' L2,R' U' R U R2,R U' R',B' U' R' U R B,U' B' U' B' U R' B L' B' R U' B2 U L U2,43
D' U B R2 L F' L2 R2 U D2 R2 B' F' D B2 F R2 L2 D R',z z,D2 B F D B2 R2 D2 B' R',L2 U R2 D R2,D' U2 L U' L' D,U2 L F2 U F2 D' L2 D U2 L',B' U' R' U R B,L U' L' B' U B L F' L F L2 U',48
U2 L' B2 U' D' F2 U2 F R B U R U' B L' D F2 L B2 F R D,x x y,U2 F' L' F' R D' L U2 L2,F2 D' B2 D' F2,R' U R U' B2,B2 R F2 U' L U L' F2 R' B2,U2 L' B' R B L B' R' B,U U' L2 D' R2 D' F2 R' D' L D2 R' D L U2,53
L B' R' L2 F L' U' D2 F U D L F' R' L U' B2 L' B' L2,z z,R D U2 R F' U B R D',U' R2 D' R2,U L2 U' L' U L2,U2 L D' U L U' L' D U2 L',F U2 F' U' F U' F',L' D F2 R2 D R' B2 R D' R2 F2 D' L,49
B F2 L2 R2 U2 F2 R L2 F U2 R D2 R' L' B2 F2 D B R2 U2 B2 D2,x x,B' L2 B F2 U2 B' D L D' F',U L2 R2 D L2,R U' R2,U' B' F R2 B F',F R2 B' R' B R' F',R F' L2 D' B' D L' F R' F' L' F U',44
L2 U L D' L2 U2 B D R2 F L2 R U' L U F' D R' B' D F' L F U2 R,x x,D B F' R B D R D2 B,U2 L2 R D' L2,U2 R U' R' U2 R2,U2 R' U' R U' R U2 R,U B' R' F R B R' F' R,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',53
F' L2 U2 B R2 F' D U L' D' L U L B L D B' R' D R',x x,D B L2 B2 D2 L' B U L',L2 D L B2 L,U R' U R2,U B R' U2 R2 U2 R B',B' U F U' B U F',L' B R' U2 L F' L R2 D2 R2 F L' R U2,47
B D2 B2 R' B2 L B2 U' D' L U' B F' L' R2 D' R B' L2 B U L B',x x,U' R U2 L F U2 R B' F2,L' B2 L' D2 L2,U' R U R' U R2,U' R U2 R',,L' B R' U2 L F' L R2 D2 R2 F L' R,37
L' F' B' D R D' U' B2 F2 U' L F D2 U L' R2 U' L B R2 L2 F2,x x,L2 R' B2 F' R' B D2 B2,U L2 R2 D L2,R U2 R2,U' F' U F U B' R2 B,F U' B' U F' U' B,U' R2 B2 R F R' B2 R F' R U2 U,43
D2 L2 R' D' F2 B2 D2 F R L2 F R D2 R2 F2 L' R D F U' B2 D B2,x x,R2 D' L' F R' F2 L2 D B',U' R2 U L2 D L2,U2 R' U R2,F' L F' L' B' D' F' D B F',U2 B' U2 B2 U B2 U B2 U2 B',F2 L2 U' L2 D F2 D' F2 U F2 U,50
F R2 B' U' D2 R D L F' B R' B L2 U' L' U' B' L2 B R2 L B L2 R',x x y,R' D2 U' B F' R B' D' F2 D2,R2 B2 U B2 R2,R D' R D R2 B2,U' L' B2 D L' D' L B2 L B2,L U' R' U L' U' R,U U' L2 D' R2 D' F2 R' D' L D2 R' D L U2,53
D2 R' L2 B2 L D' F2 R2 L2 B' R D L2 F2 L' D L2 R2 D' L D2,x x y,U R' U F2 R' U' B' F' D2,B2 U' F2 D' F2,L U2 L' U B2,U L' B2 L' D' R D' R' D2 L2,L' B' R B L B' R' B,B' D L2 F2 D F' R2 F D' F2 L2 D' B U,51
R' D U2 F2 D B2 R2 D R' B' D' B D U' F B D2 B D2 U L F' R' U2,x x,U B' L D2 L F' D L2 F' D,F2 L D L' F2,,B' F R2 B F' R U2 R',U F' L F L' U2 F2 R' F' R F',R D B' U B' U' B' U B2 D' U' R',46
B' F' R B D' F2 R B' L' D U B2 L D2 R2 F R2 D2 L B' F2 R2,x x,F2 L' U B D' L2 F2 L F,R2 U L2 D' L2,D' L F2 L' D,U U' R' F' U' R' U R U F,F R B' R B R2 F',R' U' R U' R B2 R' B2 L' B2 R B' L B' R',51
B L' R2 F2 R' D B2 L F R2 B' L D2 U2 L2 R2 B R' L2 U2,x x y,L2 D' R' F U2 F R' F L2,B2 U F2 D' F2,U' L U2 L' B2,R' U2 R U R' U2 R,U R' F' L' F R F' L F,U2 F U' R B' R' F' R B R' U' F U2 F' U,50
F2 R' F2 U' L' U2 B L D2 R B2 L2 B U' B' D2 F B D R U B' D,x x,L B F U F U' B2,L2 D' R D L2,U2 R2 U R2 U' R,B' R2 F' U F U' R2 B,U2 B' U2 B2 U B2 U B2 U2 B',L R U2 R' U' R U2 L' U R',46
L B' F L' D' F R2 D R L U' R2 B' L2 F2 U2 R F' R2 U R2 F L' U2,x z x,L' R B' L D' U' R' B2 D,L' B2 R B2 L,F2 U' F2 R U R',U2 R' U' R U' R' U2 F2 R,F R B' R B R2 F',L2 D R B L' U2 L B' R' F2 D' L2 U,49
D F2 D L' F2 L2 R D2 F D F' U L2 F' B2 U' F2 U F2 U B2 D,x x,D2 R2 F2 D' R U F2 R2 D' B,L2 R D L2,R' U2 R U' R2,U U R2 B2 R' B2 R' U B2 R2 B2,,U2 L U' F R' F' L' F R F' U' L U2 L',44
D F' B D' B U' F' B U' L2 U L D U F R B2 D' L' B,x z x,L2 D' L F' U' B' L F2 D' R2,B2 R' D2 R B2,L F2 L2 U L F2,L' U' L' B2 R D2 R' B2 L2,U' L' B' R' B L B' R B,U' L2 U' B F' L2 B' F U' L2 U2 U',51
L' U2 D2 R D2 R2 B2 L R2 B2 D L' U L F2 B' D2 U' B2 D2 U2 B2 F2 U2 B,z z,L' D' U2 B U2 L2 F2 D2 L F,L R2 D' L' D' R2,L' U L2 U' L,U2 F' U' L2 U F B' U2 B,F' U2 F2 U F2 U F2 U2 F',L' U R' U L U2 B L F2 L' B' F2 U R,53
R2 D' R B' D R F' B' L U2 D' R' F L U' R' D B2 F L D,z z,F' L' R F D L' F2 D2 F,L U2 R2 D R2,U L' U' L2,U2 U B R2 F' L2 F R2 B',F R B' R B R2 F',U' L B L' B2 U' B2 L' B' L' U' L2,46
L2 R' D L U' R2 F2 L' R2 B' L2 U' B F U2 L' D2 B' L F D2 F2 L' D' L2,x z x,B2 U' R2 U F R D2 R' B' L,L' B2 R B2 L,L' U L U2 F2,L' U' R' U L U' F2 R,U2 R' U2 R2 U R2 U R2 U2 R',U2 F2 R2 F L F' R2 F L' F U2 U',50
L' R U R U D2 R2 U2 L2 R U L' U D B' R U F B2 L D2,x x,R' D2 L' F U' B U' R2 D,L2 D' L' F2 L',U' R2 U' R,U R D' R U R' D U R',F' L' B' L F L' B L,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U2,50
L2 U R' B2 R2 U' F' D F R U2 L2 D U2 L2 D2 B' R2 U' D L2 F L',x x,U2 B R D U F' U2 B' D,U L2 R D L2,U' R' U R2,R U' R2 U2 R2 U2 R,F U2 F' U' F U' F',L' B R' U2 L F' L R2 D2 R2 F L' R,45
F2 B' R2 F2 U' F' D2 B D2 U R L2 D2 F U2 F2 U R2 L F B L' D2 B',z z,R' U F2 U L D' L2 U' F,U2 L R2 D R2,U2 L' U L' U' L2,U2 B F' L2 B' F,F' U2 F2 U F2 U F2 U2 F',U' L' U R' U L U2 B L F2 L' B' F2 U R U2,51
F L D' F2 U B2 D2 U' L2 U2 R' U D R' D' B F D2 U B2,x x y,L B2 F2 L U B R' B L',F2 R D' R' D2 F2,R' U' R U B2,L' B2 R' U R U' B2 L,F R2 B' R' B R' F',U' F' L F' L2 B L' B' L2 F2 U' U,47
U' R2 U' L' B R' L D2 B L R U' B U B L' B R' D' F2 D' B' U R,x z x,U2 B' F2 U2 R' D2 F' D' B' F',B2 D2 B2,B2 D2 F2 D2 B2,B' R' F2 R B,U' R' F' L F R F' L' F,U R2 D L2 D F2 L D R' D2 L D' R' U',46
F2 R L' F2 L B R D B2 D' L R' U2 D' F' L2 B U2 L' F2 L' U2,x x,L' R' U2 F L B' D' F' L' D,U' L2 D' L2,R' U2 R U' R2,U U2 R' U2 R U2 R2 U R',B' R' F R' F' R2 B,U B U' B' U2 B2 U L U' L' B' U' B' U2,49
U' R' U' B' U L2 B2 U' F2 D F L B2 U2 B2 L' B F L' U F',x x,R' D' R F' L' F D L2 B',L2 D L2,U2 R2,U' B' R' F' R' U' R U B F,U' B' U2 B2 U B2 U B2 U2 B',U2 R' U L' U R U2 F R B2 R' F' B2 U L U2,50
F2 L2 R' D2 U L2 R' F2 D2 B' D' L2 F2 L' R F2 D F' D' R2 L B2,x z x,B' U R U F' U2 B' D2 L',B2 D' B2,U F2 U' R U R',U2 L' R' U L U' F2 R,R' F' L F R F' L' F,F' D R2 B2 D B' L2 B D' B2 R2 D' F,47
L F2 L2 U R F' L R2 D2 R' U L2 U' D R' L' F R F' L,z z,F' U2 B' D' U R' B D' R,R2 D' L2 D' R2,U L U L' U L2,U' B2 D' F2 L D2 L' F2 R D B2,B' R' F' R B R' F R,U F2 D F' U' B U2 F' U B' U' F2 R2 D' F2 U2,55
D2 R' B D R' L B' R F2 D2 R' B L' F' D' L B2 L U' D B R' B' U2 R2,x x,B' U L R2 F' D' B' U' B2,L2 D' R' D L2,R U' R2 U' R,B R' U2 R U2 R B' R U' R',L' U' B' U B L,U' F2 L B2 R D L D' L' R' B2 F L' F,49
B2 R2 L' B L' F' U' R2 L D U B' R2 B' R' U2 D' R B F2 L' U2,x x,L' U R' D2 R B' U F',U L2 D' L2,U2 R U R2,B U' F2 U B' U' F2,L' U' B' U B L,U2 U' L2 F' L' B' F' D R' D' B F2 U L',43
U2 B F' D2 R B U2 D2 L2 R2 B2 D L2 R' U' F' R2 B' L' B' R L D',x x y,B R D L' U2 B' F' U' R',R' F2 D2 L' F2,U2 L U L' B2 U2 B2,U L' U' L U' L' U2 B2 L,U R' F' L' F R F' L F,U2 R2 U' F B' R2 F' B U' R2 U2 U,51
F L2 D' R F D L F L' R2 B' F D2 F B2 R2 D2 U' B R2 D,x x,B' L2 U2 L2 D2 F' D' R B,L2 R D L2,U2 R' U2 R2,U B' U' R2 U R2 B R U2 R',U F' L F L' U2 F2 R' F' R F',R2 B2 L' B' L B2 R' B R',47
L' R2 B2 R2 D2 B' U' B' L2 R' U2 R2 D' R D' R B U L' R' D L R' B U,x x,B2 R2 D2 R' U' F D L2 F,U L2 D L2,R' U R2,U2 B R' U2 R U2 R B' R U' R',U' B' U2 B2 U B2 U B2 U2 B',U' F2 D' L2 U L2 F2 D R2 U' R2 U',49
L2 D' R2 L U2 L B L' D2 R2 L2 F2 B R L2 D2 R L2 F2 U2 F B,x x y,L' B2 R2 B2 R' B U2 F D' R',R' F2 L' D2 L' D2 F2,B2 D' R' U2 R D,U2 L' R' U' L U' L2 R B2 L2,B' R' U' R U B,U' F2 D B' R2 B D' F L F L' F U2 F',53
L' D2 R' D2 R' B R L' F2 R2 D U' L' R2 B D' F U2 R' D U' L B2,x x y,F L' R2 D' F2 R U B',B2 F2 D' F2,L U L' U2 L U' L',U' B2 L' B2 L' D L D' L,U2 R' F' L' F R F' L F,U' L2 D R2 D B2 R D L' D2 R D' L' U' U2,52
B' L2 D' F R L2 U' B' R U R B U' D B R L' D F2 B D,x x y,D2 B L D' R2 U B' F2,R2 B2 U' B2 R2,D' R' U2 R D,R2 B2 D' R U' R' D B2 R2,L' B' U' B U L,R B' R B2 L' B L B2 R2 U2 U',44
B R2 L B' U2 L' U F R U' B2 D2 U2 B U' D2 R2 D2 U' R B2 R',x x,U2 R B' D2 L B2 D' B' D',U L2 R D L2,U R U2 R2 U' R,U2 U' R' F' U' R' U R U F,L' B' U' B U L,U' B2 R2 B' L' B L2 F' L F R2 L2 B2,49
U R' D' U B2 D2 F' U2 B2 F2 D' B2 U' B2 U F D F2 B U,x x y,U2 F2 L D2 F2 U2 B' D,B F' D2 B' F L2,R' U R U B2,,U2 L' U2 L2 U L2 U L2 U2 L',U' F' U2 F R B U' B' U' R' U' F R' F' R U',45
L D B' U F' U' F2 R2 L2 B2 D2 U2 L F D B U R L2 U2 D2 R' U2 R F,x x y,F2 L D' L2 F' R B U2 R',F2 R D R' D2 F2,D L U' L' D',R' U' R' F2 L D2 L' F2 R2,B' R2 F R F' R B,B U B' U B U2 B2 R B L' B2 R' B2 L,50
B D F B D2 R' U2 B' U' B F2 L U B2 L2 D B2 D' B D U' R2 F',x z x,D2 F U' L R2 B R U' F',L B2 R2 F2 D2 B2 L',U2 L F2 L' F2,R U R2 D' F2 D R,F U2 F' U' F U' F',F' U B' U F U2 L F R2 F' L' R2 U B U,50
F2 D' R' F2 U2 D R' D B2 L' U B R' D2 F2 R' D B U' R F,x x y,U B2 R' D F2 R' D' B' R,F2 L2 B2 L' F2 R2,B2 R' U' R U B2,U' L' B2 L R' U R,F R2 B' R' B R' F',U' L U2 F' D R2 B U2 B' U' R2 D' U2 L',49
F U2 F' B' L F D2 L' B' R F R D' R2 U R D2 B' R U' R2 B2,x x y,L' D' F' U' R F2 D' L,L F2 D2 R F2,R' U' R U' B2,B' U2 B U2 B R B' R' B,L' B' R B L B' R' B,B2 R2 D2 F2 R' L' D2 B2 R' L',45
L' R2 D L2 U B' R' D2 U' F U2 R B U' B R U2 B2 F' U,x x y,D2 B' R B2 D R F U' R',B F' D2 B' F L2,R' U' R U' B2,B' R B R' B' U' B' U B,F U2 F' U' F U' F',U F B U2 B' U' B U2 F' U B' U,48
U' F2 B2 U' D2 L U' L' U2 L' R2 F U2 D F R2 B' U D2 R2 F2 U,x x y,D B2 U2 L' B' L' R' B',R' F2 D2 L' F2,U' B2 L U L',R' U2 R U' L' B2 L,F R2 B' R' B R' F',U' U' F U F2 D' L' U' L D U F2 U2 F',46
B2 F' U R2 F R F' B U2 R B' F' U' F B L F' L F2 U' R' D2 L,z z,D' B' F U L D' U' F2 R',D2 L R' B2 R,L' U' L,U R' F2 L F2 R,L' B' U' B U L,U R U B2 U' B L U L' U B U2 B R',43
U' L' F U L' R2 U2 D' F2 U' F U2 R L' B2 R2 D2 F2 D B2 R' F' B L' B2,x x,F U L2 R' D' F U L D2,L2 D' R D L2,U R U' R' U2 R2,U R2 F' U' R' U2 R U F R2,B' U' R' U R B,L U' L' B' U' R' F' U2 F U2 R U2 B,49
B D' B2 L' U2 L' F U2 B2 R2 L D F' R2 D' F R' B D' B' R F' L',x z x,L2 B R2 U R D' U2 R2 B2,U B2 D R D2 B2 L,F2 R' F2 R2 U R',D' L2 U' L U2 L' U L2 D,U R' U2 R2 U R2 U R2 U2 R',U2 U' L2 D' B2 U B2 L2 D F2 U' F2 U2,54
D' L2 B2 L2 R2 F2 D L B D2 L' U' F2 B2 R D2 L' U2 L' U D2,x x,D2 B2 U B U2 L B' D,L' B2 L' D2 L2,R',U' U2 R' U2 R U2 R2 U R',B' R2 F R F' R B,U' R F' L2 D' B' D L' F R' F' L' F U',44
L2 B L' D2 L' B' U' B U L' D' B U B' D2 L U' B' D2 L2 D2 U R',x x,L' D2 F2 U F U F L B',U2 L2 D' L2,U' R2 U' R,U U2 R2 U2 R' U' R U' R2,F' L' B' L F L' B L,U' L R U2 R' U' R U2 L' U R',45
B' D2 U2 F' B2 D' F' D B2 U2 B2 F' R F2 L F2 R' B' R' B' F D,x x,B' U F D' B L' R' U2 F',U' L F2 L',R2 U2 R U' R2,U' R' F R B' R2 F' R' B,L U' R' U L' U' R,U' L' R' U2 L R F U' B U2 F' U B' U',48
R' U D2 B' R D' R2 B2 R2 L D F2 B2 R2 B L F D2 U' F L2 F',x z x,F' D2 B2 U' B F R F D2,B2 L D B2 U2 R,L F2 L' F2,U' R' D' L U L2 U' L' D R,F R2 B' R' B R' F',U' L F L2 D2 R2 B R2 D2 L,46
F' L' R' D2 R2 B F2 U2 D2 R U2 F' D2 F2 U F U D F R2 B D,x x y,U2 L F2 R B' F2 D B R F,B2 U' F2 D' F2,R' U R U' B2,U2 R U2 R2 U' R2 U' R',U' R' F' L' F R F' L F,U' R2 F2 U' F2 D R2 D' R2 U R2,48
U' B2 D' F R B D' L R2 U R2 U L R2 F' L' B R2 F' B' L F2 D2 F',x x y,B D L D R F' L2 F2 L,B F' D2 B' F L2,L2 F2 D' R D F2 L2,U L' U' B2 U L,U L' B' R B L B' R' B,U F2 U R' L F2 R L' U F2 U' U',49
F2 R' L F2 B L F R' U B' L F2 U L2 U' B' R2 B' R' D',x x y,R2 U2 B2 R B' D F L,U2 F2 D F2,D' U' R' U' R D,U2 R' U L' U R U2 B2 U L,U R' F R F' U2 R2 B' R' B R',L' U2 L2 U F' L' D' L2 D F L U' L' U',53
R' B U2 D L B R' D B' D' U2 R B' F' U D F B' D F L2 D R,x x,F' D B F' U R B' L D,L2 D R' D' L2,R' U' R,U' R2 F' U' R' U2 R U F R2,F' L F L' U2 F2 R' F' R F',F' U F U2 F2 U' L' U L F U F U2 U2,51
D U' B' R' F2 L2 D2 R B U B' D' R2 F2 B L F2 D U B2 L' D' F',z z,F D' B' F R' D2 L' B2 F',U R2 D' R2,U' L2 U' L2 U' L,U' F' L2 F' D' B D' B' D2 F2,U' F' L' B L F L' B' L,U' F' L F' R2 F L' F' R2 F2,48
B R U2 R B' D' R D2 L R' B' U B L' F' L F' U' B2 R' D' F',x x y,R' F2 L R2 D' R U B L2,B F' R2 B' F D2,D U L U' L' D',L2 D2 R' D R D' R D2 L2,B' R' U' R U B,U' F' U2 F U' B U2 L F' U F L' U2 B' U',51
B D' U R' U2 B F2 D B2 F' L2 B' F D F2 B2 D2 B R2 U F2,x x y,L D' F2 L D U' B R2,B F' L2 B' F,B2 U' L U2 L' B2,U' L2 D2 R D R' D L B2 L,B' R' U' R U B,U' L' R' U2 B' U2 B U2 L R' D' F2 D R2 U,50
U L' D2 U L D' F' D' R2 D B' F' U L2 U2 R2 F' R' B2 D U2 F,z z,D L' F2 R' U L' R D2 B',B2 R D R' B2,D' U' L U L' D,U' F' U' L2 U L2 F,F R2 B' R' B R' F',U2 B2 D F R B' U2 B R' F' L2 D' B2 U U',49
F2 D2 F' U2 L2 F2 L U2 L' F R B D2 F D' R L' U2 F2 R L' B R2 U2,x z x,D2 B' U L D2 U B F',L U L U' L',F2 U2 L F2 L' F2,F U2 F' L' B L' B' L2,L' B' R' B L B' R B,R' F R' B2 R F' R' B2 R2,44
F' U' R F D L R' F2 B' L' F2 R2 F' D' B2 R2 U F L2 D' F2 L' U,x x,D' B2 L R D' B L' U F,L' B2 L' D L2,U2 R,U' B U' F2 U B' U' F2,,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,40
U R L D B2 L' D' L' R' F' U' B2 U2 L' F2 D' B2 R' B2 D2 R' B L',x x y,F' R F2 L2 F D2 B D L D2,R2 B2 R' B2 R2,R' U' R U2 B2,U2 L' B2 L R' U R,L' U2 L2 U L2 U L2 U2 L',F' U2 F R B U' B' U' R' U' F R' F' R U2,51
B D' U' R2 L2 D B2 F' R B2 U B' U2 B D' L U2 L U2 L2 D F2 B R2 L',z z,D2 B' F' L' R' U L' R2 B',F2 R2 D' R2 F2,U L' U' L2,U' U' L' U2 L' U L2 U L,F U2 F' U' F U' F',U,35
B F' R2 D' B2 U2 F' B' D F B2 R U2 B' R F' U2 F' L' U2 D',x x,U L' B U' L2 R D' B' D,U' R2 U L2 D L2,U R2 U' R2,U B2 R U R2 U R2 U' R B2,F U' B' U F' U' B,L U' F R' F' L' F R F' U' L U2 L',49
B' L' D R2 D2 B' D' F D' L2 F2 D2 R2 D2 R L' D' F' U L R U F L2 B,x x,D' R2 F D2 B L D2,U L2 D L2,U' R U' R,R U' R' U2 R U R',,R2 B2 R F R' B2 R F' R U2 U,33
R' B2 U2 D2 R' U' L2 F L' F2 U' B D L2 D B2 L2 B L2 U2 F2 L D',z z,U L F' R F U' R2 B' F2 D',L U2 R2 D R2,L U L' U' L2,U U2 L' U' L U' L U2 L,U2 B' R' F' R B R' F R,U2 F2 L U' R U2 L' U R' L2 F2 L2 U F2,52
F B2 U L' F' B L R F R2 L' B F' D F L' D' F D2 F' B' U,x x y,R2 B' R D F' U L R',F2 R D' R' F2,U' L' D L' D' L2,U' L U L2 D' B2 D L,U2 L' U2 L2 U L2 U L2 U2 L',L2 D R2 D B2 R D L' D2 R D' L' U' U',51
U' L D U2 F' L R' U' L2 B F D F2 L2 U' B2 D' L B2 D' L',x x y,B' D2 L2 U2 R' B' U F' R',U' F2 D F2,L2 F2 D R D' F2 L2,L' U R' U' R B2 L,R' F' L' F R F' L F,U2 F B U2 B' U' B U2 F' U B' U2,47
D U' R2 D' U' B R' F2 R B F' L' F B2 D F L' R B2 L2 B U' L' U' B2,x x,B2 L2 B' L D2 U2 B U' L',L2 D2 R' D L2,U R' U R' U' R2,L F2 R2 F2 L' U2 R,,B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,41
B F D' F R U2 D2 R2 L' F B' L2 F R D2 R' D' B L' B,z z,D R' D2 U' R B' D2 F' R',U2 R2 D R2,L2 D' U2 L U' L' D,L D' U L U2 L' D L',U2 F' U2 F2 U F2 U F2 U2 F',U' R2 U B' F R2 B F' U R2 U' U,50
U2 D B F L R2 D' B D' F' D L U D F' D R L2 B2 F,x x,R' U2 L U2 R' D' B2 U' B,L2 R D L2,R' U2 R U R2,U R2 B2 R' B2 R' U B2 R2 B2,B' U' R' U R B,U' B' R' F' R B R2 U' R F R' U R2,47
L' U' D F' U2 D' R2 F2 L R B' U D B' L2 U L2 B F' U R D,x x y,B' U' R2 D2 B U L B2 R2,F2 R D2 R2 B2 R F2,U' L U L',U2 L' B2 L R' U R,L' B' U' B U L,F2 R2 F L F' L2 B L' B' L2 R2 F2 U' U2,47
R L' F' B U R F2 R2 L' F2 L2 B' F' L B2 R U D2 F' R,x z x,B D2 B' D' B2 D2 F L R',L' B D' F2 D B' L,R U2 R2 D R' D' R2,U L2 U2 L U L' U L2,U L' B' R' B L B' R B,U2 B' F' U2 B F L U' R U2 L' U R',53
R L2 B F2 R D F2 L2 R2 B' L' F R' U R' U' F2 B L F L,x x,B' L F2 U L B D' U2 L,L2 D L B2 L,U R U R' U R2,B' D' U L F2 L' D U' B,F U2 F' U' F U' F',U2 F2 L2 U' L2 D F2 D' F2 U F2 U2,48
U L2 U2 B L R' B F2 L' U B L' D' B D' F' L2 R2 B2 U R U2 D F',x x,R F2 D' L2 F D' B R2 D2,L2 D' R' D L2,U' R' U R2,R' U2 R' U2 R2 U R',F R B' R B R2 F',U2 B2 U B' L B U' B2 R B L' B' R',45
B F R2 B2 R' F2 U2 R' U L' B2 U' R2 L F2 L' B' F L2 D' U' L',x x,B R D2 B' L F' D B2,U' L2 R D L2,U2 R U' R,U2 R2 U2 R' U' R U' R2,F U2 F' U' F U' F',U2 R' U L' U R U2 F R B2 R' F' B2 U L U',48
