scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
F L2 F2 L' U2 L U D2 R' F2 D' R U' B U' L R2 B' F L2 F' R F D' L,x x,R U2 B' F2 L2 U' F' R' B',U L2 R' D L2,R U2 R2 U' R,U' R U' L2 D2 R' D2 L2 U2 R',B' R' F R' F' R2 B,U R' D' F L F2 L' F D R2 B U' B' R' U,51
L2 U B2 L U' R2 D F B R2 B2 F' U2 D R L2 D B' R2 B R' D' U' F,x x,R' D2 U2 L F D' R2 F D',L2 R D R' D L2,U2 R2,L' B2 R2 D' R D B2 L,F U2 F' U' F U' F',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',47
R2 D2 R2 D R' F L' U' R U D R L2 U2 D' L F2 B2 D2 L2 U2 F',x x y,B2 L2 R B F2 D B' D2,F2 R' D2 R2 F2 L',,U' R2 F2 L D2 L' F2 R2,F R2 B' R' B R' F',B' R B R' U B F R U R' U2 B' U F',43
D2 F2 D B F' L F' L F' L2 D B L D' L U' R2 B2 U L' D2 B2,x x,D' R2 D2 B R2 U B' R' F2,,R' U2 R2,U R U2 R2 U2 R' U2 R,F R2 B' R' B R' F',B U2 L' D F2 R U2 R' U' F2 D' U2 B' U,41
D F' U' L R U L' R2 F D' F2 L R2 B2 L' F' U' R' B F2 L2 U L D2 B,x x,L' R B D' U F L' B,L F2 L D L2,U2 R2 D R' U' R D',U R U' R2 U2 R2 U2 R,U B' R' F R B R' F' R,U2 U' F2 D' L2 U L2 F2 D R2 U' R2,49
F2 D U L' R2 F' U' R' U2 B L' R2 F R2 B2 F R2 U' B U' L B' R,z z,B D B2 D R U' B' L D2,R2 D2 L' D R2,L' U' L' U L2,U' L U' R2 D2 L' D2 R2 U2 L',U2 F' L' B L F L' B' L,U F2 D R2 U2 F2 U' F2 U' R2 F2 U2 F2 D' F2 U,54
F2 U2 R' U2 D2 R2 U' R2 B' F' D' U' R F' L' B2 L2 U2 F2 U F,x x y,F D B U L' U2 L F2 L,F2 L' D F2 U2 R',L' R B2 L2 R' U' L',U' L' B2 D L U L' D' L,F U' B' U F' U' B,U2 F2 U R' L F2 R L' U F2 U' U2,50
B F R F' B2 U2 L2 U2 L2 R B' D U2 F D F' R2 B2 U B F' U2,x x y,B U2 R' D L' F2 R2 B' D2,L F2 D2 R F2,R' U2 R U' B2,R' U2 R U L' B2 L,B' R2 F R F' R B,R U B U L F U2 F' L' B2 R B R2,46
R2 D U R' F L2 D2 L' B' D L2 F2 B2 L B2 R2 F2 R' B2 D' F,x x y,D2 L' B' L' U' R B D,F2 R D' R' F2,U2 B2 L' B2 L B2,U2 R2 B2 R U R' B2 R2,B' R' U' R U B,U' L' D2 F' R2 B' R' F B D2 B L B2 U,47
R2 L2 B R' B F' U' D2 B D2 F' B L2 F2 R' L' D' L2 F2 L' R' B D2,x z x,B D R B2 D F D' B' U' L2,B2 F2 D B2,F2 U2 F2,U' L B2 R2 D R2 B2 L',B' R2 F R F' R B,R U2 B' D L2 F U2 F' U' L2 D' U2 R' U,46
B2 D' F2 U D2 B L' R D2 F D U2 L2 D R' B' L' R2 F L R U' D' L F2,x x,L2 R U2 F2 D2 U B2 L U' B,U' L2 R2 D L2,R' U R2 U' R2,U' U R D' R U R' D U R',B' R' F R B R' F' R,U2 B' R B' L2 B R' B' L2 B2 U,49
U2 R F2 B' R2 U B' U2 D' L2 R B' U' D R' L B' U' B' F2 L' D,x x y,R D2 B2 F R U L2 B' D,B2 F2 D' F2,B2 L U L' B2,U' R F2 L2 D L2 F2 R',F R B' R B R2 F',U2 U R D' B D L R' B' U' B L' U,46
D' L F' R' U' L2 U2 B2 D2 L D B F U B2 L U L' D2 L' U2,x x,D L' U L' B F' L U' F,U L2 D L2,R U R2 U' R,U' B' R2 U' R2 U B,B' R' U' R U B,U2 U' R2 F2 R U F U R U2 R' F' U' F' R U,47
U' L R' U' F D2 R2 L U' L2 B' R' U2 R' U L' R D' B F' R' B',x x,B2 R2 U F U' L2 D' R F',R2 U' L2 D L2,D' L F2 L' D R',R' U' R' U' R U2 R,L' B' U' B U L,U B U2 L' D F2 R U2 R' U' F2 D' U2 B',47
B' R' F' R' B F' L2 D' U' F B2 R2 L' F' B D B D B' D' R',x x,R' D2 F' R2 F' L2 R' D',U2 L2 D' R2 D' L2,U R' U' R,U2 R2 U2 R' U' R U' R2,U F' L' B' L F L' B L,L2 U F' B L2 F B' U L2 U' U,46
D' B2 F2 L U R2 L' F' U' R' U2 L' F B L F L' R U2 D F2 U' D2 R2,x z x,R B' U' L U' R2 D' F' D2 R',L' B2 R' B2 L,D R2 U R' U' R' D',U L' U' L R' F2 R,F R B' R B R2 F',B2 D' F R' F' D B2 U L U L' U2,48
B' R' B D' F2 R2 L2 D2 R' B F D2 F' D2 F U B2 D R2 U2,x x,B2 L R2 F2 D B' U L' R2 F',L2 D' R' D L2,R' U R2 U' R,L' B2 R2 D' R D B2 L,U' F' L' B' L F L' B L,U2 R2 B2 R F R' B2 R F' R U2 U2,49
R B L F D R2 F U' B D U2 R U' F U' D2 F2 U D2 R' B U2 R',x x,F2 L F L' U R B D' U' B,U2 L2 R' D' L2,R2 U2 R' U' R2,U' R' U2 R U R2 U R,F U2 F' U' F U' F',U B2 D F2 D R2 F D B' D2 F D' B' U',49
R2 F D' B2 U D' R D2 L B2 R B L' U2 F' U D L' F' U2 F' U2,x x,L' U' B F D' R' U B F2,L2 R D' L2,U2 R' U' R,U' R' U2 R' U2 R2 U R',U2 F' L' B' L F L' B L,U' F2 D' L2 U L2 F2 D R2 U' R2,45
F2 D' B2 F U' D2 L2 B' L2 D2 U F B U' L' D' L B F' L B',z z,R2 D' F R F' D2 B R U' F',U R' F2 R,U' L U L' U L2,U2 U L D' L U L' D U L',U2 F' L' B L F L' B' L,U2 R U' B L' B' R' B L B' U' R U2 R' U2,54
R2 D F B R L2 B D2 R2 F D2 R' B' D2 L B' F R F R L2 D L2 R D,x x,U F2 R' F L D F2 L2 F',R2 U L2 D L2,R2 D' U' L F2 L' D,U' B2 F2 L D2 L' B2 F2,L U' R' U L' U' R,L2 U F' B L2 F B' U L2 U' U',47
U' D' F R B2 F D2 U2 R' D' U2 R2 F' U' R2 B' D' L' B D2 L U2 L2,z z,L U B R B2 L2 D F R' B,U2 L' R2 D R2,L U2 L' U2 L2,R' F2 D' L' D F2 R,F R B' R B R2 F',U U F U' F' U2 F2 U R U' R' F' U' F' U',49
F B' U2 B R' F2 D' R2 U2 D2 L' R D2 B' R F' B' L2 U B' L' B2 L,x x,B2 L D L R' D B L2 B2 D',U L2 R D L2,R U2 R2 U' R2,R2 F' U' R' U2 R U F R2,F' L' B' L F L' B L,U2 L' R' U2 L R F U' B U2 F' U B' U',51
B2 U' D2 R L B2 U2 D' L' F R' B' R D2 U L2 D2 B2 D F',x z x,U B L R U2 F2 D' R2 B' D2,L' B2 R B2 L,L' U L U' F2,F' U' F' U' F U2 F,F U' B' U F' U' B,B U' L F' L' B' L F L' U' B U2 B' U2,48
B2 F' D2 F' L' B' D U F B L' U' D B' R2 L' F R' U' L F',z z,L D2 B' L' D2 B' R2 D2,D2 U' L R' B2 R,U' L2,U' L' U2 L' U L2 U L,B' U F U' B U F',U B' R B R' L' B R L' B R' B' L2,44
F' R2 B F L2 B2 R2 D B F U2 D' B L2 D' R F2 R' U F' L' U2 L' U2 B',x z x,B2 D L U L R' F R2 B2,B2 F2 D' B2,F2 U' F2 R U R',U' F2 D' L2 U2 L2 D F2,B' R' U' R U B,U F R' F R L' D2 R2 D' R D R D2 L F2 U,49
U' B2 F2 U' L R D F2 B' D' L R' F2 B U' R2 F D2 R' D',x x,B2 D L' B2 U2 B2 D B,L2 D R D L2,R2 U R' U R2,U2 R' U2 R2 U2 R2 U' R',B' R2 F R F' R B,U' R B' R' U' F D2 F' U F D2 R2 B R2 F' U2,49
L2 B' U F' B U B' U2 L R2 D2 F' B2 R' L2 B' F2 R' L U' R' U D2 B2 D',x x y,U' L2 B2 L' D2 B' R2 U' L2,F2 L2 F2 U' B2 R2,R' U R U2 B2,L' U' L U' L' U2 B2 L,L' B' U' B U L,U U' B F U2 L U2 L' U2 B' F D R2 D' F2,49
F' U D2 B2 L B F' D' R' U' D' F D U F D' F2 D U2 F,x x y,R2 B' D R U2 B' D F,R' F2 D2 L' F2,R B2 R D' R' D R',L' D' R U R2 U' R' D L,U2 L' U2 L2 U L2 U L2 U2 L',U L2 D F2 U2 L2 U' L2 U' F2 L2 U2 L2 D' L2 U,55
U2 L2 D' L D' F L' B D U L' R2 F2 B' R2 L F' D' F U',x x,R' D B2 L R' D B R2 F',U L2 R' D L2,R U2 R U' R2,U' R' F' U' R' U R U F,F R2 B' R' B R' F',L' B L' B2 R B' R' B2 L2 U',45
R B' L' U' D B' D' F R' B2 R D' B2 U' L' R2 F2 R' L' B' F2 R U2,x x,R2 U' B2 L' R2 F D' U' B',L2 D2 R D L2,R2 U2 R2,U B' D' L U F2 U' L' D B,B' R' U' R U B,B' F R' D2 F2 L U2 F2 D2 R B' F' U U2,47
L' B' D' U F' B' R B L U R' F' D2 B2 U' F' U2 R2 F' L2 U2 R2 B F2 U2,x z x,D B' R B U' B' D F' L,L' B2 R' B2 L,U F2 R' F2 R2 U R',U' U2 L B2 R2 D' R2 B2 L2 U L,R' U2 R2 U R2 U R2 U2 R',U2 R2 F U' B U2 F' U B' F2 R2 F2 U R2,55
L R2 F D2 B2 D B2 F' L' F2 U R' B2 F2 D' F2 L B2 R' U F,x x y,B' F2 L U R D2 B' L' R,F2 R D2 R2 B2 R F2,B2 U L U' L',R' U2 L' B2 L U R' U R2,B' U F U' B U F',U' B' U F' U B U2 R B L2 B' R' L2 U F,52
D' U L2 B' U' B' D' R' D' R L2 F D R U R' F R2 U' D2 L2 B' F',z z,U R B' L2 D' B F2 D',B2 R D' R' B2,L U2 L2 U' L2,U2 B' R B' R' F' D' B' D F B',U B' R' F' R B R' F R,F2 D R2 U2 F2 U' F2 U' R2 F2 U2 F2 D' F2 U2,53
