scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
D2 R2 L D L' B' D' B2 L F2 D U' L2 F' U B' F' L2 U F B L,x2,L' R2 U' F L' B' D,R U R2 U2 R2,R U' R' U' L U2 L,U L U' R U' L',L2 D' R D' R D R2 D L2,R' F' R B' R' F R B,U' L U' F R' F' L' F R F' U' L U2 L' U',57
B F L' B F2 D' U' L R2 D L' R2 U F R F' L B' F' U' R',x2,D2 B' R2 D L F',U L U' R U L' U2 R',R' U2 L' U L2,L2 U' R U L2 R',U L R U2 L' R,U F' U2 F2 U F2 U F2 U2 F',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U',56
U' B R2 U' R L' F R2 B' L D' U R' U R' D' F' L R2 D' U',x2,U R F' L R B' D',D' U2 L' U' L D,L' U L U2 L' U' L,L' U2 L' U' L',U L U R' U R2,U' F' L' B' L F L' B L,U' L2 U F' B L2 F B' U L2 U' U2,52
R2 U F2 U2 R2 D R' F2 R2 L' D' B D' F D2 B2 D' R2 L F' D2 F' B,x2,F R F D' B',L' D2 L2 U2 L' U2 L' D2 L,L' U L2 U L U' L,L R' U' R' U2 L',U2 R' U2 R U2 R' U' R,U' F' L' B' L F L' B L,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',59
R' B2 R' B' R2 B2 D2 U' L U L' F D' U' F D2 F2 U B2 L U F',x2,D R U2 L2 F,U2 L2 U R' U2 R',L' R' U2 L' U' L2 R,,D' R' U' R D,B' U' B U' B' U2 B,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,46
L D2 F' R' L' B' D U' L B2 F D2 R2 B F2 U2 R F' L2 R',x2,F' D' F' L U' B,R' U L D2 U' L' D2,R2 U L' U' L R2,R' U L2 R U2 L2,U' R' U' R U R' U2 R,U' F' U2 F2 U F2 U F2 U2 F',R' D B2 L2 D L' F2 L D' L2 B2 D' R U',57
D' L' F2 B D R B' R' L2 U B2 F L' U' B' F' D2 U B D R U2 D2,x2,F2 U' L2 D' B' D',U R2 U2 R2 U' R2 U' R2,D L U L' D R D2,L2 R U' R' U L2,R' U R U' R U R2,R' F' R B' R' F R B,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',55
R2 L F' L2 R' D2 R' L F L2 U2 B L2 U2 R2 U B D2 B' R B D,x2,F' L2 U R' D' R2 B',R U R',L' U' L U L' U' L,U2 L U2 L2 U' L2,L D' R' U2 R D,U F' L' B' L F L' B L,U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,53
L' U' L2 B2 R2 F' L' B2 F2 U B2 F' U' L' D' R2 L2 B2 F2 U B2 D2 R B2,x2,R F2 D' L R F',U' R U2 R' U2 R U2 R',R D2 L2 R D2 L',L U' L',R' U R2 U R2,B U' F' U B' U' F,U L R U2 R' U' R U2 L' U R',46
B L2 R U L' R U' B2 R' D' F D B2 U2 L2 D2 F R B2 R,x2,L F L2 B L' D,L' U2 L U R U R',L2 U' L U' L' U2 L2,R2 D2 L' R D2,R2 D2 R' U' R D2,U' F' U2 F2 U F2 U F2 U2 F',U2 R' U L' U R U2 F R B2 R' F' B2 U L U,57
B2 L' F' D2 B F R2 L' U R B2 L B2 R U' F' U L2 F2 U2 B2 F' U2,x2,L' R2 F U2 R' B' D,U' R' U2 L' U R2,U L' U' L,U L' U2 L2 U L',R2 D' R U' R' D R2,U B' U2 F' B U L2 U L2 U' L2 F,U' R2 B2 R F R' B2 R F' R U2,53
R' B2 D R' F2 L D' R' B' U R' B D2 L D' F' D' F' U2 L2 D L2 D2 B,x2,R' F' U' B D2,U' L R U' L' U2 R',U' L2 U L2 U' L,U R U' L U L' R',L2 U' L' U2 R2,F U2 F' U' F U' F',B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,51
R' B L2 B' U D' R' D' F' D2 R2 F D' R2 U' F2 R2 F' L2 U2 R D2 U' L' D,x2,L' D' L R2 B,R U2 R2 U' R2,L' R D2 R' D2,R' U' L U L',U2 R U2 R2 U' R2 U' R',B' U' B U' B' U2 B,B2 D F2 D R2 F D B' D2 F D' B' U' U',49
R F2 R F R' F2 U' D2 R B U' R2 D' L' F2 R2 D B U' L2 D' R' L2 B',x2,D B2 L' R' D2 B',R D2 U' R' D2,L2 U2 L U2 L' U' L,R' D2 U L U' L' D2 R,U2 L U' R' U' R,R' F' R B' R' F R B,U' L R U2 R' U' R U2 L' U R' U,52
B2 L2 F' L' D R2 U F D' L2 D R U2 R2 L2 U' F B' L B2 F2 L D,x2,U R' U' B' L F,U2 R U R',R D2 R' U' R D2 R',U2 L U' L2,D2 U' R' U L D2,U B' U2 F' B U L2 U L2 U' L2 F,B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',54
F' L' F' R L2 U2 F B R2 L B' L2 F2 B' R2 U2 R' L2 D L2 F2 L B,x2,B' R' F L' D F',L2 U R2 D2 R D2,L U2 R' U2 L2 R,L R' U' L' U R,U R U' L U L' R',,U L' U2 L F R U' R' U' F' U' L F' L' F U,47
L2 B' D2 U F' R2 F2 R2 D U B D' L F L' D' F2 U2 L2 R D2 R U' L D,x2,F L2 U R U' B',L U2 R',L' U L U L' U' L,R' U R,L U L' U2 L2,U' F2 D' B L2 B' D F U2 F,L' B R' U2 L F' L R2 D2 R2 F L' R,47
L2 B' U2 B2 D' B R D' F L2 U' B F2 L2 B U2 D' F R U2 L2 D2,x2,D' B R' F' U' B',L' U R' U' R2 U2 R',R' U L' U' L R,U2 R' U' R U' R' U' R,L2 U2 R' U L2 R,B U' F' U B' U' F,U L' R' U2 L R F U' B U2 F' U B' U',54
F2 B2 L2 D2 R2 F' D2 U2 R U2 B2 D B D2 R2 F B' R F L' B,x2,F D' L' B' D' F,R' U2 R2 U R2 U R,L' U L U2 L' U2 L,R2 U2 R U2 R,R2 D2 U' R' D2,U F' L' B' L F L' B L,U' F2 U' L R' F2 L' R U' F2 U2 U,51
B2 L2 U L R2 F' U' D2 R' D R L B' D L2 D U F U' F D' R' D2 L',x2,R2 F' R2 D U' B',R U2 R',L' D2 L2 R D2 L',R' U R,L U L',U F' U2 F2 U F2 U F2 U2 F',B2 D F2 D R2 F D B' D2 F D' B' U' U',45
D' B' L U B2 R' B D2 B' L2 D2 U2 L R B' U2 B2 L' U2 L U' F2 L U',x2,F R' B U B2,L' D2 R' D2 R,U2 R D2 L D2 R' U' L2,L R' U R' U L' U' R2,U' L' U2 L2 U L2 U L,F2 D' B L2 B' D F U2 F,F2 L2 U' L2 D F2 D' F2 U F2,53
B' R2 F' D L' F2 B' R U D' B L2 D2 U2 R2 L' B2 U' F2 U2 B' F R L2 F',x2,B2 D' U R B' F' D2,L' U2 R' U R',L2 U2 L,L' U2 L U' R' U' R,R U' L U L' R',U2 F' U2 F2 U F2 U F2 U2 F',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U2,53
L F B L2 R' F L B R F2 B' L F B' U2 D R B2 R2 L2 U2 F2,x2,F' D B2 L D' B,U2 R U R' U' R U2 R',R U2 L' R2 U L,R' U2 R' U' R2,U2 L2 U' L',U B' U2 F' B U L2 U L2 U' L2 F,L R U2 R' U' R U2 L' U R',51
B U2 F2 L B' R' U D' R U2 R' D F B' L U F2 D B F2 R B' F2,x2,D2 R' U' F U2 B' D,U' R U2 R',U L' U2 L U' L,U L' D2 U2 L D2,R' D2 U L U' L' D2 R,F' L' B' L F L' B L,L' U2 L F R U' R' U' F' U' L F' L' F,53
L2 R2 F2 U' L2 R D2 U' F' U2 R' B' L B U2 R' L U2 L U2 D L2 D,x2,L D2 F D' U2 B',U' R U' R' U2 R U2 R',U L' U2 L,D2 R U L R D2,L U R U L2 R' U' L',U B' U2 F' B U L2 U L2 U' L2 F,U' L' U2 L F R U' R' U' F' U' L F' L' F U,60
D B' R' F D' U R U' B2 U2 R2 L' F' R2 F' U' R B2 U2 D2 B2 U' L' D' F',x2,L U' F' R' B' F,,D2 R D2 R' U2 L,U R U' R,L U2 R U' R' U' L',U' R' F' R B' R' F R B,F' L F L' R' F L R' F L' F' R2 U2,45
D2 R2 U2 R2 U' D2 B F R L' B' F2 R2 U2 F D2 R2 U L2 D2,x2,L R' B F' L D,L' U L U' R',D2 U L' U' L D2,L' D L U2 L' D' L,U L2 R2 U L2,F U' B' U F' U' B,U' R' U L' U R U2 F R B2 R' F' B2 U L U2,52
D U' B' U' L' D2 U' B' U2 D F2 L2 D R' F' D' U2 F D U' R' U2 F2 U' B,x2,U L F D2 B' L D,R2 U R U R',R U' L' U R' U L,L2 R' U R,U2 L2 R' U L U' R U' L',R U R' U R U2 R',U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U,54
L2 U D2 B' U2 L R2 F' D2 F2 B2 D B L' F' B R2 D U F L D2,x2,R' F2 R' F' U B',L U' R U L' R',L R2 U' L2 U R2,U' R' D2 R' D2 R',D2 U2 R U' R' D2,B' U2 B U B' U B,U2 R' U L' U R U2 F R B2 R' F' B2 U L U',53
R D B U' F' B' D2 F2 R' F2 D' F' B L2 R' B' R' D2 B D B' D' B D',x2,U' B L' D2 U' B,R U2 R',R' U L' U' R U2 L,R U R2 U' R,U2 L2 U L D2 R D2,F U' B' U F' U' B,B2 D F2 D R2 F D B' D2 F D' B' U' U,49
B R L F2 B2 L2 D F' U2 D' F R' B F U' L' R' B' R2 F2 D R2,x2,F2 R' F' R2 U B' D,R2 D R' U R D',R2 D2 L U' R' D2 L',U R' U' R U' R' U' R,L2 D L' U L D' L2,F U' B' U F' U' B,L' U2 L F R U' R' U' F' U' L F' L' F U2,57
B2 F2 D2 R' F' B2 R D R F' U' B' F' L U' F R2 U R L D' L2 R' B' U,x2,U L' D' U B D2,U R U' R2,,L D2 L' U L D2 L' R' U2 R,L R' U' L U' L2,U' F' L' B' L F L' B L,R' U L' U R U2 F R B2 R' F' B2 U L U,50
L' U' F L' D L' R D' L D2 F2 R2 D U' R' L2 F D' R B,x2,U R2 B F' L' D,U L' R' U2 R',U' L' U2 L2,U L2 U' R' U' R,U2 L U' L' U' L U L',U2 F' L' B' L F L' B L,U F2 L2 U' L2 D F2 D' F2 U F2 U2,50
B2 U2 L' D B' F D' U2 B' D2 U' B2 F2 L2 R U D2 B' L U2 D' B,x2,L' B2 F D' L2 F,R' U2 R' D2 R D2,R' U2 L' R U2 L,U2 R' U' R,D2 L' U2 L D2 L U2 L2,R' U' R U' R' U2 R,U U' F2 D' L2 U L2 F2 D R2 U' R2 U2,50
D2 L R' B2 R U R' U2 D F U F' U2 L R' B' R2 U R U L' R,x2,B F2 R' U' L2 F,U2 R U R' U' R U R',U L' U2 L,U' R2,L2 D' L' U L D L2,F' U2 F2 U F2 U F2 U2 F',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,51
B' U D' B' L' B' F2 D' L2 R' D' U2 R2 D' B2 F2 L D U R D' B D2 R,x2,F R' D' F' D B',D U R' U2 R D',L' R' D2 L R' D2,R U2 R2 U' R2 U' R',U2 R U2 L R' U2 L',F U' B' U F' U' B,U' L' U2 L F R U' R' U' F' U' L F' L' F U,55
L U2 R' U L' B' D2 U R' B' R' U2 R2 B2 F2 U2 L2 R' B' F' U2,x2,L2 B L' F2 L2 U' F,U' R U R' U' R U2 R',U R' D2 L' D2 R U L,R',U L U2 L' U' L U L',F U2 F' U' F U' F',U2 L' U2 L F R U' R' U' F' U' L F' L' F U2,55
R' B' D L2 F2 D' L' F2 U B' R F' B' U2 R2 D2 B R F' L F,x2,F U L2 D' F R' B',U' L R U' L U2 R2,L U2 L U' L U L' U2 L',R' U2 R,L U L U2 L2 U' L2,U' F2 D' B L2 B' D F U2 F,U L U' F R' F' L' F R F' U' L U2 L' U',58
B F2 L' R' U B2 F L2 R2 B2 F2 L2 D2 U' F' B' L2 R2 B U L' D2 L' B' F',x2,F2 D L' U2 B' D,U L U2 L' U R U R',U L U' L U L,R' U L R2 U' L' U' R2,U' L2 D L' U L D' L2,,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U,51
R' L' U' L B' R' B U R2 U L B2 D R L F2 U R D2 B' L' B' L D L',x2,D' L' B2 R2 D' F',L2 D2 R D2 L2 U2 R2,L' R2 U' L2 R U' L2,R' U' R,D L U L' D',U' F2 D' B L2 B' D F U2 F,U' L' U2 L F R U' R' U' F' U' L F' L' F U',54
D2 U' B' R U R2 L' D F' U' D2 F' R2 F U2 B' R' B R2 B2 R' L2 B',x2,D' F2 L' D R2 B',D2 R2 U R' U L' D2,U2 L2 R' U2 R U' L2,R U2 R2 U' R2 U' R',U2 L U2 L' U2 L U' L',R' U' R U' R' U2 R,U' F2 U' L R' F2 L' R U' F2 U2,53
U R L' D U R' U D2 B L D2 L' D R' B2 D2 U' F U2 R F2 D' L2 D,x2,R B L2 U' F',D L U2 L' D' R',D R U2 R' D',U2 R2 U2 R U R' U R2,L U2 L',U F' L' B' L F L' B L,U L' B R' U2 L F' L R2 D2 R2 F L' R U',51
F' B2 R2 U' R2 L' U2 R' D L' D2 R F2 B2 L2 D2 U' F' U L2 R2 D,x2,R B L U' F2 R B',U2 R' U' R U2 R',L2 U2 L U2 R' U2 L2,R2 U2 R U R' U R2,L U' R U' L',U' F' L' B' L F L' B L,L2 U F' B L2 F B' U L2 U' U2,52
D L B U2 R B2 D2 U2 L U' D2 L2 F' L R F' D U F' U',x2,R' F L2 R' B' D',U' L D2 L R' D2,R U' L' U R' U L,U2 R' U2 R,U L2 U' L',B' U2 F' B U L2 U L2 U' L2 F,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,54
L2 B2 R2 B2 F2 U D2 L F B R2 D2 B U R B U D2 B' U2 D' B' D' F,x2,B' F' U' R D' B' F2,L' U2 L' D2 U2 L' D2,L' U2 L D' L U' L' D,R' U L2 U' L U2 R,R' D2 L U L' D2 U' R,U F2 D' B L2 B' D F U2 F,U2 R2 B2 R F R' B2 R F' R U2 U2,59
B R L' B2 U D' R' U' R' D' R B F2 R U F' L2 U' B' D2 R2 U2 F' L2,x2,F' R U' R2 D F',R D2 R U' L' D2,L' U' L U' L' U' L,R' U' R,R2 U L2 U' R2,R' U' R U' R' U2 R,U' L' U2 L F R U' R' U' F' U' L F' L' F U2,50
R' L' F2 R D' L B' R2 L' U2 B' R2 D2 B' U L2 R' F' U2 D L' B2 F2,x2,R D' L2 R' U B',L D2 R U2 R' D2,L2 U2 L' U2 L U' L2,L2 U L U R U R,U R U' L U L' R',U2 F' L' B' L F L' B L,L' U2 L F R U' R' U' F' U' L F' L' F U',57
B' R2 B D' U' L2 D' U2 B F2 U2 R L2 B2 D' L F' R2 D' U2 R L2,x2,R' F D L' R2 F,U2 R' U' R2,L2 R' U2 L U L,R' U2 R U2 R' U2 R,U2 L U2 R U' L' U R',R' F' R B' R' F R B,L2 U F' B L2 F B' U L2 U' U2,50
D' U2 B F U2 D' B' L F2 B2 U2 L' R F2 D F U R L' B' D' L2,x2,L R' U2 F' D',U R' U L2 U' R',U' L U L U L U L2,U L2 U' R' U' R,U R' D2 L U L' D2 U' R,F' U B U' F U B',R2 F2 D2 L2 F' B' D2 R2 F' B',51
R U R2 F L2 U' D L2 F' B2 R2 D R D R2 F' L2 F2 D' B' D' U L2 F2,x2,F D' B2 U' R' D B',L U L' R2 U R2,L2 D L U' L' D' L2,R' U2 R U R' U2 R,L R' U2 R U' L',F' U B U' F U B',L' R' U2 L R F U' B U2 F' U B' U2,53
L U D' L2 D R' U2 R' L' D U B D F' D R F U2 D2 L' D' R' U2,x2,B2 R2 F,D2 U' R D2 U R',R D2 R' U R D2 R',R D2 L D2 R',L,F' U2 F2 U F2 U F2 U2 F',U L' U2 L F R U' R' U' F' U' L F' L' F U2,47
L2 D F R B R2 U L2 U' L2 D2 B' L D' B' D L2 B2 F R L' D2,x2,B R' B U' F,D2 U' R D2 R,L' U' R' U L2 R U L,L U' L' U' R' U' R,U2 L2 D L' U L D' L2,U F' L' B' L F L' B L,U' L' U2 L F R U' R' U' F' U' L F' L' F,57
F2 B L2 D' R L B D' U2 L U2 B R' D2 L' D2 U' L' F B U' R' B',x2,B F R2 D' R F',U2 R U R',U' L U L' U2 L,R' U2 R,L U L' D' R' U R D,F U2 F' U' F U' F',U' B2 D F2 D R2 F D B' D2 F D' B' U',48
U B2 U' R B' U R U2 L' U2 D L D L2 D B' F R F' R' D F D,x2,F' R' F2 L' D F',R U2 L U' L' R',R2 U2 L D2 L D2,R U R2 U R2,L U L' U L U L',,U' B2 D F2 D R2 F D B' D2 F D' B' U' U,45
D' F2 B L2 D' R' F2 D' R' D2 B F2 U' D2 R D R2 U' R2 B2 D',x2,B' D' L U' B' D',U2 L D2 U' L' D2,L2 U L,L' D L U' L' D' L,U2 L U' L',R' U' R U' R' U2 R,U2 L' R' U2 L R F U' B U2 F' U B' U',47
R' F2 R2 D' U F' D2 F' U B L' F2 L' B' F2 U L' B' U' F',x2,B' L' R2 D R F',R2 U' R U2 R' U2 R2,,U2 R' U2 R U R' U2 R,U2 L2 D2 R D2,,U B2 D F2 D R2 F D B' D2 F D' B' U' U',41
F2 R2 F' U' D2 F B L R2 U B2 D B R L2 D2 L2 B R' F2 U L D U2,x2,L2 R U2 B D' B,U' L U L' U2 R',U R' U L R,U2 R' U2 R,U' L2 D L' U L D' L2,U R' F' R B' R' F R B,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,53
U L2 B2 F' D F R2 D2 F2 L' U D2 B F' U2 B' U R U2 D2 B2 F' R F',x2,B2 D' L' B U2 F',L' U R2 U' R2 U2 R',D2 U2 R' U' R D2,R' U' R U R' U' R,R' U' L R U' L',U R' F' R B' R' F R B,R' D B2 L2 D L' F2 L D' L2 B2 D' R U,55
R' D2 L2 D2 U2 L2 D2 F U L2 D' U B' L2 B' F' D' U L2 R' U D',x2,B F' R D2 F',L' R U2 R',L' U' L2 U L2 U' L,L2 R2 U' R2,U' L U2 L' U' L U L',U F2 D' B L2 B' D F U2 F,U2 L' B R' U2 L F' L R2 D2 R2 F L' R U,53
D2 L U2 R2 L B D2 F2 U2 R L' B2 L2 B' D F2 U B' F D2 B L2,x2,B2 D F R' B' F',D2 R2 U' L' U' L' R' D2,D2 U R' U' R D2,L D2 L' U L D2 L',L U' R' U2 L' R,R U R' U R U2 R',U' L' R' U2 L R F U' B U2 F' U B' U2,54
B R' L' U' F' R2 L' B F R' D L' U2 D B U B2 D2 F' U' B L' R' D2,x2,L D2 B R2 D F,R U' R U R',U' L2 U L U2 L,U R' D2 L U L' D2 R,U2 L U2 L' U2 L U' L',F U' B' U F' U' B,U' F2 U' L R' F2 L' R U' F2 U2 U,52
L' U2 L2 R' D' B' U' F2 L' F' B2 D' L' F2 U2 D F2 B D' R2 D' L2 U D',x2,F L D2 B2 U' B' F,R' U' R U' R2,L2 R2 U L U L2,L U' R' U L' U R,L U L',U R' F' R B' R' F R B,U2 R' U L' U R U2 F R B2 R' F' B2 U L U',53
R U L R B' D' B R' D U' F' D' F2 R U' B2 R2 F R2 U,x2,U2 L B' F' R B',U R U R' U2 R2,L' U' R U L,U R2 U2 R2 U R2 U R2,D2 U2 L D2 U' L2,R U R' U R U2 R',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U2,53
R2 L' F R' U2 D2 L2 F' U' F D' B L B2 D R' U2 L' R D' L' F R2,x2,B F' U L' D' F,R2 U L D2 L R D2,L2 U2 L U' L,R' U' R U R' U' R,,U R' F' R B' R' F R B,U2 L' R' U2 L R F U' B U2 F' U B' U',48
D R' L2 D' U' L F2 U2 D R B L F D' F' D2 U F' U2 L U2 D' L',x2,B2 U L B' U' F',U2 R2 D2 L R D2,R' D R U2 R' D' R,L R' U' L U2 R,U L' U2 L',U' F' U2 F2 U F2 U F2 U2 F',L R U2 R' U' R U2 L' U R' U',50
F R B2 L' D2 U2 F L R2 F B R' F2 R' B D2 F D' R' L2 B2 L,x2,D' B L' D U2 B',L2 U L U L2,U L R' U L' R2,R' U' L U L' U R,U2 L U' L' U' L U L',F' L' B' L F L' B L,U2 L' R' U2 L R F U' B U2 F' U B' U',54
D' R' F2 D' R U D2 R F R U R U' R' D L B U' D2 L2 F',x2,L B' U' L2 B' D' F,R2 U L' U' L R2,R D2 L2 U L' D2,R' U R,D' R' U R D,F' L' B' L F L' B L,U2,36
B' U' R D R' B2 F D2 U2 R' D2 U L D B' F' R F' R' B D2 R U2 F,x2,B L R2 B' D' B' F',L2 R' U L,R U2 L R2 U2 L' R2,R U2 R2 U' R2 U' R',R' D2 R U R' D2 R,B' U' B U' B' U2 B,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U2,52
F R B D B R' L D' B' U B F2 L' B' R2 U R2 L2 D2 B' L' U F2 L',x2,U L B' R' B' D,U2 L,U2 R U R',U2 L' U' R D2 L' D2,R' D2 R U2 R' D2 R,U' F' U2 F2 U F2 U F2 U2 F',U2 L' U2 L F R U' R' U' F' U' L F' L' F U2,52
R L' F D' L2 R' U B2 R L U F' D2 R' D' L' F2 B2 R' L B D R,x2,L' D2 R F U2 B' D,U L D2 R D2 L',L' D2 R U R' D2 U' L,R U2 R2 D' R U2 R' D,U' L' D2 R D2,U' R' F' R B' R' F R B,U2 L' R' U2 L R F U' B U2 F' U B',56
L U' L2 U D L' R2 D U' R' B U' R2 F' R2 D L U D' L' B' R' D2 U' F2,x2,F2 U B2 L' R' F,L' U L,U2 R U2 L' U2 L R',U R U R U R U R2,D2 L' D2 U' L2,F' U2 F2 U F2 U F2 U2 F',U2 L' B R' U2 L F' L R2 D2 R2 F L' R U2,53
R2 L F2 D L2 R2 F2 B L2 D' L2 B' L D2 L' D2 F L2 F R',x2,U2 L R F' D F,R' D2 L U R' D2 L',R',R' U2 R U2 R' U' R,D' U' R' U' R D,R' U' R U' R' U2 R,R' U L' U R U2 F R B2 R' F' B2 U L U,49
F D' F2 B L R' F2 D R' L2 F' R' U2 R2 B' D' R' B2 U' L',x2,B U B2 R B' U' F',L2 D2 R' U' R D2 L2,L2 D2 U' L' R' D2,U R2 D' R U' R' D R2,L R' U2 L' R,R U R' U R U2 R',L' B R' U2 L F' L R2 D2 R2 F L' R U,54
D2 F' U B' U' F2 L B2 F' U' L2 B' D U2 F2 R D F2 L' R D2 R,x2,F U' R D2 L' B' F',U L' U2 L,U' L U' R U L' R',U2 R' U R' U2 R U' R,R' U2 L' R' U' L',U2 R' F' R B' R' F R B,U2 L' B R' U2 L F' L R2 D2 R2 F L' R,55
U B R2 B R' L D2 F B D U' B' L2 U2 D L R B L R2,x2,D' B R' F L' D B,L D L' U L D' L',D2 L R2 U2 L' R D2,L' R2 U L U' R2,R' U' L' R,R' U' R U' R' U2 R,U L U' F R' F' L' F R F' U' L U2 L' U,53
B' R2 U L' R2 U' L2 R' U' L' F' B' D' L F2 B L2 R D' L D U F,x2,B' U R F,L2 U' R' U R U' L2,R2 U2 L U' R',U' R' U2 R U R' U2 R,U L2 U2 L' U' L U' L2,F' U B U' F U B',U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,55
L' U B R2 L B F U2 D' R' U R2 U' L2 B2 F' R2 D' B2 R' B D B2 D F',x2,F2 D R2 B' D' F,U2 L R2 U L,L U L' U' R U R',R U' L R2 U L' R,U L U' L',U R' F' R B' R' F R B,U F' L F L' R' F L R' F L' F' R2,51
L' U2 R' L' B' D' L' U2 B2 F' L F L' B' R2 F' D L' R2 U2 R B R F,x2,D' F2 L F' U' B',R D2 R' U R D2 L' R' U2 L,L2 D2 L U R' D2,D2 U2 L' U' L D2,L2 U2 L2 U' L2,U F' U2 F2 U F2 U F2 U2 F',U2 L' U2 L F R U' R' U' F' U' L F' L' F U',59
L' F U2 D2 B2 L' F2 D U2 L2 U F L R' F' R' F L2 F U,x2,L' R' B R2 U' F,U L' R U L R',L U L' R U' R',R D2 U L D2 R2 U' R,L U2 L',B U' F' U B' U' F,F2 L2 U' L2 D F2 D' F2 U F2 U2,47
D2 F2 B' L B2 F2 L' R U R2 B U2 F2 U D2 R2 L U2 D' F2 D' R U',x2,R' D' R U2 F,U L' U2 L2,L R2 U' R',U R2 D' R U' R' D R2,D' R' U' R D,U2 F2 D' B L2 B' D F U2 F,U' L' R' U2 L R F U' B U2 F' U B' U,50
L U' B D2 F R' D2 F' U' R' L B2 R' F' U' B L F' B2 D2 R',x2,L' B U L2 F,U' R2 U' R2 U' L2,D2 U2 L U' L' D2,U' R' U' R,R' D2 U L U' L' D2 R,U F' U2 F2 U F2 U F2 U2 F',U B2 D F2 D R2 F D B' D2 F D' B' U' U,54
R2 L' D2 U F L2 R2 F B' R U2 R D F' L2 U' L U' B2 R D',x2,B R U2 R2 D B',L' R2 U2 L,U2 R2 U2 R U2 R' U' R2,U2 R' U2 R,U' L U2 R' U2 L',U' F2 D' B L2 B' D F U2 F,L' B R' U2 L F' L R2 D2 R2 F L' R U',52
L D B2 R' D2 L F D' B U D' R2 D R' D B2 D2 U L2 U2 F B,x2,F2 D' U' R' B' D,L U L' U' L U' L,D2 U2 R U2 R' D2,L' U L U R U R,U' L U2 L' U2 L U' L',F2 D' B L2 B' D F U2 F,U L R U2 R' U' R U2 L' U R' U',55
U L' U2 L' D2 L' D B' U' L D2 U R F2 L2 B2 R' F U' F2 R' B L',x2,D2 L F' U' R D B',L' U' L,U R U2 R' U' R U R',R' U R2,D2 R U R' D2 L2,B' U2 B U B' U B,R2 F2 D2 L2 F' B' D2 R2 F' B' U,45
R U' F B' D2 L F2 D B2 D' B2 U B' D2 F' D' U2 R U' D F,x2,D U F' R' B' D',L' U' L,U L' U' L U' R',U R' U2 R,D2 U' L R' D2 L,U2 R' F' R B' R' F R B,F2 L2 U' L2 D F2 D' F2 U F2 U',45
L2 D' F B' U B' U2 D' F R2 D' R2 D2 U' B' U2 B' F2 D2 B' D',x2,U' B L2 R2 D,L2 R' U R U' L2,R D2 L' D2 R,U R' U' R,L U2 L' U L U' L',B' U2 F' B U L2 U L2 U' L2 F,U U' F2 D' L2 U L2 F2 D R2 U' R2,50
D2 F' L2 F B2 D' B L F B2 L F2 L2 B' U' F' L B' D' U',x2,B2 U' L' F' D2 B,U L U' L U L,L2 U' L' R' U2 R',,L U' L',F U' B' U F' U' B,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2,43
R' F2 U' L B' R2 L F2 U2 L' R' F2 B' U' D R2 B2 F' L B D' R' B',x2,B D' F D2 U' B',L2 R2 U' L U' L,R U' L R2 U L' R2,L' R' D2 L U L' D2 L U R,R' U R U L U L',R' U' R U' R' U2 R,R' D B2 L2 D L' F2 L D' L2 B2 D' R U,57
B2 R' B2 L' F2 D2 B2 F' U' B' D2 U' F2 R' F2 R' B' D' R' L2 B2 F,x2,L B' F U F,R' D2 L' R' D2,L R U2 L' R',R' U L U L' U R,U2 L U2 L' U2 L U' L',F' L' B' L F L' B L,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U,53
D2 R2 D' U F2 L2 R F' B2 D' L B' R2 F B D2 F U2 R2 D U2 B' L2 U2,x2,U L2 D' F' R2 B,L2 U' L U L' U2 L,D2 L' D2,L2 D' R D' R D R2 D L2,D L U L' D',R' U' R U' R' U2 R,R' D B2 L2 D L' F2 L D' L2 B2 D' R U',51
F' L' D' L R F2 B U F2 R U2 R2 D L2 B R B2 R2 L D2,x2,F L D2 R' D' B' F,U L' R U2 L R',R U' R',R U R2 U R2,U L R2 U' L',U R' F' R B' R' F R B,U' L' U2 L F R U' R' U' F' U' L F' L' F,50
