scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
B R2 U' R' U2 L F2 D F2 U' L' F' L2 F2 B' D F U2 L' B2 F R,x2,D' R2 B R2 B',U L' R U2 R',L U' L2 U' L,L2 D L' U L D' L2,L' R' U' L U2 R,R' F' R B' R' F R B,U2 L U' F R' F' L' F R F' U' L U2 L' U',51
U L' U2 R' L2 D' F U' L2 D L U' B U' R' D' U2 R' U' B2 R' B' F R' L',x2,B R2 U' L' B,U' L R2 U' R',L' U' L,R U' L U L' R',D' R' U2 R D,F' U B U' F U B',U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',47
D' U' B' D F2 L' D2 F2 B U L2 B' F' U L F L' D L2 R' U' R L' U2,x2,B2 L' F' D' R2 B,U2 R2 U R',L2 U L U2 L2 U' L,L2 U L' U L U2 L2,R' U' R,B' U2 B U B' U B,U' F2 L2 U' L2 D F2 D' F2 U F2,45
R' U D2 R' D U2 R' B' D R' F2 D2 B2 D2 L F D' F D' B2 U' D2 F',x2,B2 F2 D' B' F' D,L' D2 L U' L' D2 L,L' U2 L2 D2 R D2 L',D2 U R' U' R' D2,U R2,U R' F' R B' R' F R B,R' U L' U R U2 F R B2 R' F' B2 U L U2,52
R' B D2 L U B2 R U' R B' F' L2 R' F2 D R2 B2 D' U2 R' D' U2 L2 F,x2,D' L' F' R B F,R2 U' R U' R2,R' D2 U' R D2,D' R' U' R D,L' D L U2 L' D' L,B' U2 B U B' U B,B' R B' L2 B R' B' L2 B2 U2,45
R D U' L2 F2 U' B' D2 L F2 B' D' U2 R' F D2 R F' B' U L2 B2 U2 L,x2,U2 L2 U' B' R2 D',L' D2 R U R' D2 U' L,L U' L D2 R D2 L',L U' L' U' L U L',R U2 R' U' R,U F2 D' B L2 B' D F U2 F,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U2,56
F R' L2 F D' F R' B' F2 L' U L U R' D' U2 R L2 U' D L F' D2,x2,D' L2 U' R B' D',L' U' R U2 R2,D L' U L D' U L2,U L' U2 L2 U L2 U L,U' R2 U2 R U R' U R2,U B' U2 F' B U L2 U L2 U' L2 F,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U,59
B D' L R2 F2 B' L2 U D' F' R2 L2 D U' B2 R' B F L2 U B2 U2 B L2 F2,x2,U2 R' D2 R2 D B,U R' U' R U R' U R',R U L2 D2 L' R' D2,U2 R U L R' U' L',L' U R' U' L U2 R,U' R' F' R B' R' F R B,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,60
D B D' U' B D F' B2 U2 B2 L' B' L' B' R' B' U F' R D' F R D,x2,L2 D U B' D',U' R U2 R',L' U2 L,L2 R U2 L',R D' R U R' D,F2 D' B L2 B' D F U2 F,L' R' U2 L R F U' B U2 F' U B' U,44
L' B2 L' R' B' F U' R' L2 B2 L' R2 B' D2 L2 D R' D U2 B U' L2,x2,B2 R' U B F,U2 R' U R U2 R2,L' U L,L' D2 U' R' U' R' D2,U L' U' L R' U' R,F2 D' B L2 B' D F U2 F,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2 U',52
R U R' U' L D2 B2 L' D L B' F2 L2 B2 U2 D2 R2 B L2 R' F R2 L' D,x2,D' L B' U' R B',L R2 U R2,L U2 L2 U' L2 U' L',L2 U' L2 U L',U L2 R' U R,U2 F2 D' B L2 B' D F U2 F,L' U2 L F R U' R' U' F' U' L F' L' F U2,52
D F' R' F' B L F D U' B2 R' B2 F' L2 U L' F2 B' U2 R2 L2 D R2,x2,D2 R2 F U F2,R2 U' R U2 R' U2 R2,L' R2 U2 L,R U2 L2,U2 R' U' R,R' F' R B' R' F R B,R' D B2 L2 D L' F2 L D' L2 B2 D' R,44
B L R D' B' D U F L' D' F L2 U R2 L F2 L2 B F' L' D2,x2,L R F R2 B' D' F2,U2 L U2 R2,L' D' U' L U L' D,L U' L',U2 R' U2 L' U R,B' U' B U' B' U2 B,U' L R U2 R' U' R U2 L' U R' U,46
D2 B2 R2 B2 L' R2 B2 L D U' F D F' R' B F' L2 R D' U' R D L,x2,B2 L U R F R B',R2 U2 L' U R2,U L' U2 L U L' U' L,D' U2 L U L' D L,D2 L' U L D2,U2 F' L' B' L F L' B L,U L' U2 L F R U' R' U' F' U' L F' L' F U2,57
R F L2 D2 L D' L2 U' D R U2 F' R F B L R2 F L' R' F2,x2,D B R D' B F,L D2 U L' U R' D2,U' L2 U2 L U L' U L2,U R' U R U L2,L' U' L R' U R,R' F' R B' R' F R B,,41
L2 B' F' U' L D U2 F L D L' R2 F2 U2 D2 F L F2 D R' U' L2 B2 L2 U',x2,B2 F R B D' B,U L U2 L2 U R2,L U R' U2 L2 R,,U' L' U R' U' L U2 R,U2 F' U2 F2 U F2 U F2 U2 F',U' U' F2 D' L2 U L2 F2 D R2 U' R2 U2,49
U2 L B U D' B L F2 D2 F' U' D' F2 U D' R2 D L' B F,x2,D2 R D F D2,U R' D R' U R D',D2 L2 U R D2,R' D L U2 L' D',R2 D' R U' R' D R2,B' U2 F' B U L2 U L2 U' L2 F,U F2 U' L R' F2 L' R U' F2 U2 U',53
B' D' R' D U' R D' U' L B2 F' U2 R L' B R2 L U D L,x2,U R F' D' F',U2 L' U R U R',R' D' U L' U' L D R,L U' L2 U L',L2 U' L' R2 U R,U2 F2 D' B L2 B' D F U2 F,U L R U2 R' U' R U2 L' U R',51
L' B2 R' U F R U' L R2 F2 B R F D2 L2 D' B' U B' L2 U2,x2,D' F' U' L R' F,U2 R2 D2 L U2 L' D2,U2 L D2 L' D2,U2 L U2 L' U L U' L',R' U' L U2 L' R,U2 F2 D' B L2 B' D F U2 F,U B2 D F2 D R2 F D B' D2 F D' B' U' U,57
D2 R' L2 F R F D' F' L' F2 L D B D U' L R2 F2 R U D2 R D L' R',x2,B' R' D' L' B' F',U R2 U R',L U2 R U R2 U L,L U R' U2 L' R,L2 D' R D' R D R2 D L2,U' F' L' B' L F L' B L,U2 F2 U' L R' F2 L' R U' F2 U2 U',53
B2 R2 L' D' R' L' B D R F B2 R D L2 F2 R2 L D L2 B R2 U' D R2 L2,x2,R' B L F' L' D,U' R U2 R U R2,L' D' U2 L U' L' D,L2 D' R D L2 D' R' D,R' U' L U L' U R,B' U2 B U B' U B,U2 L U' F R' F' L' F R F' U' L U2 L' U2,56
D' F L' R2 B D2 U2 R U2 F2 B U' L' D2 L D L' F B U2,x2,U B R' F D U' F,R' U' L R2 U2 L' R2,R' U2 L,U2 L U L' U2 L U' L',U R' U2 R U R' U' R,F2 D' B L2 B' D F U2 F,R2 B2 R F R' B2 R F' R U2 U,53
B2 D U' R2 U2 L B2 D F' R2 B2 D B' F' R2 U2 F' R2 B R2 L2,x2,L2 R2 D' B' L D,R U' L U2 R2,L' U' L' U' L,U' L' U2 L2 U L2 U L,L' U R' U' L U2 R,F' L' B' L F L' B L,U' L R U2 R' U' R U2 L' U R',50
L2 D B' F2 U' D' F2 D' R' D2 F' L' R B F R2 U' B' D' L',x2,F2 R' B U' F' L' D',R2 U R' U2 R2,U' L' R2 U L,L R2 U L2,R' U' R,U R' F' R B' R' F R B,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U,48
R' F2 R U L2 R D U' F D2 F' D R B2 R2 B R2 F' U' F,x2,L R2 B F' D' B,U2 R U2 R',U L2 D' L U2 L' D,D2 L U L' D2,D2 L' R D2,B' U2 F' B U L2 U L2 U' L2 F,U B' R B' L2 B R' B' L2 B2 U,48
U' F2 B' R' U' D2 F' L' D2 U2 F2 D' L D L' F R' L' F D L',x2,D2 F' R2 B' L' D',L U R U L' R',L R U2 L2 R' U2 L2,L U' L',U2 R U R2 U2 R,U R' F' R B' R' F R B,U B' R B' L2 B R' B' L2 B2 U,48
D' B U2 L2 R D' F2 D2 L2 R U' F L' R D R' B U2 B D2 U B' R2 F',x2,U' R F' L2 B2 D' B,U' R' D2 L D2,L2 U L2 U2 L,U L U' L',L D2 L' U' L D2 L',B' U' B U' B' U2 B,U' L U' F R' F' L' F R F' U' L U2 L' U2,50
B F' L' R U L U D L D R F' R2 B2 L2 R2 F2 B2 L U2 B2 R U2 R2 F,x2,B2 U' F R F,R' D' R U R' D R,U2 L' R U2 L R',U' R' D2 U R' D2,U L' R2 U2 L R2,U R' F' R B' R' F R B,U L R U2 R' U' R U2 L' U R' U',51
U2 D2 L' U2 F U2 R D2 U2 B R U B' R B' D F R' F D2 B' R2 D B' D,x2,L D' F2 R D' B' D',L' U2 L U2 R2,U' L2 U2 L U L' U L2,R2 U L2,U2 R' U2 L' U L R,U B' U2 F' B U L2 U L2 U' L2 F,R' U L' U R U2 F R B2 R' F' B2 U L U,57
