scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x x y,B L2 F R F2 D' L F' L,F2 D' R' D2 F2 L',R' U L R U' L',U' F' U B2 U' F U B2,R' F' L' F R F' L F,B2 L2 B R B' L2 B R' B U2 U',48
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x x y,R2 U2 F2 U2 B' L' R' F' D',R2 B2 R' F2 L2 D2 F2,D L U' L' D',U2 R' U2 R U R' U' R,L' B' U' B U L,U R D' B D L R' B' U' B L' U,47
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x x y,D2 U2 B D' R F' D' B' L,R' F2 D2 L' F2,B2 L U' L',U2 L' B R2 D' R' D B' L R',U2 R' F' L' F R F' L F,U' L2 D' R2 D' F2 R' D' L D2 R' D L,50
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x z x,L' B2 F R2 D2 B' L2 R' D2,L U L U' L',L' U L U2 F2,U2 L U2 L2 U' L2 U' L',F U2 F' U' F U' F',U' B' R F' U2 B L' B F2 D2 F2 L B' F U2,49
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x x,R U L B2 D' B' R F' L F2,L F2 L',R' U' R2,U' R B U B2 D' R D B U R',B' R' F R B R' F' R,U L' B R' U2 L F' L R2 D2 R2 F L' R U,50
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x x,R U2 L D' B2 R' U L2 B F,L2 R' D L2,D' R U' R' D,U U R' U' R U' R' U R2 U R,U' F' L' B' L F L' B L,U L' R' U2 L R F U' B U2 F' U B' U,53
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x x y,F' U B' L U' L2 U2 L2 F2,R2 B2 U B2 R2,U L' B2 L2 U L',U2 R' U2 R U R' U' R,U L' U2 L2 U L2 U L2 U2 L',U2 L' B L' F2 L B' L' F2 L2 U2,49
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x x,L2 R F2 R' F D B' F L D2,U2 L2 D R2 D L2,R' U R U' R2,R' F' U2 R' U2 R F,U F' L F L' U2 F2 R' F' R F',U' B L' B F2 R' L' D' L D R F2 L B2 U U',55
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x x y,F D' R' B D' L B2 D' L2,F2 D B2 D F2,B2 U' B2 L U L',L' D L U' L' D' L,U R' F' L' F R F' L F,B2 L2 B R B' L2 B R' B U2,46
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x z x,D2 R2 D B2 L' R2 U2 B F',L B2 R2 F2 D2 B2 L',B2 D2 F2 D2 B2,L' U' L' F2 L2 U L2 F2 L2,L' B' U' B U L,R2 F' U' L' U F R' B F' L' B' L2 F R',50
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x z x,R2 F L R D' B D U' B',B2 R D2 R B2 L,R' F2 R2 U R',U' L' U L U R' F2 R,U R' U2 R2 U R2 U R2 U2 R',U' B' F' U2 B F L U' R U2 L' U R',51
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x x,D' R' F D' B2 D' B' U2 L',L2 R' D L2,R2 U R' U' R U R2,L2 B2 R D2 R D2 R' B2 L2,B' U2 B2 U B2 U B2 U2 B',U L U' F R' F' L' F R F' U' L U2 L',52
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x x,R2 U' B' F2 D B F' L' F2 D2,L2 R2 D L2,R U R' U R2,L' B2 R2 D' R D B2 L,U B' U2 B2 U B2 U B2 U2 B',U2 B2 D F2 D R2 F D B' D2 F D' B' U' U',52
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x x,U R' F' D B L B L' F,,R2 U2 R' U' R2,R' U' R2 U R,F U2 F' U' F U' F',R' D B2 L2 D L' F2 L D' L2 B2 D' R U,40
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,z z,L' B D R2 D F2 R' D',U R2 D R2,R U' L U R' U2 L2,U' F' L' B' L' U' L U F B,U' B' R' F' R B R' F R,U' B2 U' R L' B2 R' L U' B2 U2 U,50
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x x y,B' D2 R' U L2 F' L' R2 B',F2 R' D2 R' F2 L',R D B2 D' R',U L R' U2 R U L' U' B2,F U' B' U F' U' B,F2 U R' L F2 R L' U F2 U',46
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x x y,B2 U' R B2 L F U2 L2 D2,F2 L2 F2 R B2 R2,D U L U' L' D',L2 B2 L2 U2 L' U' L' B2 L2,F U2 F' U' F U' F',F' L B' U2 F R' F B2 D2 B2 R F' B U',51
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',z z,U2 B' L D F2 U B' F2 R2,U' R' F2 R,U L2 U' L' U L2,U B2 D' F2 L D2 L' F2 R D B2,B' R2 F R F' R B,U2 L F L F' L D2 R' B R D2 L,49
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x x,L' U2 L R D F U2 L B2,R2 U L F2 L',B2 U R' B2 R U' B2,R2 D' L F2 L' D R' U2 R,F' L F L' U2 F2 R' F' R F',R D B' U B' U' B' U B2 D' U' R',52
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x x,F' R D F2 L B' D L2 D',U L2 R D L2,U' R2 U' R2 U' R,U' R B U B2 D' R D B U R',B' R' F R' F' R2 B,B' U' R' B' R B R U R2 U' R U R2 B,52
