scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F L' U2 B' D2,B2 D L D' B2 L',B L' U B' R2 B2 L2 B2 U,B U F U B D2 B' U B' U' F' U2,D' U2 L' U L U2 F2 R' F' R F' D U',,45
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D U' L' B F',B2 D' B' D2 L D' B',B' R' D2 R' D F' D B U R U,B L' F' U' B2 D2 F2 D R2 B R F' U2,B D2 F' U2 F' D' L D' B2 U R' U B R2,,50
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L R D L' D,L2 B' L2 R' F' D2 F R,U L2 R2 B' R2 B L2 R2 U',F' D2 R' U R B U2 B' F2 D2 F2 D2 U' F,B' R B U R D2 F U F' D2 U' R' U',,49
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,U2 B,R' F U F' U L2 R,U2 R2 U' B F' U2 B' U' F R2 U',R2 U2 B D2 F D B' L2 U' F2 U' R2,B' U R U' B F' L U' L' F,F R F R' F2 R2 B F U F' U' B' R2,55
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,F' L F2 L B,F2 R' D2 L2 D2 F2,U2 F U B' F2 D2 B' L' B2 F,L D R' U F2 U' R D' L' F' U2 F,D2 U F L' U F2 U' L F' D2 U' B' R2 B,F R F R' F2 R2 B F U F' U' B' R2,60
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,L' R' D' F R2,D U' B2 R' F2 R D' R2,F U2 R2 B' D B2 F' U L2 B',B2 F D' B' F2 U L F U L B' U2 R',U' L D' F2 R' D R F2 D U F2 U' F2 L',,50
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,F2 D L D U',B L2 D' B' L' D' L D,U2 L' D' R' U' F' R F2 D L U',U2 R F' L' B2 D' F' D' R' F2 L B2 R',F' U B2 L2 F2 L2 B2 R2 U' F,F R F R' F2 R2 B F U F' U' B' R2,60
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L R' B,L2 R D F D L2 D2 R',B' D2 F' D R D B2 U B' R',B2 F' L2 D' B' U' F U' B' F' U' F,F2 U2 F' U B F2 U2 B D' F' L2 F2 D B2,F R F R' F2 R2 B F U F' U' B' R2,60
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,D2 U2 L D' F',L' D2 U L2 R D2 R2 U,R2 U' L' U' R2 U2 R U2 L,D R U L2 B R B' L2 R U' R D',R2 B2 L2 F' D' F L2 B' U B' U' R2,F R F R' F2 R2 B F U F' U' B' R2,59
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,F' U2 L D B,B2 F D' F' R2 B2 L U2,B L2 B' L' R' B' U2 R B L,L2 F2 U' R D2 L2 B2 U2 L D2 L2 B' D B,R2 B' F2 R F D' F D2 B' D B D2 B R2,,51
B F' U2 L F' R' U' B' R2 U2 F2 B U R' F' B2 D F U R U' L D' B',x2,D B2 F' D2,D' F2 L F2 U L' B' F2 D,F U' B' D2 B2 F' U B' R U,R2 U' L' D L2 D U2 F U' R' D2 B2 R2,U2 L' U L U L2 D' B' U' B D U L2,,49
F2 L2 D U R2 B' D' R' L2 U2 L' F2 B2 U' L' F2 B' R' F2 U B L R B2 R2,x2,U' L F2 R' B,F2 L' F' U2 B' F' U R B,F' L F' L' B' F' R' B U F',U' B L2 B D L D' L2 B' U B',R' U R' U2 F2 U R2 F U2 F U R' F2,F R F R' F2 R2 B F U F' U' B' R2,61
F B2 D' L' F2 B2 U' B L B' D F' R2 B D L U2 L2 U F' L2 F' R,x2,L' B R' F U2,L U B' R2 U' B D2 L D2,U' B L' B' F U2 R F' R',B' R D' B R B2 R U F' U' R' D B2,B2 D2 L' D' L D' B D' F' R' F D B,F R F R' F2 R2 B F U F' U' B' R2,62
R2 D2 U F L B2 U' B D2 B' F2 R2 L D2 U' F2 L2 R2 F B' L' B D2 U,x2,U L' D R B,U' R2 D2 R2 B' U R' B D2,F L D R2 D' L' R U' F' U2,R2 B2 D2 F' R2 U' B U R2 B2 F R2,R2 F2 U' F' U' F' R2 F2 U' R U R' U2 F2,,50
U2 L B D' B' U R2 B2 F' R U D2 F L2 B' L R B' F' D' L R',x2,B L' R2 D,L2 U R' F2 L F2 R U',L D2 L F D2 L2 U2 B R U2,D B U L' F2 L U F2 L U B' D' U,L2 D' R2 B D' B' R2 B2 D' B' D B' D L2,,49
B2 R' F2 R D2 B2 R U' F2 L2 U' D2 B' D' L2 U F U' D' F D' U' R2 D R2,x2,B2 F2 R' D2,B2 L2 B2 U L U L' U',U2 B' F2 R2 D R B F2 R' U',D R2 B' U2 L2 D' L D' L U2 B D',B F L2 F U' F' L2 B2 D' B' D B2 F',,47
U2 L F' L F' B2 R U' F' B2 R' D U' L U D F' U F' D U' F' D' U',x2,R B' R2 D2 B',R' F R' F L F2,R2 U2 R B2 L B2 R,L2 F D2 F2 U2 B' D2 F' L2 B' F2,F2 U2 R U' R' U F2 R2 F U F U F2 R2,,43
R2 U2 F L' B L' B' U2 F2 U2 D F D R' L U B D2 B' U',x2,L U F2 D2,U2 R D' F2 D' U2 L' D2,R2 U L2 R' B L U' B' L,D R U R2 F R F' D R' D' F D' U',D' R' F R U2 B L' B' U B L B' D U,,48
D2 B2 F2 L2 F2 L F' R2 L2 U2 F' R' F' L' D' F U' D2 L' D' L2 D2 B F,x2,F' L D B,D' B2 D2 B2 D' R2 U' R2,F R B' F2 D2 B2 F L' B' U2,U2 R2 D' B' D2 B' U' B' U' F U2 B' D' U2,L' B2 D F2 R B R' F' U B2 L F' D' B',,50
B F' D2 F' R B' F L B L' D2 L2 B' L' B F' R2 B U2 F2 D U,x2,L2 F' R' D',F' R U2 L' F2 R2 U' L2 F',B L' B' R2 B' R' B2 U2 L' B' U,B2 L2 B' F' U L2 D' L2 D F2 U B' F',D' U2 L F' D F' D' F2 L2 U L D U,F R F R' F2 R2 B F U F' U' B' R2,63
