scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L B' L2 U',L' F' D' F D2 L B2 D2,B2 R' U R U' B R B R' B,D2 B' U B' L' U2 L B U' B D2,U' F R2 U R D' F L' U L D U' R F',U' L' U' L U2 L2 D' U' B' U B D L2,60
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L' D' L2 B' U',F L' F' D2 L,D2 U L2 D' L' U B' D' B' U2,B D F' D2 B' U L' D' L D2 U' F D',D' F' D' B R' F' R' F2 R' B' D2 R' D2 R,U' L' U' L U2 L2 D' U' B' U B D L2,60
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,D B' L U' R',B2 U' L B U B D,U2 F' D L2 D2 U2 F D B' F' R2,D B D R2 F' D F R2 D' B' D',F2 D R' D' R' F2 R2 D' F D F R2,,46
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U R' F U,B' U' B L2 D L U,R B R F' R2 B' F U F' U',B' L R B L B L' B2 L' R' B,D B2 U B' U2 F U' B' R2 B2 U' B2 F' D',U' L' U' L U2 L2 D' U' B' U B D L2,59
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F L' D2 R,R' F' R2 B2 F R' D2 B2,U' L' B2 D B2 L' B' L' D2 L' U,L' B' U2 B D B' U2 B D' L,L B R2 B2 D F D' B D2 F' D L',,45
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U2 B U F L,D2 B2 F' R' D2 R2 B F,B' R B' R' B' R' D2 B' D2 R B2,D B' U B U B' U B D' U2,U' F R2 U R D' F L' U L D U' R F',U' L' U' L U2 L2 D' U' B' U B D L2,61
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,B U B' R' B' U2,D2 R2 D2 R' D' R' D,R' D2 U B F D2 B' U2 B' U R,L' D' L' F2 R2 D' B' D B R2 F2 D L2,D2 L D L' D B F2 U F' U' B' F',,49
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U F' L',L' D' L F' R2 B2 F,U' L2 B U R2 B2 R' B2 R2 D' B2 D,L2 R' F D2 B R2 B' R2 D2 F2 L2 R,D' F' R2 B2 D R F' R' U' F2 D' L2 B2,,47
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R' D B L R2 U',R2 D' R B R D2 B,B2 R' D' U' L' D U R2 B' R' B',U R' F' L' F' D F D' F L R U',L2 D2 L' D' L D' L' D' L' F' D' F D,U' L' U' L U2 L2 D' U' B' U B D L2,62
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,F' U' B' F R2,R2 U R F2 U' B R,B' U F R B U R F' U' B' U',D2 B R2 F' D2 F D L D' L' R2 B' D2,L D' L D2 B2 R U' B' D B U R' B2 D2 L2,,51
