scramble,orientation,cross,pair_fr,pair_fl,pair_bl,pair_br,oll,pll,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,D R D L' D B,D B' R' U R' B R2 D',B U B2 U2 B U',D' U' L U' L' D U,B U2 F U2 F' U2 B',L' U2 L R B R' F R U B' R' F',B L' U2 L B' L' B U2 B' L,56
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,D U2 R B2 D R,B U' B2 R2 B R2,F' L2 F L2,B' L' U' L B U,B L' U2 B' U2 B U' L B',F2 R' F2 L' F R' D B D' R2 F' L,,43
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,F' D B' D R',D' L D2 R' D2 L' D,U' B' U2 B,R D B D' R' U',B U F' L F L' U2 B',L B L2 F' L' F L B' L' B' U2 B,L F2 L B2 L' F2 L B2 L2,51
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U2 F' L' B D F',D2 L U2 L' D2,B U' B2 U B U2,F' D' L' D F U,R' F' L' U L F R,F2 D B D2 F2 L' F2 D2 B' D' F' U' F',L2 B2 L' F2 L B2 L' F2 L',52
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,F D2 L' R' D2 B,U2 R' U2 R2 U R',B' U2 F U' B F' U,D' U' L U' L' D U,D2 L' B2 U B U' B2 L D2,L' B L' U B2 U B2 U2 B' U L2 U',U2 R F' D2 F R' U2 R F' D2 F R',59
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,U L2 F' L R',D' R2 B' F2 R2 B F2 D,F R U B2 R' B2 F',L' F' D' B2 L B D F U2,B F2 R U R' U' B' F2,R' F' R' D2 B' L' D' B D' R2 F',L2 B2 L' F2 L B2 L' F2 L',57
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L B' D L' B' D2,R2 D2 B2 L' B2 D2 R2,L U L',U' B' L' U L B,L2 B2 L' U B2 U' B2 U' L',R' F L' U2 L R' F D' F D R2,F U' B' U F' U' B U,50
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,L2 B' R' F2,L U F2 L' F2,B' R' U2 R B U2,,D2 B U2 L F' L' B' F D2,U2 B F' D' L' D B' F U' L' U2 L,B L' B' R B L B' R',44
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,R2 D' U' B2 R,L2 F' L' F' L' F2,F L U2 L' U F',B' L' U' L B U,F R' U F R F2 R' U' R,L2 B L U B2 U B2 U2 B' L U',L2 U B2 D' B U B2 D B2 U' B L2 U',56
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,R' F2 L D F' L' D,R2 U B' U' B R2,U2 B' U' B,D' U B' U B D U',U L' U L R' U R U2,L2 U B F' L2 F L' B' L U L U L,R U2 R D R' U2 R D' R2,54
