scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,F R' D B' D' B L,F L' U B2 D2 B2 L' F2 L2 U2,L2 F2 R' F' R F' D F' D' L2 U',D2 B2 R D2 F2 U2 L F2,B U R2 B U F' L' U2 L B' F U' B' R',50
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,D2 R F' L2 D' U' R,B' U' R U2 L F2 L' B U,U2 R' B' U F' U2 R2 U B R' F R2,R2 B F' U2 B' F,R D F' R' F2 R F R D' F' R' F2,46
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,U2 B R' D2 B' D,F U2 L F U2 L' F' U2,U F D F' R' F U2 R U2 F D' F2,B U' B' F R F',F' R F2 R D' U F' D U' F2 R' F,44
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,F' L U2 B2 F2 U2 B,U2 L U2 R' U L' U' R,D' F L' F' D2 B2 U B R' B2 D' R',B F' U2 B' F R2,B2 F' D2 U L2 D2 U' R F D R2 D' R' B2,47
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,L D2 R F U2 R',B2 F' D' F R2 F U F2 R2 D,D F R B' R B F' R' D' R U' R',B' R2 B2 F2 U B' F R' U2 F,B' D2 B L' R D' F2 D L R',48
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B L2 D B U2 R' B',F L D U2 R D' F' U L' F',U2 R U' L R' F L' U2,F R B F' U2 B' F R F',L2 B2 R D U' B L2 F2 R D' U F,46
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,B2 D F' U2 R F',F2 U2 B L2 F2 L D L B' F,U' R' B2 L' D B R' D B2 L B',B F2 U B' F R' F,D' F L D' U' B' D' U R D2 L' F' D,47
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,L' D L D2 U' R2 B,F D' U L D B' U R' B,U R2 U' R2 F2 R' F2 U2 F' U' R U2 F2,B U B' F R' F',U2 B2 D' B D' B' F L F' D B2 U2,47
F U' R' U2 B' R2 D B U' R2 U2 F2 L R2 F' D' R2 U' L' B' L' F' R U D,x2,L' R' F2 D2 U B U R',B' U' L D L' U R2 U' R2 B,U' L' B L2 B U' B U B2 L',F R B F' U2 B' F R F',F' D U' B D2 U2 F' R2 D U' B2 F,49
B' L R' D' F D L' B2 U B' U B R2 D U B L U' R' U',x2,F2 D R2 B R' F D',L2 U L D2 R U2 R2 D' F2 D',D R' F' L F' D' F L' F R D' U,B U' B' F R F',F D' F2 R' F' R D R2 F R F2,46
D' F' D U2 F R2 L' D2 U' F' B2 L' B2 F U2 L2 R D R' U' L2 U L,x2,D L2 D' B D B U2,U2 B' F2 R' F' U B U' F' U2,F2 D' L' B L' D' B U' R2 B' D2 L2 F,B F' U2 B' F R2,F' D' U L D L' F D U' R' F D',48
U2 B2 F R B' F U' D' B2 R U R2 D' L' B2 D2 F U B L F' D2 R' U' B',x2,D B2 R D F' R',D' U' F' L' F D R' F' R U',F D B' R' B D' F R' F' R F2 U,B F' U2 B' F R2,R F2 U' R U F R F U F U' F2 R2,47
L' B L' U2 L2 R B2 F' R' U' D' R' L' U' B' L' U' L2 F2 D2,x2,B' R B2 D R' F' L',L' F2 U2 L' F2 U' L U' F,D L R' B' R' B L' R D' R,B U B' F R' F',F R' D2 U2 F2 D U' R2 F D U' F',44
