scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,U2 B U' F U2,U B U' L2 B',L2 U R' U' B' L' D B' L',F' L B2 F' D B2 D' F L' F,U' L' F2 R U2 R' F2 D2 R' B2 D R D U,,43
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,D2 L' U2,U2 B2 U2 B2 L' B L,D L2 B2 L2 B' D B,L B2 D R' D' R D' B2 L',F D' B U' B2 D U R D R D R2 B' F',,40
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D L F D U,F' D B2 L D' F L B2,D' L B2 D L B L' D2 L',R D' F2 L' F' U F L F2 D R',U' B' U2 B D' R' D R B R' B2 U2 B U,,47
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,F2 D B L2 R',R U' F' U R F' R2,L B D L' D L2 B2 L2 D2,L' F2 L R F D L2 U' L2 D' F R',F' U' B' L2 F U2 F' L' B L' U F,,45
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D L2 B' D' U2,D2 L' B' F L D,D' R D2 B R B' R' D2,F L D2 B2 L B2 R' U2 B2 L2 R F',F' L2 R' U2 L2 R D' R D' R' D2 F,D F D' F2 D2 B F R F' R' B' D2 F,56
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,F D B' D2 L U2,D L2 D' B U B' L2 U',R D2 L D' L' R',U F2 U2 L F D' B D2 L2 B' F' L U,F' D F D U2 F D' F' L D' L' F U2,D F D' F2 D2 B F R F' R' B' D2 F,59
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,L' U B U F2,F2 D' B U2 R2 B' U2,B' D2 F2 L2 F2 L2 D' B D,D' L2 B' R2 B2 L2 R2 D2 L B' L' D',U' B2 U L' B' R2 B L U' B2 F D' F' U,D F D' F2 D2 B F R F' R' B' D2 F,60
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,D' L R U',F' R' U2 B' L2 R B F,R' D F2 R' F2 D' R,D2 F' D2 F U L2 B D R' B' L2 U' F2,U' R2 B' F2 L2 B L2 U B' U' L2 F2 R2 U,D F D' F2 D2 B F R F' R' B' D2 F,59
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D F L2 F',U R' U' B2 L B2 F2,L F D2 B2 F' D' B D2 L',R2 D R B' D2 R D U F2 U2 B' U B,D' F L2 R' B L2 F' D F D' R D' F',D F D' F2 D2 B F R F' R' B' D2 F,59
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,R2 U,F' L' R2 B R2 U L U',F' D' L2 U2 B' U2 L2 D2,F D2 R B' D F D' B F' R' D' F',L D' B' L' B2 L B' U2 R' U2 B2 D B' L' B2,,45
