scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
D L B' F D' U B' R2 B2 L F L2 U B2 R F2 U2 F2 R U,x2,D2 L' R2 B2 D' B,R2 U B' R2 F' L' F,R' B2 U2 F R2 F' U2 B R,U' F' L2 U2 L2 U2 L2 U2 F U,L F' L2 D' L2 F L' U R' B' R U',D2 R B' U2 B R' D2 R B' U2 B R',56
L F2 U2 R2 L D' F' U' F' R' L F L2 B' F R' L' F R B' U' F2 L R2 F',x2,B2 F' D B2 R',L' F2 L D2 L',L' D R2 U R2 U' B L B',D B' F L2 U B F' D U' F' U,F' L R' F' R' B2 R F L' D2 R F,R B' U2 B R' D2 R B' U2 B R' D2,54
F' R' L B2 U2 R D' R D' B' F' D' B2 D L F' L' D R D' L2 B R' U' D',x2,R' D B2 L2,R' U F2 D' L B2 F2,F2 L' B2 U2 R F2 R' B2 D2,L' U' R2 B' U' L U' L2 U2 R2 D2 F U,D' R' D R D2 F2 U L U' F2 D2,D L F2 L' D L R2 U' L' R' U2 R' D2,57
B2 R U2 D2 B' F2 R' U2 L R' B' U2 R U' D2 L' B U2 R' L B2 U' L2 B',x2,R2 B D2 L',D' B' L F' R' B U,B R B' R' D2 L2 D2 B2 R,B D B' F' L2 R2 B' F' D U2 B',U2 B2 U R' U R U2 B2 D L D' U2,D2 L2 F L' F' L2 D2 R' B' R D2 L D2,56
B' F' D' L F2 R' L B F R' L2 D' L U2 R' F2 U' L' B2 U',x2,D' B' R' D,B' U' F' U2 L2 B F,L2 R F L2 R2 B R2 U2 R',D F R2 B2 D' B' F L F2 U2 B' D',D' L B F' D2 B' F L D,,41
D F2 U2 F B' U2 B D2 F2 R' U2 R' U' L' D2 L' U R2 D2 F B' U L' B2,x2,R' D' R' D' U',F D2 F L' D L2 F2,R' U R' U R' U2 B R,U2 L' B2 D R' D' B2 L U2 R2 B' R2,B' D2 U2 R2 F' D U' R B2 R D U',,44
D' R2 F' D U' R' D U' F L F U2 D' R2 F2 B' R' B' D2 F2 D2 L' R2 F',x2,R' U2 F' U B' U,F' D' R2 B2 R2 D L' F,U R' B L D2 L' B R F2 U',B D L' B2 F2 L' R B2 F2 R D' B',D' F R2 B L U' L' U' B' R' U R' F' D,L2 F L' F' L2 D2 R' B' R D2 L,61
U' D2 L B' U R B L' D' L' D R' U B2 R2 L' U D2 B2 U D2,x2,B U2 R F2 R2,L2 F' U' F' U L' F',L' U2 B2 R B' D' B' U2 L,D' B F' R2 D B2 L2 B' F' R U2 B2 D,D' R U' L2 U R2 D' B2 D R D,D L F2 L' D L R2 U' L' R' U2 R' D2,58
B2 F2 U' L2 D2 F L2 U2 R2 U' R F2 D L2 F' L' F' B R' F2 U2,x2,F2 U2 L2 F',F D' F L2 F2,D' R' B2 L' B D2 B D R,F' L' U2 L2 F L R B2 L2 U R' F,R2 D B' L' B2 L B2 L B' D' B2 R2,L U2 R F U' B U F' U2 B' L' U R' U',56
R F2 U2 R' B D' R2 U F2 R' U2 R' B R B U' D2 F L2 F D F' D L,x2,R' F2 U,L D2 F D F,L D R' D' B2 D' B2 L' R,U2 F2 L2 R' D' L U' R U' B L' B2 L2,R F' L2 F R' F' L2 F,L U2 R F U' B U F' U2 B' L' U R' U',52
