scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,B F' D U' L U' B,R' D' B2 D2 B2 R,U R' U2 B2 U' R U' B2 R2 U' R',R' F R F2 U2 L' U' L U' F,,,34
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,U' F' L2 D2 R' F',U F2 U' L' U F2,R U2 F R' B D' R D F' R' B',L2 B2 R' D2 R B2 L' F2 L',,,32
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,B' L U' B' D' B F',B2 D' R U R2 B2 D,D2 B2 U F2 U' B2 F2 D2,L2 B2 R' D2 R B2 L' F2 L',,,31
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,U2 L2 R F' U B' D2,F2 U L U' L' F2,F2 L D' L' F2 D' F2 D' F2 D2,F' U2 F' D' F U2 F' D F2,,,32
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L' B L2 R' D' B' R2,F' D L2 F' L2 F2 D' F,U2 B2 U' B2 L U2 F2 L' U,U' L2 D B2 R' D' R B2 D' L2 U',,,35
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,B' U2 F D' R' B,U' R B2 R2 D' R,U' L U2 B2 R U2 L' D2 U R',B' R2 B' L2 B R2 B' L2 B2,,,31
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,L2 B' L' U' R2 B' D2,L' D' L D U,B' U2 R B' U2 R' B2 R B R',U B2 D' B U2 B' D B U2 B,,U' M2 U2 M U2 M U,39
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B' U L D2 B2 F R,F2 U L' U2 L2 F2,L U2 B R' D' F2 D R B' F2 U2 L',U L2 B2 R' D2 R B2 L' F2 L' U,,,36
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,R F2 U L2 D F',F2 L' B2 U' B2 U F2,L' R' D B2 D2 L' D' R D' L2 U2,U B2 D' B U2 B' D B U2 B,,,34
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,D U2 B F2 L' R2 F',L U' L D' L2 D,L D2 F2 U' B2 U B2 F2 D2 L',R U B' R D' R D R2 B2 U' B' R',,,35
