scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,F' D' B' D' R U2,U L2 R D B R' B D B L2 D2,U2 L F2 D2 R' B D2 F2 L',L2 B U B' R U R2 F2 D' L' D F2 L2,R D' U F' U F' D U' R U',D' L R' B2 L' R D',56
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,D' B2 F' L B' U' B,U' F D U2 F' D' U F R F2,U' L2 U L U' L' U2 L2 U2,R2 B2 F D' B F' R B R2,L' F U B' F R' B F2 L,B' F R D2 R' B F' U R2 U',54
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,F' L' D' L2 B',U R' U B L2 U2 B2 R D' B,D2 B U' B' D L' B L D U,U2 L' B' L' B' L B U2 R' U L U' R,R2 U' F2 R B2 D2 F2 L B2 U' R2,D L R' B2 L' R D,56
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,B2 U' R' D L U' F,U' B2 L F2 D' F' L2 B2 F',D' B U R' U' R B' D,U B' F R2 B F' U,B' F2 R' B' F D B2 F,B' F R D2 R' B F' U R2 U',49
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,L2 B' D' L B R2,D' F2 D2 B2 D B2 D' R F2 D',U R' D F2 D' R U',D' U2 L' B L D U2 L2 U' B' U' B L2,L' U2 L' B F' D L2 D' B' F L2,D L R' B2 L' R D,54
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,B' U2 B2 R' U F,L' U' F U L F R' F2,F2 L B' U' B U L' F2,L2 U2 B2 U' B2 U B2 U2 L F' L F,L' U2 L' B F' D L2 D' B' F L2,R' B' R B F D2 B2 D' B D B D2 F',58
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,F R' F2 D F2 U,D' B' D B' D' B2 L2 B' L2,B2 U L' F' L D2 F U' B2,F R F R2 U F' D' F D F U' R F2,B' F2 R' B' F D B2 F,D' L R' B2 L' R D',52
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,D B F2 L' D' L',F' R2 D R F' D' F2,L2 D2 R B' R' B D2 U' L2,L U' B U L2 B2 F R B R2 F' L U2,R2 U B' F R' D2 R B F' U',B L' B2 U2 F2 R' F2 U2 B,54
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,L D R B' D' U',U R' U F' U2 R,U' L2 U' L U L' U' L2 U2,L' U L B' F' D B F U2 B U B' U,B D2 B F' R2 D B F' R' B F2,B' F R D2 R' B F' U R2 U',55
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,R' F2 D' B' L R,L U' L' U L' D R D' R' U',B U' L2 B2 U L2 U' L2 B,U B F2 R2 F' R2 F' U' R B2 L2 B R' U',F U B2 R2 F2 D B2 L2 F,D' L R' B2 L' R D',55
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D2 F' U' R',R2 U' F2 L2 R2 D' U' L' D L',D' R B2 D B2 D2 R D R2 D,U' B F U B' F R' F2 U,R2 F2 U2 B2 L D2 B2 U2 R',R' B' R B F D2 B2 D' B D B D2 F',55
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,F R2 F L U B2,U' R' B U B2 R2 D' R' B,U L2 U B' U2 B U L2 U',U B F' L' B L B' F U' B',R2 U B' F R' D2 R B F' U',B' D' B' D B F' R' B R F,54
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' D' U2 R B2,L R2 B2 D' R B2 L' F' R2,B' L F R' F' L' B,F' L U2 F2 D2 F2 U2 B2 L' F,B' F2 R' B F L2 F2 U' F2 L2 F,B L' B2 U2 F2 R' F2 U2 B,51
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B2 L D' R2 B L,B' R D2 F2 D' B D F' R' D',L U B' U' B U' L',B' L2 B2 U' B2 L2 B F R' F',R F2 R B' F D' F2 D' B F',D L R' B2 L' R D,50
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U2 L F U B R2,R' B' D F' D' F2 R D B,L' D' B U2 B' D L' U' L2,F2 D F2 L2 U B L2 D2 R' F' R D2,,,36
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D R' U' B L,U B2 F' R B2 R F2 L2 U' F',L B L' D2 B' D2 R B R' D2,U B2 L B' F U' B' F' U',B L B F' D B F' R B F' U F',F' U R2 U' B' F R D2 R' B,56
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,D B' L R2 D' U2,F2 D' F2 D' L B D2 L',L' B' F U' R2 F' U B L,B' R2 B2 L F2 L B' D R' D' F2 U,L U2 L' U' L' F U L U2 L' F' U,B' F R D2 R' B F' U R2 U',57
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L2 R B L' D' L2,R B2 F D2 B2 R' B2 D B2,U' F' L' B' F2 U R B F' L,D2 R B' R2 F R' F' R2 F2 D' B F2 D2,L' B' F2 R' B F' U F' L,R' B' R B F D2 B2 D' B D B D2 F',60
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L' F L' D2 F,U' L2 D2 B' R2 D2 L2 U R2,L F' L' B' L F L' B,L' U2 F' L D' B' D2 F' D B R D2 F2,B D2 B F' R2 D B F' R' B F2,B L' B2 U2 F2 R' F2 U2 B,55
