scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
R' D2 L2 D2 U2 L2 D2 F U L2 D' U B' L2 B' F' D' U L2 R' U D',x2,B R' B' D2 L2 B' L R2 D,L U' l U2 l2 U2 l,U' l' L U2 l U' L',U U2 R' U2 L2 D R2 D L2 U2 R' U2,,M' U2 M U2 M2 U M2 U',43
D2 L U2 R2 L B D2 F2 U2 R L' B2 L2 B' D F2 U B' F D2 B L2,x2,L2 B R F U2 B L' F2 D,L2 U l2 L U l2,U' l2 L' U2 l2 L2 U' L',U' R U R' U L F2 L' U',,U M U2 M' U M U2 M' U2,41
B R' L' U' F' R2 L' B F R' D L' U2 D B U B2 D2 F' U' B L' R' D2,x2,U' B' L2 U L D' B R' F,l2 U' L' U l2 U L,U' l2 L' U' l2 L2 U L',U L' B' R' B L B' R B U2,,M2 U2 M' U2 M',39
L' U2 L2 R' D' B' U' F2 L' F' B2 D' L' F2 U2 D F2 B D' R2 D' L2 U D',x2,D2 L B L' U F' R' B' D2,L' U L' U L2,l' L2 U2 l L' U' L',U' R B2 R' U2 R' U L U' L' R,,U2 M2 U M' U2 M U M U2 M,42
R U L R B' D' B R' D U' F' D' F2 R U' B2 R2 F R2 U,x2,L' R' F' D R' B' D2 L' B2,l2 U' L U l2,L U l2 L2 U' l2 L,U B2 L2 B R2 B' L2 B R2 B U U2,,U M' U2 M' U2 M2 U',40
R2 L' F R' U2 D2 L2 F' U' F D' B L B2 D R' U2 L' R D' L' F R2,x2,F D B R' D F2 D' F' R',U2 l U2 l' U' L,U L U L',U F R' U2 R F' R' F U2 F' R U2 U',,U2 M U2 M' U' M2 U M2,40
D R' L2 D' U' L F2 U2 D R B L F D' F' D2 U F' U2 L U2 D' L',x2,R2 F L B L R2 D B2 F,U2 L U l' U2 L2 U2 l,U2 l U2 L' U2 L U2 l',U B' U2 B' D' F R2 F' D B2 U2,,M2 U' M U2 M U',42
U' B2 D' F L2 B' D2 B' U' R L' D' F B' R F' D' U L' F' L R2 U R2 B,x2,R2 D2 L U' B' R' B' U' R2,U' L2 U L' U L2 U' L,L U' l' U2 l U L',R' F R B' R' F' R B,,U2 M' U2 M' U M2 U' M' U2 M U2,43
R' U' F' U' F' R F' B U L2 R2 U2 D' F R' B2 F L2 F' U,x2,B D B' U2 F' D2 U' B2 F,U2 L' U2 L U L' U L2,l' L U2 l U' L',B' U2 B' D' F R2 F' D B2 U2 U',,M U2 M' U2 M2 U M2 U M U2 M',45
D2 R D2 R' D2 L D U L B' U2 D F' U' R2 U B' D' R2 U F B2,x2,U' F' R2 F2 R' B' L2 B' D2,U' L2 U' L' U' L,l2 L' U l2 L2 U' L',L' B' L F' L' B L F U,,M' U2 M' U M' U2 M U M2 U2,41
