scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
F B U' B U L2 B' D2 U2 L D L' R B U' R F2 B2 D F2 D L2 B2 U2 B,x2,F L' B' D2 U F D2 R' B' F2,U2 l2 L2 U l U2 l,U2 l U2 L' U2 L U2 l',B U2 B D F' L2 F D' B2,,M U M2 U2 M2 U M',41
U2 R U D F U F' B' U D2 L2 B F2 D2 B L' R2 U' D' F,x2,R B D R2 B D2 R D L2 F',U' L' U' L' U l' U2 l,U2 l2 L' U' l2 L2 U' L',U U L F2 R' D R F2 L2 U L,,M2 U M2 U2 M2 U M2,44
R2 U' F' B L U' R B L R2 B L B R B' R' D' L' U' B,x2,L2 F' D' U2 F' D R B' D',U2 l2 U' l2 L U' L2,l2 L' U l2 L,U L U' F D' F U' F' D F' U L' U,,U M2 U2 M' U2 M U M U2 M,44
L2 U2 B' F' L' R' D2 R U' L2 U2 R2 F2 U2 D' B D U2 R' F' R',x2,R' U F D' B L D' F D2,U L U2 L2 U L2,l2 U2 L' U' L U' l2,U2 B U2 B D F' L2 F D' B2 U',,U M2 U' M' U2 M U' M2 U',42
D R' B' F R' D B' U2 L2 B R2 F2 L' F2 D2 L F D2 R' F2 D2 F,x2,R2 D2 R' B' L' D U2 B',U2 l2 L2 U' L' U l2,U2 L' U l2 U' l2 U' L,U L' F U2 F' B' U' F U B U2 F' L U',,U M2 U2 M U2 M' U M2 U2,46
B2 U2 F L' F' R2 L2 D2 F2 D' L2 U' D B L D U2 F D L' B2 L',x2,D2 B L2 R B' L F2 D' F',U2 l U2 l' L2 U' L,l2 U L' U L U2 l2,U' F' L U2 L' F L F' U2 F L' U U,,M2 U M U2 M' U' M' U2 M',45
D2 R2 B F U F' R U D2 R D L2 D' R' L2 U' B' L2 D2 F',x2,F R2 D F D2 F2 D' F' R',U l2 U L' U l2 U L,l' L2 U2 l L' U' L',L2 R' D' L' D F2 L2 U L U' R,,U' M2 U M' U2 M U2 M2,43
F' R2 B L U B U F D' F' D2 U2 L U D2 L F L D2 U' R2 F2 U',x2,F2 R' U' L2 R2 D L2 U2 F',l' U2 l' U l2 U' L2,L U' L' U' L U L',L' B' L F' L' B L F U',,M U2 M' U2 M2 U' M2 U,40
U' R D' U R' F2 B R' D R D2 F' U2 L2 B' L' F' B2 U' D R L2 D R',x2,R2 D2 U B' D2 R' B' L' F2,L2 U' L U' L,U2 l2 L' U' l2 L,F R F' L F R' F' L' U U,,M U2 M U M2 U,36
D2 R2 F' L2 U2 F2 U L2 R D' B L2 U' B2 F2 D2 L D2 L U R2 D' F' R2 F,x2,L' U L F2 L B' D' B' D2,l2 U L2 U L U l2,L U' L' U2 L U L',U2 U2 F B' U' B U F' U2 B' U2 B U',,U2 M' U2 M U' M' U2 M U',45
B' U B' L D' F2 L B' F2 D L2 U2 L U' F' L2 U R' F U B2 R D,x2,B' U B' L' F' R2 D' B,U2 l' U2 l U L' U L2,U l U2 L' U2 L U2 l',U2 R2 D' L F2 L' D R U2 R,,M U2 M' U M U2 M' U',42
D2 U2 F B U R2 U F R' U2 B F2 L F2 L U2 F2 U B' L2 F U' R' D',x2,D' U2 B' L' F U B R' D2,L U l2 L U' l2 L',L U' l2 L2 U l2 L,B U' F' U B' U' F,,,30
F2 B D' R' F' D L2 B D2 B' L2 B2 U' D' F' L' F2 D2 L2 B' R' B2,x2,F' D' L U2 L2 B U R2 B,U2 L' U L' U' L,l' L U2 l U' L',U2 R' U' B L2 D F' D' F L2 B' U2 R U2,,U M2 U2 M U2 M U',42
L2 R' B2 D R' D' R' L B R' B' D L' R B U D B2 L B2 U2 F' B2,x2,B' F2 D2 R U' B2 D2 R F,l2 L2 U l2,U l2 L' U' l2 L2 U L',U' R2 D' L F2 L' D R U2 R U,,U2 M U2 M U' M2 U,39
R' D L R F' L R F2 B D U2 B D U' R2 U' D2 F2 R' D' F2 U2 F' B,x2,U2 L F D' L R2 B R' D',U' l2 L2 U' l2 U L,U2 l2 L' U' l2 L,U' U' R' U' F U F' R U F U2 F' U2,,M2 U M U2 M U M U2 M' U2,45
U2 L B2 L B2 R L2 U B2 L R2 D2 L R F' L2 D' R' B L2 B2 U L2,x2,R2 F L R U' F D,l2 U' l2,U l2 U2 L' U' L U' l2,U2 U2 F B' U' B U F' U2 B' U2 B U2,,U' M' U2 M2 U2 M U M2,39
R2 L' D' B2 R L U' R' B' L' D B2 U' B2 D F2 U' F B D' L' B2 R2,x2,B' U F L R' D2 F2 D B',U' l2 U L' U2 l2,L2 U' l2 U' l2 U L2,U L U' F D' F U' F' D F' U L' U',,U2 M U2 M U M2 U',42
F2 R' D2 L2 D' F2 D L' U' D L2 B L' U2 F R2 F2 D B' D2,x2,D' L R2 B' R F2 U' F' D' B',U2 l2 L U l2 L',L U l' U2 l U' L',B' U2 B U B' U B U2,,U M U M2 U2 M2 U M' U',40
F L U R U2 B' R L F' B' U2 D R F' R' L F U D2 L2,x2,D' R F2 D2 L2 B L' F D2,L2 U' l2 U l2 L',l2 L' U' l2 L,U B L2 F' D F' D' F2 L2 B' U2,,M' U2 M2 U2 M',36
U' B2 D L' B' F2 L' R' U B' F' U' R' U2 D R L2 F2 D2 U,x2,L U R' U2 F2 L2 R' B' F',l2 L U l2 U' L2,L U L' U' L U L',U B2 D F' L2 F D' B' U2 B' U',,U' M2 U2 M U2 M U' M U2 M',43
F B' D' U2 R2 L D R B' F R L2 F U2 D L' R D2 B U' R D B' F R,x2,B2 R D L U2 F D' B' D',L U L U' L2 U L2,U l U2 L' U2 L U2 l',U' L' B L F' L' B' L F U U,,U2 M' U2 M U' M U2 M U M2 U2,46
F2 B L R' B F2 U2 B D F2 B U R B R B2 F U R' F2 D' U R2,x2,F' R2 F' R B D2 B R2,l2 U L U2 L' U l2,U2 L U L' U' L U L',U' B2 L2 B R2 B' L2 B R2 B U U2,,U M U2 M' U,40
F2 R' L2 F B U' R' F2 B U' F' L F L D2 F2 D F2 D' L2 F' L U2,x2,B2 U2 B2 L D' B R2 F' D',U L2 U L' U' L,U2 L U L' U' L U L',U2 U' F R B' U' B2 U B R' F' U',,M2 U' M2 U,39
D2 F' B2 R2 F' R2 F L' R D' L B L2 R2 B F' L' D2 R2 B2 F2,x2,U2 R B2 U' F' D2 F R',U L U L2 U' L,l2 L' U l2 L,U' R2 D' L F2 L' D R U2 R U',,U' M' U2 M' U' M2,36
U' B' U2 F2 U L' F U2 R2 L2 F' D2 B F2 U D B2 R D' F2 B' U,x2,B' F2 D' L B' D R F U2 B',U' l2 U l2 U L,l U2 L' U2 L U2 l',U U L F2 R' D R F2 L2 U L U,,U' M' U2 M U M' U2 M,43
U2 D' R U2 F' D2 F' U F2 B D2 R U2 R' B2 F R U B L U' D' B' U' R2,x2,L' U R B' D' F' R',U l2 L' U' l2 U L,U' l2 L2 U l2 L' U L',R U R' U L F2 L',,U' M' U2 M U M U2 M U M2 U',40
F R' D B2 L2 U R' B D F2 L D2 U2 F U2 B' D2 U' B2 U' D2,x2,R' F2 D B U' F R2 D' B',U' l2 L U' l2,L U l' U2 l U' L',B' R2 D L2 D2 F' D R2 D L2 D' B U',,M' U2 M' U M2 U M' U2 M U2,44
F D2 R2 U D' R L2 U D R2 U' R2 U2 B' L F2 R' F R2 U2 B' F,x2,L2 F' D B2 R2 U' R' B R2 D2,l2 U l2 L U L2,l U2 L' U2 L U2 l',U B' U2 B U B' U B,,U M2 U2 M U2 M' U' M2,39
B' L2 B2 D L2 D' F' L2 U' R' D' B2 U' B D' B2 F2 D2 R D2 R2 D2 R' F2 L',x2,U L' F' U' B D' F U B' R,L2 U' L' U' L,l' L2 U2 l L' U' L',U U' F R B' U' B2 U B R' F' U2,,U' M' U2 M2 U2 M U M2,42
L' U F2 L' U B R2 B2 R' F' D' F' B2 R' B U2 F R2 F D2 U2,x2,R' U' L' D2 B' D U B L' F',L U L U' L2 U L2,U l U2 l' U' L U L',U' B' R2 D L2 D2 F' D R2 D L2 D' B,,M' U' M2 U M2 U M U',46
F2 B2 R2 F2 D2 F2 R' F R' B2 D U2 L2 R' B D' U R' L F' L2 D' R2,x2,L2 F2 U L D U L2 U2 R' F,L2 U2 L U L2,l2 L2 U l2 L' U' L',U F U2 F2 L F L' F U' R U' R' F' U',,U' M' U2 M2 U2 M U M2,44
L2 B2 L' B' U2 R U2 F' R2 F B' D' F' U2 F U B2 D L' F2 U,x2,B2 D' B D R2 D' R' D,U l2 U' l U2 l,L U' l' U2 l U L',U2 R2 B2 L D' L D' R2 F2 L U2 L U,,U2 M U2 M' U M2 U M2 U2,43
R D2 U B2 F' D' L U' D2 R L2 B2 F L F2 B2 L' R' D' F' R F' U' F' L,x2,L D F2 R' U' B' L' U F2,L2 U' l2 L2 U l2,U2 L U L' U' L U L',U2 U' F R B' U' B2 U B R' F' U,,M2 U' M' U2 M U2 M2 U,43
D2 F U B2 R' L' D' R' L D' U R2 U' D2 L2 D2 F2 R F R' B' D',x2,D2 F D R D B L' D',U' L U2 L2 U' L2,U' l U2 l' U' L U L',U R2 F D R2 U D' R2 F2 U' F' R2 U,,M U2 M' U M' U2 M' U' M2,44
L2 F U2 L U2 L2 D2 R' B2 F D2 F L' D2 R2 L' F' B R2 L' F U2 L' R F,x2,F' U' L2 B2 L B' L2 F',l U2 l U' L U l2,L2 U' l2 U2 l2 U L2,U L F2 R' D R F2 L2 U L U',,U2 M' U2 M' U' M2 U,40
U' R2 D2 U L' F U' F L R U F2 D2 B' L' U2 R F' D2 F' B L U2 D',x2,B2 U2 B L2 R D B' F' D R,U' l U2 l' U' L U L2,U2 L U L' U' L U L',U' U' F R B' U' B2 U B R' F' U',,U2 M' U2 M U' M2 U M2,46
L' D R L U' B' R2 F2 U L R F D' U2 F2 U' F' D' R2 U' F D,x2,R2 D2 U B' R2 B' R B',U2 l2 U l2 U' L2,l' L U2 l U' L',B U B2 U' B2 U B,,U M2 U2 M U2 M U',34
R' F U2 D2 L U F' U D' R' U L U2 R' F B U L D' F' B',x2,B' L F' D2 L' D' R2 B' R,U' l2 L2 U2 L U' l2,l' L2 U2 l L' U' L',U' R2 B2 L D' L D' R2 F2 L U2 L U2,,M' U2 M' U M' U2 M U' M2,45
R' F2 L2 D2 B2 R' F U' B' D B F U2 L F' D' L B L B' F2 R' B F,x2,D R' B F' R U R2 D,L U L' U' L2 U L2,U2 l2 L' U' l2 L2 U' L',U2 R B2 R' U2 R' U L U' L' R,,M U2 M U' M U2 M' U M2,43
D' B D' F' B2 U2 L' U' D R' L U R' B2 U2 R2 L U B2 L2 D' F,x2,B2 D' F2 L F L' R B D2,U' l2 L2 U2 l2 U L,L U2 l' U2 l U L',U L' F U2 F' B' U' F U B U2 F' L,,U2 M U2 M' U M2 U2 M2 U,45
D' L2 D' L2 F' U2 L2 D2 L D B D' B2 R' F D B' U' R2 F2 U' B,x2,L' U' F' D2 L' U' B D L F',l' L U2 l U' L2,L U2 l U2 l' U' L U' L2,U R2 D' L F2 L' D R U2 R U2,,M2 U' M' U2 M U' M2,43
F U' D' R2 L' U2 D2 L D' F2 L U R L2 B L' R2 B2 D B2 U' D,x2,U' F D' B R2 B2 L' B F,L2 U l U2 l' L2 U' L2,U2 L U l' U2 l U' L',U' L U' F D' F U' F' D F' U L' U',,M2 U M' U2 M' U M' U2 M U2,48
D2 L2 B R2 B2 U' B U D2 F' L B U' R D' U2 B' D R2 D2,x2,B' F2 U R2 U2 R' B' L B2 F,L' U' l2 U' l2 U L,U' L U l' U2 l U' L',R B L' B' R' B L B',,M2 U' M2 U' M' U2 M,40
B' L2 B D' F2 U B2 L' U' B' L2 B2 F U' L D F2 U R2 B2 F2 L D2,x2,R B D2 B L2 U R' B' D2,L' U2 l2 U' l2 L U' L2,L2 U' l2 U l2 U L2,L2 F2 R' D' R F2 L' U L',,M2 U M2 U' M' U2 M U2,41
F' R' D B R' D2 F2 B U F L2 U R U' D2 R' F2 L' F' L' D' L2 F R2 F,x2,D L2 R' B' F2 D' B' D2,U2 l2 L2 U' l2 L',U' l2 L' U l2 L,U' R U R' U R2 F2 R' U2 R F2 R2 U U,,U M' U2 M U' M' U2 M,42
D2 L2 F' B' D R2 F2 D U2 L D2 F2 U' D F R F L R2 B2 U D' R2 U,x2,B' L2 D2 L2 R' D F R D' B,U' L2 U2 L U2 L' U' L,L U2 l' U2 l U L',U2 F R F' L F R' F' L' U U2,,M' U2 M' U2 M2 U' M' U2 M U',46
U' B L U R2 L2 D2 R' L' D2 F' U B' U' D L2 D2 R B L' B',x2,R F2 L2 F' R' U F' U2 B' D2,U' l2 U L U l2 L',U l2 L' U l2 L,L F R' F' L' F R F',,U' M' U2 M U',36
U L D2 F L' U L2 R B' D L B' U' L F B' U2 L2 R U2 D R L2,x2,D U' F R2 U2 L B F,U L2 U l2 L' U l2,U2 L U' L' U' L U L',U F R' U2 R F' R' F U2 F' R U2 U',,U M' U2 M U' M' U2 M,44
R2 B' D2 B2 D' F2 U L B F' R' B2 D2 B L B U F' L' U F2,x2,D2 U' R F2 U F' R' D' B,L2 U' l' U2 l U L2,U2 L U l' U2 l U' L',U B2 D F' L2 F D' B' U2 B' U2,,U2 M' U2 M' U M U2 M U,44
B U' R2 D2 L' D U L' B' R' L2 U2 D' B2 F D L2 B2 U D2 F2 D B L' R,x2,D2 B' F' U' L' F' L2 D' R,L U' L' U l2 L' U' l2,U' l2 U2 L' U' L U' l2,U' B' R B2 L' D' L' D L2 B2 R' B U',,M2 U M' U2 M U M U2 M U2,48
D' R2 D' F B2 L D F' B D2 U L R' U2 F2 U' L' R F B,x2,B L2 D' U L' R B U2 R2,L2,U L U L',F' L U2 L' F L F' U2 F L' U U2,,M2 U' M U2 M' U M U2 M,35
B2 F2 R U D' B F D' L B' U2 F' L2 U2 F' R2 D' R' B R2 F' U L,x2,B2 L' D R' B2 F' D' B F',l2 L2 U L' U l2 U L,U l2 L' U2 l2 L2 U' L',U' R U R' U R2 F2 R' U2 R F2 R2 U U2,,U2 M U2 M' U M2 U2 M2 U,48
R D2 L F' B' D' F B2 R L U2 L B R' B' U' F U' F R D2,x2,F' L F2 D B' U2 R2 D' F,l' U2 l U L' U' L,L U l2 L2 U' l2 L,U2 L' F U2 F' B' U' F U B U2 F' L U',,U M2 U' M' U2 M' U2,44
U' B2 L F U' B' F L B2 F' D' B' L D2 B2 D2 F2 U2 F B2 D2 L' D2 F R2,x2,L2 F' U R U B' U B' D F,U2 l2 L U l2 L',U l2 U2 L' U' L U' l2,R' F2 L F2 L D' L' D L' R U,,U M U2 M' U' M' U2 M' U M2 U',46
U F2 U' D B' U' D L2 U2 F' L R F B2 U2 L' B2 U' L D2 F R L2 D' U2,x2,R B' D2 L F' R' U R' B',L U' L U L2,U2 L' U l2 U' l2 U' L,U F R F' L F R' F' L' U U',,U2 M2 U' M' U2 M U2 M2 U',42
U2 B2 R L2 D' U' R2 U2 D' F B' D2 B D2 R' B' D' L B2 U' R F2 B2,x2,F2 R' U2 B U2 F' D' L F',U2 L U' l2 L' U l2 L',L U L' U L U L',U' U R' F2 U F2 U F2 U' F2 R U2,,U2 M' U2 M U M2 U' M2,44
B L' F R2 D L2 D L F' D R L2 U2 R' F2 L' R' U2 F' R D L D' F',x2,B2 U' L R F' R2 D F U B,l2 U' L U' L U' l2 U' L2,U' L U L',U' B2 D F' L2 F D' B' U2 B' U,,M' U2 M U M2 U' M U2 M,43
U F' B2 D2 U2 B U2 D2 R F' D2 U2 B' U' B U D' R' F' U' F2 L2 R',x2,L2 F D' R B' D B2 U F',U L' U2 L2,U l2 L' U' l2 L2 U L',U' U B' U B2 D F' L2 F D' B2 U' B,,U2 M' U2 M' U' M' U2 M' U',43
U L R F2 R' F L F' R2 F L U D B2 U2 L U2 B U F' U' F' L2 D' R',x2,B2 F U2 L2 R' U' B R2 D',l' U2 l' U l2 L' U L,U l2 L' U l2 L2 U L',R2 F D R2 U D' R2 F2 U' F' R2 U',,M U2 M U M2 U,43
B' U L B' D L U' D2 L R U R L2 D' L2 D' L2 F L2 B',x2,D' R' D F2 U' B' F2 D,U' L2 U2 L' U' L2,U l2 L' U' l2 L2 U L',U2 L' R' U L U' L F2 L' U' F2 U R U',,U M' U2 M U' M U2 M U M2 U',47
U F R' F' B R' F' U' F2 R' U L' D2 B R' L D F' L' F D' F,x2,U F2 R F R2 U F2 D2,U l2 U l2 U' L2,L U' l' U2 l U2 L',U B' U2 B' D' F R2 F' D B2 U2 U,,U2 M U2 M' U' M' U2 M' U' M2,43
D F' B2 U D L' R' F' U R' U' R' B2 D' B2 L' D2 L R F',x2,F2 U' F L F2 D' B' R',U l2 L' U' L' U l2,U' l2 L' U' l2 L,B2 D F' L2 F D' B' U2 B' U',,U2 M' U2 M U M2 U2 M2 U,40
B2 U' B' D B2 L F B' L2 R2 B U' B2 F2 U2 B2 L' U R B2 R' U' B2 U2,x2,B2 R2 D' B2 F' L' U' R2 B',U2 L' U2 L U' L,L2 U2 L' U' L U' L2,U2 U R' F2 U F2 U F2 U' F2 R,,M U2 M' U M2 U M U2 M U2,43
L' U2 D2 F' U R F U' L' F' D2 F B L2 B' D B2 D R L' D F B,x2,D B R' D' L2 B' L' F L D2,l2 U' l2 U' L U2 L,L U' L' U l2 L' U' l2 L,U2 L2 R' D' L' D F2 L2 U L U' R U',,U2 M' U M2 U2 M2 U M U2,48
F' U B2 R' F' D' L' D2 L2 D R F D2 R D2 F' U' F U' F' R' D2 B,x2,R2 F2 L2 F' R2 U R' B2,U2 L U' L' U2 L2,U2 L2 U2 L' U' L U' L2,U2 B' U2 B' D' F R2 F' D B2 U2 U,,M' U2 M' U' M' U2 M U M2,43
R' B F2 L' U' D2 L' F2 D2 U2 B2 F L D2 B D' L R' U' F R F2 U' L,x2,U' R U B2 L2 D L F',U l2 L U' l2 L',U' l2 L' U l2 L,B2 L2 B R2 B' L2 B R2 B U U,,M' U2 M' U' M' U2 M U M2,40
U2 B2 U2 F2 U L D2 F' B' L' R' F D' U L2 U B' R L U' B2,x2,D2 F U2 B2 R' D' B' R' F' R,U L' U' L' U l' U2 l,U' l2 L' U' l2 L,U2 F B' U' B U F' U2 B' U2 B,,M2 U M2 U' M' U2 M U2,43
F R D' U R' D2 R' F2 B2 R' F2 R2 D' F' U R2 L2 U D' F' L' B,x2,F' R' B R2 B D' B' R' F',L U L' U' L2,l' L2 U2 l L' U' L',U L' F U2 F' B' U' F U B U2 F' L U',,U2 M2 U M2 U' M U2 M',43
U' R U2 B D2 L R F D2 F L' U D' F2 D U2 R2 L' F' B' R,x2,L B' L2 D R B R B2,U' L U L' U' L U L2,L U' l2 L2 U l2 L,F U2 F' U2 B' R2 F' R2 B U',,M2 U2 M U2 M,38
D' L F U F' U F L U2 L D2 F2 D' L2 U B L2 F' L2 F2 U' D' F U2 L2,x2,B F2 R2 B' U B D F D,l2 U' l' U2 l U2 l2,U' L U l' U2 l U' L',L' F U2 F' B' U' F U B U2 F' L U',,U M U2 M' U' M' U2 M,45
U2 B2 F2 U L2 D B D' U2 F' R' L F' L U2 D' R2 F' L' R B',x2,D R2 B' L2 F' U2 B' R D',U' L U' l2 L' U l2 L',U' L U L' U2 L U L',U L' R2 D' R D R2 B2 U R' U' L U2,,M' U2 M' U M U2 M U',46
U L' B2 U2 D' F2 U' L2 U2 R F' U2 L2 U B' F2 L F' R B' L' U2 R2,x2,R' B' R U2 L F2 D' U2 B',L U L U' L,l2 L' U l2 L,U2 L' B' L F' L' B L F U',,U M' U2 M' U' M2 U2,36
F2 L U R L2 B F' D B' R2 D' L B U B' L2 U2 F D B2,x2,D U2 R' F' U R2 B L' R F',U' L' U L' U' L,L U' l2 L2 U l2 L,U2 L' R' U L U' L F2 L' U' F2 U R,,U M2 U2 M U2 M' U M U2 M,46
U F' B' U F' B R D' B D2 B' F2 L F' D' L2 B F L' D' U' R2 F2 L' R',x2,L' F U2 R2 F R' U' B2 F,l' U2 l' L2 U l2,L2 U' l2 U l2 U L2,U' B2 L2 B R2 B' L2 B R2 B U,,U2 M2 U M2 U' M' U2 M,41
D F D L' R' F' R' U' D' R2 U' D F B2 U' L B R2 L2 F R2 D' F',x2,U R F' D' R2 U2 R' D2,U' L' U' L' U2 L2 U' L,l2 L2 U2 l2 L' U L',U' B2 L2 B R2 B' L2 B R2 B U U2,,U2 M U2 M U' M2 U M' U2 M U2,46
L U R F' B2 U2 L' F' B2 U' D' F2 R L2 U2 F2 R2 D R2 F2 R' B' R B U',x2,U2 F U' B D2 R' F U B,L' U l U2 l U' l2,U' l2 L' U l2 L,U' B' R B2 L' D' L' D L2 B2 R' B,,U M2 U M2 U2,39
F R B' U' L2 F' B2 U' R F' L2 F D B2 D' U' L' R F L2 U2 B' U2,x2,L' F' R U2 R2 D' U R2 B',l2 U' l2 U' L U2 L,l' L U2 l U' L',U L' F U2 F' B' U' F U B U2 F' L,,U M2 U' M2 U2 M' U2 M,43
D2 U' F2 B' L2 D2 U2 F' B' D F2 L2 R2 B U' F2 B2 L' R D F R' B' R' B',x2,F' U' L F R2 B D F2 R',L2 U' l U2 l' U' L,U l2 L' U' l2 L2 U' L',F R B R' F' R B' R',,U2 M U2 M' U M2 U' M2,40
B2 D' F D2 B U' F B R L' U' D' R2 D' B2 F L2 B R D' L2 R' B2 R',x2,D2 B2 L' B' U' F L2 D F',l2 U2 L' U l2,U L2 U2 L' U' L U' L2,U B2 L2 B R2 B' L2 B R2 B U,,M2 U M2 U2 M' U2 M' U' M2,42
U L R F' R2 D F2 D R2 D2 F' U' D F R2 F2 D2 F B' U B2 D2 B' R2 F2,x2,B2 L' F L F U' B D' R',L2 U2 l2 L' U l2 U L,l2 L' U l2 L,U F U2 F2 L F L' F U' R U' R' F' U2,,U M' U2 M' U M U2 M U M2 U M2,48
B' D' L B R' D' U' R2 L2 F2 U' L' F R L' B2 R' F' R' L2 U F2 B' R2 U,x2,U L' D U2 B2 U2 R2 F',L' U l U2 l U' l2,U' l U2 L' U2 L U2 l',U2 R U R' U R2 F2 R' U2 R F2 R2 U U',,U M2 U2 M' U2 M' U',44
F2 U' D' B' D' U' F U B' D' F' D' U B2 F2 U' D' B' D' B2 D L B D',x2,D' L2 B' U L D' F D2 F,l2 L' U l2 U2 L,U2 L U' l' U2 l U2 L',D B2 D2 L2 U' F2 U2 L2 D' B2 D2 R2,,M' U2 M' U' M2 U',41
L2 B2 R' B' U' L R B D2 R F B' R' B' R2 B' U' F' L' U',x2,F U' L' D R2 F U' L2 F,U' l2 U2 l2,U' l' L U2 l U L',U R2 B2 L D' L D' R2 F2 L U2 L U',,U' M2 U2 M U2 M U,40
D' R2 B F' U' D2 F2 B' R2 D' U F2 D' R' U D2 L B F2 U2 L2 B,x2,L R' D2 R F' D' B D2 U R',U' L2 U2 L U' L2,U' l2 U2 L' U' L U' l2,U2 R' F2 U F2 U' F2 U' F2 R U' U,,M2 U' M' U2 M U M' U2 M',45
F' L2 B2 U2 B U' B2 R B2 F D F U' D2 B' L F' D2 F' B' D,x2,B2 D2 L F D R' U B R F2,U' l2 L2 U' l2 L',U2 l U2 l' U' L U L',R2 B2 L D' L D' R2 F2 L U2 L U2,,M2 U2 M U2 M,41
R F2 L' D2 L2 R' D' F' D' B' L2 R D' R L' D2 F U' L R' F2 B' U L2,x2,D L2 B2 F' L2 F' D' B' R F,L' U L' U2 L U L2,L U' L' U' L U L',R B2 R' U2 R' U L U' L' R,,M U2 M U M2 U,40
U2 R U R2 F' B2 L B L' B' D' U2 L' U' B F' L B D' B' U D F L2,x2,B' D R2 F' R B2 D' B' R',l U2 l U l2 U' L2,l2 L' U' l2 L,U2 L2 R' D' L' D F2 L2 U L U' R U',,M' U2 M' U2 M2 U M2 U M U2 M,45
R2 B2 D B D F L2 D' U2 L' R2 D U B L U' D2 F' R D B,x2,L2 B' F D' B R2 D2 R' D,l' U2 l' U' l2 U L,l U2 L' U2 L U2 l',U2 F R2 F L2 F' R2 F L2 F2 U U,,M' U2 M' U M' U2 M U M2 U2,45
R' L' U' F2 B2 L2 B D' F2 R F B' U2 F U' D2 F2 L2 R2 F' R L U,x2,U2 L' R2 F2 D B L' F' D' B,U l2 L U2 l2 U L,l2 L2 U' l2 L' U' L',U2 U' R' U' F U F' R U F U2 F' U',,M' U2 M U' M2 U' M U2 M U2,47
L F' B D' B' L' F' U' R' D2 L' R B L2 R2 D2 F' R' D' B',x2,L' U2 B2 F' R F U' B,U2 L U L U L2,L U l2 L2 U' l2 L,U2 F R' U2 R F' R' F U2 F' R U2 U2,,M U2 M' U M U2 M U2 M2 U,44
D2 B L2 R2 F2 D B2 R U' R2 D' L' R2 F2 U' L R2 F' D2 B' U',x2,B R D' F2 L2 F R' U2 B,L' U' L U L2,l U2 l',F' U B U' F U B',,M2 U M2 U2 M2 U M2,31
U2 R' F D' R' D' U L B2 D' F2 R2 U L2 F' L2 B2 F2 L D2,x2,B L B U2 L' F D2 R D' B',U2 l2 U l2 L',L U2 l' U2 l U L',R2 D' L F2 L' D R U2 R U2,,M2 U' M U2 M2 U2 M U M2,41
B' R2 F2 R L F' R L D U2 R2 L' U' R D' L' R2 F' B2 R2 B,x2,R' D L2 F2 L' R' F D,l2 U L2 U' l2,L U' l' U2 l U' L',B' R B2 L' D' L' D L2 B2 R' B U2,,U M2 U2 M U2 M U',39
L' U2 L U2 F2 U R U' F' U2 F' U' R2 F R2 F' B2 R' F2 R L2 D2 L F,x2,D B2 R2 U2 F D' R' B' F,L' U2 l2 L U' l2,l2 L2 U2 L U' l2 L,U B U' F' U B' U' F U2,,M U2 M U' M U2 M' U2 M2 U',41
L U D2 B' D' F' L U' L B2 L2 B2 L2 F' L' B' L2 R' D R,x2,B2 L' U B' F D B' D B2,l2 U2 L U' l2 U L,L U' l' U2 l U2 L',B' R B2 L' D' L' D L2 B2 R' B U2,,U M2 U2 M U2 M' U' M2,43
B F R2 D' U2 L B2 D2 L' D' B2 U' R2 U2 B' U2 F2 B2 R L2 U L,x2,R' D' L2 U R2 B' R' D F,U2 l2 U' L' U' l2,U L U l' U2 l U' L',R' U' B L2 D F' D' F L2 B' U2 R U',,U2 M2 U' M' U2 M U M2,44
B F' D' U' F U L' F2 L2 R' B D' R B' R F' R D2 U2 B,x2,U2 R2 U' B2 L U2 F L B',l' U2 l U2 L' U' L,U2 l2 L2 U l2 L' U L',U U' R' U' F U F' R U F U2 F' U,,U M2 U2 M' U2 M' U M' U2 M,47
R2 U B2 U2 L2 B L D2 R' L' B' F L2 B' L F2 L B2 U D' R2 D2 L',x2,F2 D B D B2 L' U L2 F R',U2 L U L' U' L,l2 U L' U L U2 l2,U R B2 R' U2 R' U L U' L' R,,M2 U M2 U2 M U2 M U M2 U2,44
D2 L' F' U2 L F R2 F2 R2 B' U F L2 B2 U L2 R' B2 R' L U F' L F',x2,B2 D F R B U2 B' F2,l U2 L' U2 l U l2,L2 U2 L' U' L U' L2,R' F' L F R F' L' F,,M' U2 M U' M U2 M U' M' U2 M',41
F' U' R2 D2 R' U' B2 U' L2 R' U F D' B' F D B2 F' U' F2 L' R B2,x2,L' B2 D' L B2 U2 F U2 B2,L' U L U' L2 U2 L2 U' L,,U2 L2 R' D' L' D F2 L2 U L U' R U2,,U M' U2 M' U' M U2 M,39
D' U' L' F2 D F2 B2 U B2 R2 L2 B2 F D R' L2 B' F' D' R B U' R' F2,x2,D R' B2 U F' R D' B' F,L' U2 L U L' U L2,U2 L' U l2 U' l2 U' L,R2 F D R2 U D' R2 F2 U' F' R2 U',,U2 M U2 M U' M2 U,43
D L2 D' U B' D U2 R U' B F' R F2 L2 U R2 B R2 F2 D',x2,R2 U2 F' U R2 B L' B2 F',L2 U' l2 L' U' l2 L',L U l2 L2 U' l2 L,L' B' L F' L' B L F U2,,U2 M' U2 M,36
