scramble,orientation,2x2x2,2x2x3,EO,block_fr,block_br,co,pll,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',,B' D2 F L' D',D R' B2 U2 R' D' B R U2,L' F L R' B' D' B,F' R B R' F R B' R,B' L B2 U' R' U B2 L' B,D' F' D B D' F D B',R2 D F2 D' R2 F2 U' R2 U F2,56
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',,D L2 B U L2 U',B2 L B' U B' L' D2,F' R' D' F D F,U' B D2 B' R B D2 B' R' U,B R F R' B' R F',R F R' B R F' R' B',L R2 U L' B2 R D' R D R2 B2 R2,56
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,,L' F2 R B' D L2 D',R U2 B U R' B U,F L2 U2 R' U2 L2 F',U' L D B2 D' L' U,U B2 R F2 D2 B2 L F2 U,,D' L D' L F2 L' D L F2 L2 D2,48
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',,B2 D' L2 F D2,U' R U F' D2 U' B' L2 U,F U L' F2 L U' F',R2 B2 L2 R U' R' U L2 B2,B' L B2 U' R2 U B2 L' B,B2 U' B D2 B' U B D2 B,D F2 D2 L2 D' F2 D2 L2 D F2 D2 L2,60
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,,U' B2 L' U' B' L' U',R2 B R2 D B2 F' R' B F,U' L' F' R' F L U,D' R' B' L B2 U R B L' B2,B2 D2 B2 R' B2 D2 B2 R2,R2 U R' D2 R U' R' D2 R',R2 D F2 D' R2 F2 U' R2 U F2,60
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,,F D U F' L U,R2 D2 R' B' L' R2 F' L B',R2 B' F D' B F',B2 D2 B2 R B2 D2 B2 R,D R' B D' F' D B' D' F R,R F R' B R F' R' B',R2 B2 L U L' B2 R D' R D,57
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,,R2 U R' D2 L2 F',R D L2 U' F2 L2 R' D,L2 F R' F' L2,L2 U L F2 L' U' L2 R,L2 R U R U' R' U' L2 R',R F R' B R F' R' B',D L R2 U L' B2 R D' R D R2 B2 R2 D',58
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,,F L R2 D L2,L2 B D' L' D2 R' D' B' L2,F' D' F' D R F,U F2 L' D2 F2 U2 R' B2 U,U R2 U' R' U R' U' R,B' D2 B' U' B D2 B' U B2,,46
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,,F2 U' B' D2 F U L,D R' D B D2 R B2,D R D' L' F' L,U2 L2 B2 D B2 U' L2 U',D L2 B2 R2 U L' B2 L' F2 R2,B' D2 B' U' B D2 B' U B2,F' D F D R2 U2 B U B' U R2 D2 F,60
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',,F' D2 L2 R' U2 F',L B' L' B2 L2 F' U' L2,D R D' L' F' L,F' R' F R' B' D2 B R2,L2 R2 B2 L U L' U' B2 L2 R2,R F R' B R F' R' B',L2 R2 U F U' B U2 F' U B' R2 F2 L2,59
