scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,F D U',L2 D2 B D' B' L',D2 L' B2 U' R' U' B2 L' F2,D' U2 B F' U B' F D U' B' U',L U B U L' B' U' L' B' U,R D' B' D L R' B' U B L',49
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,D' F' R' U',B' L F' L U' B L2 D,D2 R2 B2 L' U' L2 B2 R2 D,U L F' L' R U R' U',R' U2 R F' L' U B2 R2 D R2 U' L F,L' U B F' L2 B' F U L,51
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D F U B',B D B' D',U2 L B' R' B U F L' U,U' R D2 U' L R' B2 F L' U,L F2 R2 U' B2 R2 F2 D' L,,36
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,D2 U' R2 B,R' D' B D L' B R,F L D' F L F L2 D2 L D2,U' L2 F' L' R U' L R D' L2 B2 R2,U L U' B U' L U' B' U L' U B',,45
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,F' L U2,D' F2 L2 D2 L F L,L2 B R' D' B R B2 F L2,D2 U2 R U B L' B2 F2 L U' B' R',L B' R' B U' L' R B D' R D R',L' D' B2 D L R' B' U2 B R,53
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,D' F U2,D2 B' L' F U' B F2,B U R U R' U' R' B',L' R B U' L' R B D2 L2 R2 U,U L2 U' B R2 B' D F2 D' B R2 B',L2 F L2 D2 R2 B R2 D2,49
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L' F U B',F2 R' B' R F' D F',L F L2 D' B D R B' D L,F' L2 R2 B L' D L' R F' R,U R D' B L' B L B2 D2 L' D' B R' U',F' D2 R2 U2 B' R2 D2 L2,53
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L F' D' B2 D2,L2 U L' R2 D' R2,B F' R' U' R U F R' B',F U' L2 R2 D' L2 R2 U2 F',R B' R D B2 U B U2 L U B L D' R2,F' D2 R2 U2 B' R2 D2 L2,51
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,D' F' U F2 R2,F2 L2 F' L' B R2 D B',R2 B2 R B2 R' B2 R2 D' F D,R U' R2 F L2 R2 B' L2 U R',B2 D2 U' L' B L' B' L2 D2 L' B' L U B2,L' U B F' L2 B' F U L,56
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F R F' U2 F,F' L2 F D' F' D,B2 U' R U' R' U' B' R B',L' D L' B F2 D2 L2 F D B' D' U2,B D' U R' U' R' U F2 D' L U' F' D2 R2,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,60
