method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
mut_ffcbcb62,10,42.7,4,10.68,0,0.007726
mut_1e4557af,10,36.8,3,12.27,0,0.00526
mut_6376e844,10,45.3,4,11.32,0,0.00581
mut_2e9a296f,10,45.8,4,11.45,0,0.005499
mut_3a00f670,10,36.1,3,12.03,0,0.005777
rand_338fb6a8,10,35.9,3,11.97,0,0.00592
rand_06b15961,10,51.0,5,10.2,0,0.007732
rand_a82b1bd9,10,40.6,4,10.15,0,0.009898
mut_10917ec1,10,46.1,5,9.22,0,0.012472
rand_0efcb413,10,41.3,4,10.32,0,0.009125
mut_f1f9f243,10,45.2,4,11.3,0,0.005863
mut_40cae20c,10,39.5,4,9.88,0,0.011281
rand_e679a563,10,42.7,4,10.68,0,0.007726
rand_c350b458,10,41.0,4,10.25,0,0.009438
rand_1c9c16ac,10,43.6,4,10.9,0,0.006989
mut_af048b54,10,35.8,3,11.93,0,0.006013
mut_e1b5eeaa,10,37.6,4,9.4,0,0.014268
mut_7f5dc6e4,10,43.9,5,8.78,0,0.015441
rand_0e4b74f0,10,46.4,5,9.28,0,0.012109
rand_4eb71f45,10,47.9,5,9.58,0,0.010446
rand_f76784b9,10,46.9,5,9.38,0,0.011528
rand_c1cb9e19,10,43.0,4,10.75,0,0.007479
mut_da03b196,10,39.1,4,9.78,0,0.011845
mut_d398fc9b,10,43.0,4,10.75,0,0.007479
rand_695dc2d3,10,41.2,4,10.3,0,0.009217
rand_cc0481cd,10,42.6,4,10.65,0,0.007829
rand_52ad5cf3,10,37.8,4,9.45,0,0.013921
rand_1060c72c,10,45.5,5,9.1,0,0.013228
mut_ce26311f,10,43.8,4,10.95,0,0.006835
rand_700856b8,10,41.7,4,10.43,0,0.008674
mut_0918df70,10,42.4,4,10.6,0,0.008011
mut_0ccbe5b0,10,40.6,4,10.15,0,0.009898
rand_9d6c5bfb,7,42.43,4,10.61,0,0.003908
mut_b4ff9e9a,10,45.6,4,11.4,0,0.005617
mut_d97f5c6c,10,44.3,4,11.07,0,0.006478
mut_b1334719,10,49.0,5,9.8,0,0.009379
rand_3ab60a42,9,35.67,3,11.89,0,0.004951
rand_f1877116,10,36.4,3,12.13,0,0.005553
mut_0a49b351,10,42.9,4,10.72,0,0.007579
rand_f1aa3542,10,45.2,5,9.04,0,0.013621
rand_f8f0e642,10,47.0,5,9.4,0,0.011414
mut_2293128a,10,43.9,4,10.97,0,0.006771
rand_7220d619,10,44.2,4,11.05,0,0.006538
rand_aa086b37,10,41.6,4,10.4,0,0.008792
rand_11900ab1,10,42.3,4,10.57,0,0.008119
mut_8159c6c5,10,39.4,4,9.85,0,0.011441
mut_6ca45819,10,37.5,4,9.38,0,0.014417
rand_4bb387b1,9,36.11,4,9.03,0,0.013863
rand_0b2e84f1,10,41.0,4,10.25,0,0.009438
mut_eaf4fe26,10,34.8,3,11.6,0,0.006884
rand_c59e421f,10,36.7,3,12.23,0,0.00534
ZZ,775,50.99,7,7.28,32,0.019384
mut_2fa05352,9,36.78,3,12.26,0,0.004276
mut_a70da3ba,10,45.6,4,11.4,0,0.005617
mut_971c8c09,10,34.8,3,11.6,0,0.006884
rand_4009f1a0,10,40.9,4,10.22,0,0.009568
mut_3c7c1363,10,53.2,7,7.6,0,0.017834
mut_1569d3a4,10,40.9,4,10.22,0,0.009568
mut_ccc15802,10,41.2,4,10.3,0,0.009217
rand_684d84b5,10,36.5,3,12.17,0,0.005469
rand_a2958f3f,10,42.2,4,10.55,0,0.008198
mut_e767362d,10,50.9,5,10.18,0,0.007806
rand_a0abc5a3,10,37.7,3,12.57,0,0.004692
rand_11d7e2dd,10,44.2,4,11.05,0,0.006538
rand_94ccde0d,10,42.1,4,10.53,0,0.008279
rand_ab3871ea,10,35.0,4,8.75,0,0.019578
rand_8e59755e,10,35.3,3,11.77,0,0.006419
mut_146ca329,10,33.9,6,5.65,7,0.029499
mut_fbfb82e0,10,42.7,4,10.68,0,0.007726
mut_a9163343,10,38.7,4,9.68,0,0.012439
rand_169eb8b5,9,41.11,4,10.28,0,0.007538
rand_6dfeeb97,10,40.8,4,10.2,0,0.009665
rand_ed2f0628,10,42.5,4,10.62,0,0.007934
rand_29e24049,10,36.8,3,12.27,0,0.00526
mut_95707b07,9,40.0,4,10.0,0,0.008617
mut_3d44bc72,7,35.57,3,11.86,0,0.003032
mut_c8923273,10,45.5,4,11.38,0,0.005668
mut_f98af83d,10,47.5,5,9.5,0,0.010866
rand_7bd05662,10,44.4,5,8.88,0,0.014719
rand_2199ba39,9,41.0,4,10.25,0,0.007644
mut_51493af0,10,32.1,3,10.7,0,0.010202
mut_78e23d5e,10,41.3,4,10.32,0,0.009125
rand_23d2ec91,10,36.9,3,12.3,0,0.005198
mut_97d9fae2,10,48.9,5,9.78,0,0.009471
rand_c70a1dbe,10,44.2,4,11.05,0,0.006538
rand_1e5fb633,10,43.2,4,10.8,0,0.007311
mut_e180a928,10,32.6,3,10.87,0,0.009448
rand_52570e42,10,37.7,4,9.43,0,0.014066
mut_124c68b4,10,34.0,3,11.33,0,0.007715
mut_3a59caaf,10,36.2,3,12.07,0,0.005689
mut_b54157b3,10,42.8,4,10.7,0,0.007652
mut_9566d973,10,43.5,4,10.88,0,0.007056
mut_acc2c5e1,10,41.1,4,10.28,0,0.009309
rand_8ed04a9f,10,44.0,4,11.0,0,0.006684
rand_d1ba8dd6,10,37.7,3,12.57,0,0.004692
rand_78ff4109,10,49.6,5,9.92,0,0.008847
rand_e2681a54,10,40.1,4,10.03,0,0.010491
mut_bc8c7027,10,42.6,4,10.65,0,0.007829
mut_55b2fd60,10,39.9,5,7.98,0,0.021907
rand_d8aa7a47,10,47.5,5,9.5,0,0.010866
rand_5b2fb240,10,45.2,4,11.3,0,0.005863
mut_4e469a92,10,35.2,3,11.73,0,0.006522
rand_96b44c04,10,44.1,4,11.03,0,0.006599
mut_d0edae25,10,46.9,5,9.38,0,0.011528
rand_89cfad27,10,36.1,3,12.03,0,0.005777
rand_89977c7e,10,42.0,4,10.5,0,0.008391
rand_d96a7f78,19,38.32,4,9.58,0,0.013058
rand_3abd8021,20,42.45,4,10.61,0,0.007972
rand_91b140f2,36,47.56,5,9.51,0,0.01081
mut_804a046c,40,41.8,4,10.45,0,0.008589
rand_8ac447d5,58,34.88,3,11.63,0,0.006801
rand_db16ddf9,50,49.06,5,9.81,0,0.009331
mut_fa1872b5,70,41.17,4,10.29,0,0.009258
mut_a30fdea7,74,34.19,3,11.4,0,0.007492
mut_d23e269d,70,46.17,5,9.23,0,0.012405
mut_f27b1ff3,80,35.56,3,11.85,0,0.00621
rand_4f17e3bd,80,49.83,5,9.97,0,0.008638
mut_5a999140,80,40.99,4,10.25,0,0.00944
mut_208d1410,100,39.65,4,9.91,0,0.011109
mut_9313aaa5,100,38.97,4,9.74,0,0.012069
mut_fc5e0e0e,116,36.29,3,12.1,0,0.005622
