method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
mut_b00579bb,20,42.45,6,7.08,18,0.023557
rand_2ffec912,29,33.79,3,11.26,0,0.029595
mut_c71815d8,10,33.7,3,11.23,0,0.029674
rand_adf02c35,10,40.2,4,10.05,0,0.024876
rand_be64bb18,10,37.3,3,12.43,0,0.02681
rand_23d24224,10,40.5,4,10.12,0,0.024691
mut_c7fafa70,10,45.0,4,11.25,0,0.022222
rand_2133b62a,10,43.4,4,10.85,0,0.023041
rand_8730bf16,10,42.6,4,10.65,0,0.023474
mut_b7ab6ffe,10,43.8,4,10.95,0,0.022831
mut_cf665a5d,10,47.0,5,9.4,0,0.021277
rand_7000a5b1,10,39.9,4,9.97,0,0.025063
rand_b646ad66,10,38.6,4,9.65,0,0.025907
mut_73d6bde8,10,43.1,4,10.78,0,0.023202
mut_5152ecd4,10,41.6,4,10.4,0,0.024038
rand_2d2dd76e,10,47.7,5,9.54,0,0.020964
rand_52050afc,10,41.1,4,10.28,0,0.024331
mut_77a8d01d,10,40.5,4,10.12,0,0.024691
rand_41ecbdd3,10,45.7,5,9.14,0,0.021882
mut_085837f3,10,46.0,5,9.2,0,0.021739
mut_a7a2b614,10,34.4,3,11.47,0,0.02907
rand_6f4454f5,10,50.0,5,10.0,0,0.02
rand_23fab2b7,10,41.3,4,10.32,0,0.024213
rand_01fc5d20,10,42.9,4,10.72,0,0.02331
rand_1a254b23,10,52.1,6,8.68,0,0.019194
rand_0ae97be4,9,40.67,4,10.17,0,0.019916
rand_c2547862,10,41.9,4,10.47,0,0.023866
mut_0f43bd1e,10,39.9,4,9.97,0,0.025063
rand_5bf065aa,10,39.4,4,9.85,0,0.025381
mut_b0c42b4f,10,49.8,5,9.96,0,0.02008
mut_1b8bafda,10,46.6,5,9.32,0,0.021459
rand_a7890f59,9,39.78,4,9.95,0,0.020362
mut_02a98281,10,38.8,4,9.7,0,0.025773
mut_ad08b251,10,48.5,5,9.7,0,0.020619
rand_1be51626,10,42.8,5,8.56,0,0.023364
mut_42a02c91,10,46.2,5,9.24,0,0.021645
rand_67f52555,10,42.8,4,10.7,0,0.023364
mut_8f62cf22,10,41.5,4,10.38,0,0.024096
mut_830f10bf,10,42.4,4,10.6,0,0.023585
rand_74cabf35,10,34.1,3,11.37,0,0.029326
mut_bd21c48b,10,52.4,5,10.48,0,0.019084
mut_83183dac,10,42.7,4,10.68,0,0.023419
mut_992184cd,10,44.1,4,11.03,0,0.022676
mut_e40b6324,10,45.2,4,11.3,0,0.022124
rand_d4652202,10,45.4,4,11.35,0,0.022026
mut_eb26c74b,10,40.2,4,10.05,0,0.024876
mut_2070b15f,10,45.5,4,11.38,0,0.021978
mut_2b853c94,10,42.1,4,10.53,0,0.023753
mut_e61e78eb,10,41.0,4,10.25,0,0.02439
mut_dd0a1a05,10,34.5,3,11.5,0,0.028986
rand_a57f5011,10,42.1,4,10.53,0,0.023753
mut_c25ba5fc,10,44.6,4,11.15,0,0.022422
rand_1b31f486,10,44.1,4,11.03,0,0.022676
rand_37cb10a1,10,41.2,4,10.3,0,0.024272
mut_2164f662,10,43.6,5,8.72,0,0.022936
mut_726ae340,10,40.6,4,10.15,0,0.024631
mut_306c2cbd,10,42.0,4,10.5,0,0.02381
rand_68536b41,10,39.2,4,9.8,0,0.02551
rand_4b700d9a,10,49.4,5,9.88,0,0.020243
mut_4a82f4a1,10,42.9,4,10.72,0,0.02331
mut_fd3a676f,10,38.6,4,9.65,0,0.025907
mut_7457c9c3,10,40.8,4,10.2,0,0.02451
mut_e87025d9,10,48.8,5,9.76,0,0.020492
rand_9e1a48fc,9,33.89,3,11.3,0,0.023901
rand_a581a75d,10,44.1,4,11.03,0,0.022676
rand_bea4b9ed,10,33.2,3,11.07,0,0.03012
rand_a8baa077,10,36.1,3,12.03,0,0.027701
mut_ae76faf2,10,43.7,4,10.93,0,0.022883
mut_3bb07f77,10,45.9,4,11.47,0,0.021786
rand_fbccc220,10,42.3,4,10.57,0,0.023641
rand_b537576b,10,42.6,4,10.65,0,0.023474
mut_8d0ba881,10,39.0,4,9.75,0,0.025641
rand_cdb1ae43,10,40.4,4,10.1,0,0.024752
rand_b9d4ec7e,10,41.9,4,10.47,0,0.023866
mut_07f60b59,10,44.8,4,11.2,0,0.022321
rand_c91bebc5,10,43.5,4,10.88,0,0.022989
rand_ba7668b2,8,36.75,4,9.19,0,0.017415
rand_85965ced,10,44.1,4,11.03,0,0.022676
rand_26beb2fe,10,40.3,4,10.07,0,0.024814
mut_83b5e09f,9,44.67,4,11.17,0,0.018133
mut_030aae78,10,36.5,3,12.17,0,0.027397
mut_97fff577,10,42.8,4,10.7,0,0.023364
rand_af21b011,10,34.9,3,11.63,0,0.028653
mut_6253d798,10,40.4,4,10.1,0,0.024752
mut_d95e59e0,10,46.5,4,11.62,0,0.021505
rand_73fab4f8,10,48.6,5,9.72,0,0.020576
rand_0c3a9840,10,47.8,5,9.56,0,0.020921
rand_ca16fb53,10,42.2,4,10.55,0,0.023697
mut_20654c2e,9,41.0,4,10.25,0,0.019756
rand_44df08ec,10,42.2,5,8.44,0,0.023697
rand_bc31ba21,7,40.71,4,10.18,0,0.012036
rand_b089e74e,10,46.0,5,9.2,0,0.021739
rand_472c54bf,10,45.4,4,11.35,0,0.022026
mut_b5cf4a8e,10,34.8,3,11.6,0,0.028736
mut_cc609402,10,34.9,3,11.63,0,0.028653
rand_3651852f,10,41.1,4,10.28,0,0.024331
rand_8d177a55,10,41.7,4,10.43,0,0.023981
mut_9d8d8410,10,35.9,3,11.97,0,0.027855
rand_3e7c6228,10,35.9,3,11.97,0,0.027855
mut_2e1f9f5b,10,35.2,3,11.73,0,0.028409
mut_825aefd0,10,42.5,4,10.62,0,0.023529
rand_62498473,10,41.9,4,10.47,0,0.023866
rand_e031d031,10,41.4,4,10.35,0,0.024155
mut_045b58bb,10,44.3,4,11.07,0,0.022573
rand_faa6afb9,10,41.8,4,10.45,0,0.023923
rand_2b4c4526,10,52.8,5,10.56,0,0.018939
mut_ff980ad0,9,39.22,4,9.8,0,0.020653
rand_8e3762ad,10,41.4,4,10.35,0,0.024155
rand_de0d5bc4,10,41.1,4,10.28,0,0.024331
rand_159f2f8a,10,49.6,5,9.92,0,0.020161
mut_d10211b5,10,35.7,4,8.93,0,0.028011
rand_9d965ea7,10,44.8,4,11.2,0,0.022321
mut_97627979,10,41.5,5,8.3,0,0.024096
mut_bcdd6413,10,36.3,3,12.1,0,0.027548
mut_4f4d5238,10,43.3,4,10.82,0,0.023095
mut_c196d1e3,10,41.5,4,10.38,0,0.024096
mut_8baa8824,10,41.1,4,10.28,0,0.024331
mut_ab41f538,10,34.1,3,11.37,0,0.029326
rand_b76992b1,10,36.2,3,12.07,0,0.027624
mut_1312c4c1,10,35.3,3,11.77,0,0.028329
rand_b57c9b4b,10,41.1,4,10.28,0,0.024331
mut_e59fe0b1,10,41.7,4,10.43,0,0.023981
mut_d6d02316,10,43.9,4,10.97,0,0.022779
