scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
F2 R D2 U' R F' D2 R' B' R' F' B' L2 U' L U F2 B L B2 R F' R2,x2,L R B' U',L' D F' R F L2 U L',U' F2 U B' U' B2 F2 U,U' B2 D L' D' R' U2 R U2 B' U,U2 R' B' U' B F2 L2 F L F R,U' R' F' L' B' U B L F R,52
U' B D2 L' U' L B' F D R L F' L B2 F2 R' F2 D' L U D2,x2,R2 U2 F,R2 F2 D2 R2 D2,D U2 R' F2 L U2 L2 R D',U' R' U L R B' L U L2,R' U B' U B F2 L' F2 U2 R U,U2 L D' U B' U B' D U' L U,48
D' U' B F' R' L2 U2 D' R' B D2 L R2 F L F' L2 B2 L U2 L F' R D' L2,x2,B F' L D',B2 D2 R B R' D2,D R' F R' F' R2 D',U B' L' F U' F' L2 B L2 U',U2 B' R' F' L2 F U R U B2 U,U2 L' D' U B U B D U' L' U,49
D2 F2 U2 D' R D2 R2 B2 U2 F B2 D2 B R B F2 U B L2 U D',x2,D' B' D2 F2 L,D U B D' B' U' B',L B U' B' U L',F' L F2 R2 B R' B R' U' F' L,U2 B' F' U2 B U F' L2 F L' F U',R U B' F R' D R' B' F D2 B2 F2 U' R2,55
R D F2 R B' L' U' D R2 B F' L2 B2 F D' F2 R2 U2 R B F2 D2 R L D2,x2,R D' B' F' L,D' L B' U2 L' B2 D2,F2 L D2 B' D2 B2 L' F2,U L U' L' F' L F,R' U F' L F D2 B2 R B2 D2 U2 R U,R D' L R' B2 L' R D' R',49
L D2 L D2 B2 L U D2 F2 D2 F2 U' B' U' F' D U' R' U' B U' L2 U' L,x2,B2 D L' F',D' F' L' R' D L F,U2 B U2,F2 R' D' L R' B L' R2 F2,L2 U F' D2 B U L U' L' D2 U' L2 F,B' L' U2 L D L D' L2 U2 L R B R',49
U' B R B' U2 F L2 U2 B' R2 F2 U' L2 U' F' R L U' D2 F' B' L,x2,D2 F L' R2,U B2 L' D' L' D2 L2,F2 D2 U B2 D2 U' B F2 U,L D F L' F R U2 R' D F2 D2,U B' U' B U' R' F2 D F' D' F' R,R2 D L R' B2 L' R D R2,52
F2 B L' F2 U' B L' D2 F D' B2 U' D R2 U' L' F L B' D L2 D' U2 F' L,x2,R' U L' F,L' R' F' R' F D' L R2,F' L' B' U' L B' U F U,R2 F' D' F' D' R' D R F2 R2,L' F2 D2 B R2 B2 R2 D2 F L2 F2 U2 F' L',U' B L2 B2 L2 B2 L D' B2 D B L U B2,59
R2 F B L F B2 R2 F2 D R' B2 F D2 F2 B2 U2 D' R' D2 L R U2 L' R2 D2,x2,U F L F2 U,F2 L' D2 L D2 F2,D R' F R' D F D' R2 D',F' L B L' F' R D' R' F2,U2 L' D L' B L' B' L2 D2 B D U2,B2 F2 U' B' U B2 F2 D' B D,51
U2 D L2 R F' L' R' B R' D' B2 L D F L D B2 U D' B F',x2,R2 D' L' U' F2,F2 R2 F2 D' B D' B,D' L2 B L2 D' L' U L D2,D B' D' B D' L D' L' F2 R' F2 D,U R' B' U' B F' L F R U',R B' U F L D B D' B' L' F' U' R' B,57
