scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' B R F' U',L' B2 U' F U L' D2 B2,L' R' F L' F' D2 L2 D2 R,F' L R' B' U2 B U L U' L2 R F,U2 R' B2 R U' R' U B2 R U' B' U' B,U B U' B' F' L2 B2 L B' L' B' L2 F,60
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D B D' F2 R',B2 D B U R B U' L',L F L' F L F' L' F' L,R' B' U2 B2 F R2 F D B' D F2 R,F' D' U2 B2 U' B' D L2 U' L2 F' L2 F2,U B U' B' F' L2 B2 L B' L' B' L2 F,60
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' R' U B,L B L2 R' B' R B',D2 R' B U' B' D2 R U' R' U,B L' U' L D U' F' D' U2 B' L,D2 L' D B2 D' L D B2 D,U B U' B' F' L2 B2 L B' L' B' L2 F,54
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U F D2 L D' B,U B R D2 U' L B L2,L' B F2 D2 F R U2 R' D2 B' L2 F2,D2 B U2 R U' R' B' R B U' B' D2,U2 R' D R' U R' D2 F2 U L D F2,U B U' B' F' L2 B2 L B' L' B' L2 F,63
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D' R2 D R' F,D2 B' L D' B' D' L,L2 F L' F2 L2 F' L2 F' L F2 L2,U2 R D2 L' F2 L D2 U2 B2,R' D' L B U2 B' L' B U2 B' D R,U B U' B' F' L2 B2 L B' L' B' L2 F,57
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F2 D' F D2 L' U',B F D B' F' L',L F2 L2 U' R U' R' U2 F2,F' L2 R' F U' F' U F' L F L R F,B' L2 D' L' D L' F2 R U' R' B F2,U B U' B' F' L2 B2 L B' L' B' L2 F,59
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U2 L' D' F' D2 R,R2 U' F2 U R2,L R2 B U2 F2 U F' U B L' B2 R2,L B2 L' D' U B R2 B' D U',B2 D B' L' B' L B D' B2 U B U',U B U' B' F' L2 B2 L B' L' B' L2 F,58
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R B' L' D B,B2 D B U R U' B L2,F D' L B' D F' D' L' B D L,F' D' B D F L' B L B',L' B' L U R D B2 D' B' R' B' U',U B U' B' F' L2 B2 L B' L' B' L2 F,58
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,L U' L' U B' U2,D L' B' L D' L',L' D' U2 B D2 R' D' U2 L' F L' F,B' R B2 F U2 B2 F' R' B' L2 B2,B2 L' B' D' B' R B D B' D2 R' D2 L,,48
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,R F' D' B2 R2 F',B' U R U' B L',L' F2 L' F2 D2 R' D' R D' L2,R' F2 L2 B D F' D B2 F' U2 B R,F2 U2 R2 D B' D' R2 U2 F' U' F U F2,U B U' B' F' L2 B2 L B' L' B' L2 F,60
